© 2000-2023 QIAGEN. All rights reserved.				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Protein Ubiquitination Pathway	4.2	0.198	#NUM!	"ANAPC10,ANAPC2,ANAPC4,CDC20,CRYAB,DNAJB6,DNAJB9,DNAJC10,DNAJC15,DNAJC19,DNAJC5,DNAJC7,HLA-A,HSPA14,HSPA6,HSPA8,HSPB11,HSPB6,HSPB7,HSPB8,NEDD4,PAN2,PRKN,PSMA3,PSMA6,PSMB1,PSMB5,PSMB9,PSMD11,PSMD5,PSMD7,PSMD8,PSMD9,PSME2,SMURF1,TAP2,TRAF6,UBE2C,UBE2Q1,UBE2Q2,UBE2S,UCHL1,UCHL5,USP11,USP15,USP20,USP25,USP28,USP3,USP36,USP4,USP46,USP54,VHL"
Role of CHK Proteins in Cell Cycle Checkpoint Control	4.18	0.31	1.941	"ATR,CDK1,CDK2,CHEK1,CHEK2,E2F3,MDC1,PLK1,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAD17,RAD9A,RFC2,RFC5,SLC19A1,TP53"
Autophagy	4.15	0.208	2.534	"AKT3,ATF2,ATG101,ATG12,ATG13,ATG2B,ATR,CHP1,CREB3L4,DAPK1,DAPK3,FOS,FOXO3,GABARAP,GCG,GNB1L,IRS2,JUN,MYD88,NGFR,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKAA2,PRKAB1,PRKAR1B,RB1CC1,RGS19,RIPK2,SLC1A5,SLC3A2,SLC7A5,SQSTM1,TGFB1,TNFRSF1B,TP53,TRAF3,TRAF6,UVRAG,VPS16,WIPI1"
Acute Phase Response Signaling	4.13	0.216	2.263	"AHSG,AKT3,C2,C3,CEBPB,CHUK,CRABP1,ELK1,FOS,FTL,HMOX2,HNF1A,HNRNPK,HPX,IL18,IL1B,IL1RN,IL33,IL6ST,JUN,MAP2K3,MAP2K6,MBL2,MYD88,NGFR,NOLC1,ORM1,OSMR,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SERPINA1,SOS2,TCF3,TF,TNFRSF1B,TRAF6"
14-3-3-mediated Signaling	3.96	0.236	3.273	"AKT3,BAX,ELK1,FOS,JUN,MAPT,PDCD6IP,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,STRADA,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1,YWHAQ,YWHAZ"
Arginine Degradation VI (Arginase 2 Pathway)	3.94	0.833	2.236	"ARG1,ARG2,PYCR1,PYCR2,PYCR3"
DNA Methylation and Transcriptional Repression Signaling	3.78	0.241	3.838	"CDK1,CDK10,CDK11B,CDK12,CDK13,CDK19,CDK2,CDK7,CDK9,CEBPB,CHD5,DNMT1,DNMT3A,E2F3,FOXA2,MBD4,MECP2,MTA1,RB1,RBL2,SIN3A,TCF12,TCF3,TDG,TFE3,TP53,UHRF1"
Molecular Mechanisms of Cancer	3.69	0.173	#NUM!	"ADCY3,AKT3,APH1A,ARHGEF18,ARHGEF2,ATR,AURKA,AXIN1,BAX,CCND2,CDK1,CDK10,CDK11B,CDK12,CDK13,CDK19,CDK2,CDK7,CDK9,CDKN2A,CHEK1,CHEK2,DAXX,E2F3,ELK1,FANCD2,FOS,FYN,FZD5,FZD6,FZD7,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HAT1,HDAC5,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,MAP2K3,MAP2K6,PAK6,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PRKAR1B,PRKCE,PRKCG,PRKCI,PSEN1,PSEN2,RAP1A,RAP1B,RAP2A,RASGRF1,RB1,RBL2,RBPJ,RHOB,RHOT1,RRAS,SIN3A,SMAD5,SOS2,TCF3,TGFB1,TP53,WNT2B,WNT5A"
Estrogen Receptor Signaling	3.66	0.176	3.75	"ADCY3,AKT3,ARG2,ATF2,ATP5F1A,CARM1,CREB3L4,CTBP1,EIF2B4,FOS,FOXO3,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,JUN,MCU,MED10,MED14,MED21,MED30,MED31,MED6,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,MPRIP,MT-ND1,MT-ND2,MT-ND6,MYL6,MYL9,NCOA2,NCOA3,NCOR1,NCOR2,NDUFAF1,NDUFB8,NDUFV3,NRIP1,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PPP1R12A,PPP1R12B,PRKAA2,PRKAB1,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SHF,SOS2,TBL1XR1,TP53,UQCRFS1"
Role of BRCA1 in DNA Damage Response	3.61	0.263	1.941	"ACTB,ATR,ATRIP,BABAM1,BLM,CHEK1,CHEK2,E2F3,FANCD2,HLTF,MDC1,PLK1,RB1,RBL2,RFC2,RFC5,SLC19A1,SMARCE1,TOPBP1,TP53,UIMC1"
CCR3 Signaling in Eosinophils	3.52	0.224	1.698	"CCL24,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,MPRIP,MYLK,PAK6,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PPP1R12A,PPP1R12B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
Spliceosomal Cycle	3.51	0.306	3.873	"AQR,BCAS2,CASC3,DDX23,DDX39B,DDX46,HSPA8,MAGOH,PLRG1,RNF113A,SF3B3,SF3B4,SNIP1,U2AF2,XAB2"
IGF-1 Signaling	3.46	0.238	3.3	"AKT3,CSNK2A1,CSNK2A2,ELK1,FOS,FOXO3,IGFBP2,IGFBP5,IGFBP6,IRS2,JUN,NEDD4,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,PRKCI,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SOS2,YWHAQ,YWHAZ"
Tight Junction Signaling	3.45	0.207	#NUM!	"ACTB,AFDN,AKT3,ARHGEF2,CASK,CLDN18,CLDN2,CLDN8,CPSF1,CPSF2,CSTF1,CSTF3,FOS,GOSR1,GOSR2,HSF1,JUN,MYH14,MYH4,MYL6,MYL9,MYLK,MYO10,NAPA,NGFR,OCLN,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B,PRKCI,SMURF1,SNAP25,STX1A,TGFB1,TNFRSF1B"
3-phosphoinositide Biosynthesis	3.44	0.2	1.768	"ACP1,ACP5,ACP6,ATP1A2,CILP,DUSP11,DUSP6,EPHX2,ILKAP,INPP5B,MINPP1,MTMR6,NUDT14,PALD1,PIK3C3,PIK3CB,PIK3R2,PIP5K1A,PIP5K1B,PIP5K1C,PPM1H,PPM1L,PPP1CC,PPP1R12A,PPP1R12B,PPP1R13B,PPP1R14D,PPP1R3D,PPP1R8,PPP2CA,PPP2CB,PPP2R1B,PTPN13,PTPN2,PTPN7,PTPRM,PTPRN,RNGTT,SGPP1,STYXL2,TNS3"
Coronavirus Replication Pathway	3.39	0.311	0.535	"ACE,ACE2,COPA,COPB1,COPZ1,IFITM1,IFITM2,IFITM3,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,ZCRB1"
HIF1α Signaling	3.31	0.197	3.28	"AKT3,CHP1,CYBB,FLT1,HK3,HSPA14,HSPA6,HSPA8,JUN,LDHA,MAP2K3,MAP2K6,MKNK1,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,NAA10,NCF2,PIK3C3,PIK3CB,PIK3R2,PKM,PRKCE,PRKCG,PRKCI,RACK1,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SLC2A1,SLC2A3,SLC2A8,TF,TGFB1,TP53,VHL"
ERK/MAPK Signaling	3.29	0.195	1.333	"ATF2,CREB3L4,DUSP6,ELF1,ELF2,ELF3,ELK1,FOS,FYN,HSPB7,ITGA2B,ITGB2,ITGB4,ITGB5,KSR1,MKNK1,PAK6,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2,VRK2,YWHAQ,YWHAZ"
p53 Signaling	3.14	0.235	0.243	"AKT3,ATR,BAX,CCND2,CCNK,CDK2,CDKN2A,CHEK1,CHEK2,JUN,PIK3C3,PIK3CB,PIK3R2,PPP1R13B,RB1,SERPINB5,SERPINE2,TIGAR,TNFRSF10A,TNFRSF10B,TOPBP1,TP53,TRIM29"
Role Of Chondrocytes In Rheumatoid Arthritis Signaling Pathway	3.13	0.213	3.651	"CEBPB,CEBPZ,CHP1,CHUK,CXCL12,FOS,FOXO3,GNB1L,IL18,IL1B,IL1R2,IL1RN,IL33,IL6ST,JUN,MLKL,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,NGFR,PLAU,PRKAA2,PRKAB1,PTGS2,RIPK3,TNFRSF1B,TRAF6"
Signaling by Rho Family GTPases	3.09	0.184	1.667	"ACTB,ARHGEF18,ARHGEF2,BAIAP2,CDH19,CDH2,CDH3,CDH6,CYBB,DES,ELK1,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,MYL6,MYL9,MYLK,NCF2,NEDD4,PAK6,PARD3,PIK3C3,PIK3CB,PIK3R2,PIP5K1A,PIP5K1B,PIP5K1C,PPP1R12A,PPP1R12B,PRKCI,RDX,RHOB,RHOT1,SEPTIN14,SEPTIN2,SEPTIN3,WASF1,WIPF1"
WNT/β-catenin Signaling	3.08	0.201	0.756	"AKT3,APPL2,AXIN1,BCL9,CDH2,CDH3,CDKN2A,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CSNK2A1,CSNK2A2,DKK4,DVL3,FZD5,FZD6,FZD7,HNF1A,JUN,MAP4K1,MMP7,PPM1L,PPP2CA,PPP2CB,PPP2R1B,SFRP1,SFRP4,TCF3,TCF7L2,TGFB1,TLE4,TP53,WNT2B,WNT5A"
Polyamine Regulation in Colon Cancer	3.05	0.271	2.5	"AKT3,ARG1,CSNK2A1,CSNK2A2,DHPS,DOHH,EIF5A2,FOS,GNB1L,JUN,MAP2K3,MAP2K6,MTA1,SLC3A2,TCF7L2,TP53"
Superpathway of Inositol Phosphate Compounds	3.05	0.188	1.859	"ACP1,ACP5,ACP6,ATP1A2,CILP,DUSP11,DUSP6,EPHX2,ILKAP,INPP5B,MINPP1,MTMR6,NUDT14,PALD1,PIK3C3,PIK3CB,PIK3R2,PIP5K1A,PIP5K1B,PIP5K1C,PLCB1,PLCB3,PLCZ1,PPM1H,PPM1L,PPP1CC,PPP1R12A,PPP1R12B,PPP1R13B,PPP1R14D,PPP1R3D,PPP1R8,PPP2CA,PPP2CB,PPP2R1B,PTPN13,PTPN2,PTPN7,PTPRM,PTPRN,RNGTT,SGPP1,STYXL2,TNS3"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	3.03	0.189	#NUM!	"ACP5,AKT3,AXIN1,CHP1,CHUK,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,DKK4,FOS,FZD5,FZD6,FZD7,HNF1A,IL18,IL1B,IL1R2,IL1RN,IL33,JUN,MAP2K3,MAP2K6,MMP1,MMP3,MMP8,NFATC3,NGFR,PIK3C3,PIK3CB,PIK3R2,SFRP1,SFRP4,SMAD5,SMURF1,TCF3,TCF7L2,TGFB1,TNFRSF1B,TRAF5,TRAF6,WNT2B,WNT5A"
D-myo-inositol-5-phosphate Metabolism	3.01	0.195	2.043	"ACP1,ACP5,ACP6,ATP1A2,CILP,DUSP11,DUSP6,EPHX2,ILKAP,INPP5B,MINPP1,MTMR6,NUDT14,PALD1,PLCB1,PLCB3,PLCZ1,PPM1H,PPM1L,PPP1CC,PPP1R12A,PPP1R12B,PPP1R13B,PPP1R14D,PPP1R3D,PPP1R8,PPP2CA,PPP2CB,PPP2R1B,PTPN13,PTPN2,PTPN7,PTPRM,PTPRN,RNGTT,SGPP1,STYXL2,TNS3"
Cholecystokinin/Gastrin-mediated Signaling	2.97	0.218	2.746	"ATF2,ELK1,FOS,IL18,IL1B,IL1RN,IL33,ITPR2,ITPR3,JUN,MAP2K3,MAP2K6,PLCB1,PLCB3,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,SOS2,SST"
Epithelial Adherens Junction Signaling	2.96	0.204	0.354	"AFDN,AKT3,BAIAP2,CDH2,DIAPH1,ECT2,FYN,HNF1A,KIF23,LATS1,MAGI1,MYH4,PAK6,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKAA2,PRKAB1,RACGAP1,RAP1A,RAP1B,RAP2A,RRAS,STK3,TCF3,TCF7L2,TNS1,WASF1,YWHAQ,YWHAZ,ZBTB33"
Adipogenesis pathway	2.91	0.209	-1.3	"AGPAT2,CDK7,CEBPB,CLOCK,CTBP1,ERCC2,ERCC3,EZH2,FABP4,FZD5,FZD6,FZD7,GTF2H5,HAT1,HDAC5,KMT2B,LPL,MNAT1,NR2F2,PAXIP1,PLIN1,RB1,SIN3A,SIN3B,SMAD5,TBL1XR1,TGFB1,TP53,WNT5A"
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.89	0.28	-0.277	"ATR,AURKA,CDK1,CDK7,CDKN2A,CHEK1,CHEK2,CKS1B,PLK1,TOP2A,TP53,TRIP12,YWHAQ,YWHAZ"
Aldosterone Signaling in Epithelial Cells	2.87	0.198	1.414	"CRYAB,DNAJB6,DNAJB9,DNAJC10,DNAJC15,DNAJC19,DNAJC5,DNAJC7,HSPA14,HSPA6,HSPA8,HSPB11,HSPB6,HSPB7,HSPB8,ITPR2,ITPR3,KCNMA1,NEDD4,NR3C2,PDIA3,PIK3C3,PIK3CB,PIK3R2,PIP5K1A,PIP5K1B,PIP5K1C,PLCB1,PLCB3,PLCZ1,PRKCE,PRKCG,PRKCI,SOS2"
Mitotic Roles of Polo-Like Kinase	2.86	0.254	2.887	"ANAPC10,ANAPC13,ANAPC2,ANAPC4,ANAPC7,CDC20,CDC26,CDC27,CDK1,CHEK2,KIF23,PLK1,PPM1L,PPP2CA,PPP2CB,PPP2R1B,TGFB1"
MSP-RON Signaling In Cancer Cells Pathway	2.85	0.207	3.78	"AKT3,ATF2,CREB3L4,ELF1,ELF2,ELF3,FOS,HGFAC,HNF1A,ITGB4,JUN,KLK1,KLK10,KLK6,PIK3C3,PIK3CB,PIK3R2,PLAUR,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TCF3,TCF7L2,TRIM24,VHL,YWHAQ,YWHAZ"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	2.85	0.196	1.961	"ACP1,ACP5,ACP6,ATP1A2,CILP,DUSP11,DUSP6,EPHX2,ILKAP,INPP5B,MINPP1,MTMR6,NUDT14,PALD1,PPM1H,PPM1L,PPP1CC,PPP1R12A,PPP1R12B,PPP1R13B,PPP1R14D,PPP1R3D,PPP1R8,PPP2CA,PPP2CB,PPP2R1B,PTPN13,PTPN2,PTPN7,PTPRM,PTPRN,RNGTT,SGPP1,STYXL2,TNS3"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	2.85	0.196	1.961	"ACP1,ACP5,ACP6,ATP1A2,CILP,DUSP11,DUSP6,EPHX2,ILKAP,INPP5B,MINPP1,MTMR6,NUDT14,PALD1,PPM1H,PPM1L,PPP1CC,PPP1R12A,PPP1R12B,PPP1R13B,PPP1R14D,PPP1R3D,PPP1R8,PPP2CA,PPP2CB,PPP2R1B,PTPN13,PTPN2,PTPN7,PTPRM,PTPRN,RNGTT,SGPP1,STYXL2,TNS3"
Ceramide Signaling	2.82	0.231	0.943	"AKT3,CNKSR1,ENPP7,FOS,JUN,KSR1,NGFR,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAP1A,RAP1B,RAP2A,RRAS,SMPD4,SPHK2,TNFRSF1B"
DNA damage-induced 14-3-3σ Signaling	2.76	0.283	0.832	"AKT3,ATR,CASP14,CASP2,CASP4,CDK1,CDK2,CHEK1,CHEK2,COP1,RAD17,RAD9A,TP53"
CXCR4 Signaling	2.76	0.196	2.268	"ADCY3,AKT3,CXCL12,ELK1,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,JUN,MYL6,MYL9,PAK6,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS"
HIPPO signaling	2.75	0.233	-1.508	"AJUBA,AMOT,CSNK1E,DLG1,DLG5,FAT4,LATS1,PARD3,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,SMAD5,STK3,YWHAQ,YWHAZ"
PPARα/RXRα Activation	2.74	0.19	-2.268	"ACOX1,ADCY3,BCL3,CHD5,CHUK,CLOCK,GK,GNA14,GNA15,GNAS,HELZ2,IL1B,IL1R2,ITGB5,JUN,LPL,MAP2K3,MAP2K6,MAP4K4,NCOA3,NCOR1,NCOR2,PDIA3,PLCB1,PLCB3,PLCZ1,PRKAA2,PRKAB1,PRKAR1B,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TGFB1,TGS1,TRAF6"
Cholesterol Biosynthesis I	2.69	0.462	2.449	"CYP51A1,DHCR24,EBP,LBR,MSMO1,SQLE"
"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)"	2.69	0.462	2.449	"CYP51A1,DHCR24,EBP,LBR,MSMO1,SQLE"
Cholesterol Biosynthesis III (via Desmosterol)	2.69	0.462	2.449	"CYP51A1,DHCR24,EBP,LBR,MSMO1,SQLE"
Insulin Secretion Signaling Pathway	2.67	0.176	4.522	"ADCY3,AGO3,ATF2,CREB3L4,EIF2B4,EIF4A1,EIF4A2,EIF4G1,FGR,FYN,GCG,GNA14,GNA15,GNAS,GOSR1,GOSR2,HCK,HNF1A,ITPR2,ITPR3,NAPA,PDHX,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RPS6KB2,SEC11A,SEC61A1,SLC2A1,SLC2A3,SLC2A8,SNAP25,SPCS3,SRP14,SSR3,STAT4,STX1A,TCF3"
fMLP Signaling in Neutrophils	2.67	0.206	2.711	"CHP1,CYBB,ELK1,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,NCF2,NFATC3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
ATM Signaling	2.64	0.22	0.894	"ATF2,ATR,BLM,BRAT1,CDK1,CDK2,CHEK1,CHEK2,CREB3L4,FANCD2,JUN,MDC1,PPM1L,PPP1CC,PPP2CA,PPP2CB,PPP2R1B,RAD17,RAD9A,TDP1,TOPBP1,TP53"
Non-Small Cell Lung Cancer Signaling	2.63	0.223	2.138	"AKT3,CCND2,CDKN2A,E2F3,ERBB2,FOXO3,HDAC5,ITPR2,ITPR3,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RB1,RBL2,RRAS,SIN3A,SOS2,TP53"
MSP-RON Signaling In Macrophages Pathway	2.63	0.21	0.816	"ARG1,ATF2,CHUK,CREB3L4,FOS,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,ITGB2,JUN,KLK1,KLK10,KLK6,PIK3C3,PIK3CB,PIK3R2,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.63	0.188	1.915	"AKT3,APOC4,ARG2,CHUK,CYBB,FOS,IFNGR1,JUN,LPA,LYZ,MAP3K6,MPO,NCF2,NGFR,ORM1,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RHOB,RHOT1,S100A8,SERPINA1,TNFRSF1B"
HGF Signaling	2.62	0.205	2.982	"AKT3,ATF2,CDK2,CDKN2A,ELF1,ELF2,ELF3,ELK1,FOS,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,MAP3K6,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Adrenomedullin signaling pathway	2.58	0.186	3.43	"ADCY3,AKT3,BAX,C3,CEBPB,ELK1,FOS,GNA14,GNA15,GNAS,IL18,IL1B,IL1RN,IL33,ITPR2,ITPR3,KCNN4,MAP2K3,MAP2K6,MYLK,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,RAMP3,RAP1A,RAP1B,RAP2A,RRAS,SHF,SLC39A7,SOS2,TTN"
