© 2000-2023 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT			
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)
MMP1	causation	Inflammatory response	
MMP1	causation	Invasion of cells	
MMP1	causation	Invasive tumor	
MMP1	causation	Migration of cells	
MMP3	causation	Advanced malignant tumor	
MMP3	causation	Invasion of cells	
MMP3	causation	Invasive tumor	
MMP3	causation	Migration of cells	
MMP3	correlation	Advanced malignant tumor	
MMP3	correlation	Invasive tumor	
MMP9	causation	Advanced malignant tumor	
MMP9	causation	Cell movement of blood cells	
MMP9	causation	Inflammatory response	
MMP9	causation	Invasion of cells	
MMP9	causation	Invasive tumor	
MMP9	causation	Migration of cells	
MMP9	correlation	Advanced malignant tumor	
MMP9	correlation	Invasive tumor	
MPO	causation	Cell movement of blood cells	
MPO	causation	Inflammatory response	
MPO	causation	Migration of cells	
NAB2	causation	Cell movement of blood cells	
NAB2	causation	Migration of cells	
NAB2	expression	ALOX5AP	
NAB2	expression	FLT1	
NAB2	expression	FOS	
NAB2	expression	MMP3	
NAB2	expression	PLAU	
NAB2	expression	TGFB1	
NAB2	protein-protein interactions	NAB2	
NAB2	transcription	NAB2	
NUF2	correlation	Invasive tumor	
PLAU	causation	Advanced malignant tumor	
PLAU	causation	Cell movement of blood cells	
PLAU	causation	Inflammatory response	
PLAU	causation	Invasion of cells	
PLAU	causation	Invasive tumor	
PLAU	causation	Migration of cells	
PLAU	correlation	Advanced malignant tumor	
PLAU	correlation	Invasive tumor	
PLAUR	causation	Advanced malignant tumor	
PLAUR	causation	Cell movement of blood cells	
PLAUR	causation	Inflammatory response	
PLAUR	causation	Invasion of cells	
PLAUR	causation	Invasive tumor	
PLAUR	causation	Migration of cells	
PLAUR	correlation	Advanced malignant tumor	
PLAUR	correlation	Invasive tumor	
PTGS2	causation	Advanced malignant tumor	
PTGS2	causation	Cell movement of blood cells	
PTGS2	causation	Inflammatory response	
PTGS2	causation	Invasion of cells	
PTGS2	causation	Invasive tumor	
PTGS2	causation	Migration of cells	
PTGS2	correlation	Advanced malignant tumor	
PTGS2	correlation	Invasive tumor	
PYCARD	activation	PYCARD	
PYCARD	causation	Cell movement of blood cells	
PYCARD	causation	Inflammatory response	
PYCARD	causation	Invasion of cells	
PYCARD	causation	Migration of cells	
PYCARD	expression	CCND2	
PYCARD	expression	IL18	
PYCARD	expression	IL1B	
PYCARD	expression	MMP9	
PYCARD	expression	PTGS2	
PYCARD	expression	S100A8	
PYCARD	protein-protein interactions	PYCARD	
S100A8	causation	Cell movement of blood cells	
S100A8	causation	Inflammatory response	
S100A8	causation	Invasion of cells	
S100A8	causation	Migration of cells	
S100A9	causation	Cell movement of blood cells	
S100A9	causation	Inflammatory response	
S100A9	causation	Invasion of cells	
S100A9	causation	Migration of cells	
TGFB1	causation	Advanced malignant tumor	
TGFB1	causation	Cell movement of blood cells	
TGFB1	causation	Inflammatory response	
TGFB1	causation	Invasion of cells	
TGFB1	causation	Invasive tumor	
TGFB1	causation	Migration of cells	
TGFB1	correlation	Advanced malignant tumor	
TGFB1	correlation	Invasive tumor	
TOP2A	correlation	Advanced malignant tumor	
TOP2A	correlation	Invasive tumor	
ZFP36	causation	Advanced malignant tumor	
ZFP36	causation	Inflammatory response	
ZFP36	causation	Invasion of cells	
ZFP36	causation	Invasive tumor	
ZFP36	correlation	Advanced malignant tumor	
ZFP36	correlation	Invasive tumor	
ZFP36	expression	CAMP	
ZFP36	expression	CYBB	
ZFP36	expression	FOS	
ZFP36	expression	IL1B	
ZFP36	expression	JUN	
ZFP36	expression	KIF14	
ZFP36	expression	LCN2	
ZFP36	expression	LTF	
ZFP36	expression	MMP1	
ZFP36	expression	MPO	
ZFP36	expression	NUF2	
ZFP36	expression	PLAU	
ZFP36	expression	PLAUR	
ZFP36	expression	PTGS2	
ZFP36	expression	S100A8	
ZFP36	expression	S100A9	
ZFP36	expression	TOP2A	
ZFP36	expression	ZFP36	
ZFP36	protein-RNA interactions	ZFP36	
