	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Malaciobacter halophilus	0.482732118	0.450908444	1.87970199	-0.044351292	3.535004908	1.130127576	2.04714032	2.586095547	2.401158517	2.546704234	2.828222668	1.638527806	1.599255414	1.524202206	0.990309662	0.786688538	0.622911467	1.597361916	1.64330908	1.59897729	0.997962339	-0.134799603	0.898609645	4.125916484	1.190704827	5.78054315	-0.335204591	1.309394436	2.098705879	0	-1.037597031	0.987980301	3.23487347	0	1.680706049	-1.80056646	0.218003484	3.204736905	2.513095868	3.07320184	1.45148022	4.228304709	1.245123634	2.176652438	1.232390749	2.160480534	-0.083941602	1.554631804	0.96247601	1.637661019	3.089763986	1.640916453	2.096512112	1.261801102	2.510345012	1.942913573	1.13788656	1.347832029	1.125703049	2.617002406
Veillonella parvula	1.562008745	1.391674756	1.570022225	1.263455405	1.626031556	1.948729278	1.524542357	1.704577672	1.257856791	1.527597961	1.355522008	1.258363004	1.217768858	1.483315077	0.636060131	1.228161293	1.371210197	1.26341026	1.364570855	1.278464043	1.779496313	1.320132644	0.920269983	1.527538053	1.718135577	1.402350969	1.153296314	1.481934427	1.283794826	0	1.046096911	0.693592214	1.603378864	0	1.155890859	1.122661066	1.837821351	1.906356003	1.357642497	1.398666594	1.580855607	0.634207425	1.249592702	1.751108799	1.332077984	1.259217072	1.119427158	1.833776307	1.780927413	1.377424681	1.171488676	1.416856913	1.653174386	1.813731671	1.809115034	1.722389408	1.43482406	1.250713433	1.409406243	1.561248088
Faecalibacterium prausnitzii	2.564468633	2.012545468	4.353809458	1.017200018	6.354887627	4.50354584	4.1778822	5.479391845	3.919552822	4.920374634	4.705742505	3.087927284	2.840127384	3.559022114	0.356903222	1.879608962	2.152339668	2.943442742	3.337354435	3.075566141	3.880818532	1.104009946	1.124632067	6.769396702	3.937387466	8.306650327	0.357232366	3.300533464	3.607872055	0	-0.820250952	0.659474236	5.933675425	0	2.745468858	-1.452669777	3.068386113	6.822424282	4.333114942	5.126204074	3.733075887	4.24895623	2.571701538	5.108049533	2.732597152	3.63019621	0.600794187	4.65433535	3.796479269	3.385782313	4.465460523	3.47122097	4.761335076	4.240380517	5.757554622	4.775855782	3.003250033	2.729986492	2.846709856	5.033710006
Francisella marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rossellomorea marisflavi	0.355731049	0.536975459	0.25330447	0.716413138	-0.124347449	-0.129384165	0.088166069	-0.074376933	0.422061068	0.131685888	0.251872895	0.578855343	0.560509076	0.301387344	1.241874719	0.634134481	0.532015237	0.488690814	0.404703518	0.541568264	0.101219733	0.687339381	0.974065443	-0.090360635	0.150580881	-0.211134576	0.882704546	0.330189143	0.410736148	0	1.069447211	1.287567239	-0.060939857	0	0.613079362	1.12011003	0.090693442	-0.363821529	0.287769189	0.175772948	0.17988009	0.8718797	0.619330167	-0.089821481	0.476558822	0.444221643	0.924885828	-0.067448015	0.068533158	0.4044576	0.415051564	0.334547152	0.056872423	-0.013559251	-0.130009713	-0.003686474	0.439232598	0.630863631	0.415394853	0.033146157
Lentilactobacillus hilgardii	0.161826103	0.510407241	-1.35392967	1.087637436	0.09597165	-0.704632741	1.784744207	-0.14519991	0.661180964	-0.059711916	0.635020831	-0.212010814	0.907137627	0.273840029	2.186685067	1.295417072	0.586592506	1.219432315	0.573136326	0.091041078	-0.940889884	0.685490266	1.369179187	0.115979946	-1.000080022	0.844743928	1.107570125	0.293578555	1.02130995	0	1.638352351	0.377474197	0.136557308	0	1.065357839	1.021192559	-0.183741891	-0.607135856	0.710124301	0.527070606	0.537729781	1.197277305	0.141870171	0.12089713	0.91604186	0.78910272	0.532593182	-0.445341472	-0.353934727	0.342876652	0.911175905	0.732302401	-0.233887474	-0.303870168	-1.036974435	-0.216149326	-0.212825486	-0.289897819	0.676833146	0.764772361
Companilactobacillus paralimentarius	-1.483744381	-1.419215981	-0.658782771	-1.589254367	-0.775652217	-1.46463718	-1.577851249	-1.018961138	-0.839483785	-0.864784994	-0.831612856	-0.747490129	-1.074387373	-1.175952174	-1.005873178	-1.411040856	-1.379854941	-1.224196923	-1.114588648	-0.876797241	-1.237349444	-1.543843545	-1.073098552	-0.529311186	-1.104111916	-0.217600437	-1.548369665	-1.234393029	-1.057652429	0	-1.776520354	-0.486993738	-0.839218379	0	-1.036988752	-1.850750808	-1.737321437	-0.935562074	-0.935446341	-0.782595184	-1.385492193	0.117266382	-0.949747138	-1.255985428	-1.291336363	-0.942264727	-1.263944086	-1.317452502	-1.435785815	-1.056167876	-0.655524773	-1.222639215	-1.055972809	-1.413769137	-0.863584112	-1.174108499	-1.063373178	-0.786874843	-1.324764251	-1.147669818
Clostridium sp. DL-VIII	0.682460529	0.683400922	-1.794949769	1.236479387	0.245903595	0.46931857	2.71001731	0.295763258	0.154370586	-0.113696228	0.341658725	-1.011572045	0.538847112	0.423828983	0.761298722	1.29019534	0.705207907	1.143666838	0.48434735	-0.491165134	-0.380729045	0.827971811	0.433172711	-0.130235209	-0.691279046	0.279029376	0.978450557	0.487223425	0.822317316	0	1.561684384	-1.755234327	0.290412811	0	0.56823085	1.013081265	1.062840051	0.119572468	0.514183009	0.270066452	1.130955478	-1.286562908	-0.441861635	0.906211695	0.966878054	0.392080099	-0.026779869	0.426173285	0.502817899	0.182481442	0.140024128	0.881934357	0.091400828	0.626523059	-0.698344179	0.356599156	-0.380976437	-1.098990144	0.86739269	1.203040597
Fusobacterium varium	0.803856647	0.60207068	2.25414195	0.093833198	1.745274476	1.484560555	0.174489928	1.604267529	1.118797302	1.581292254	1.237910971	1.486716797	0.721259592	1.060624177	-0.177827353	0.210938883	0.606341774	0.495798499	0.923434305	1.262508951	1.652057685	0.325902653	0.276822316	1.934603927	1.76654133	1.966501824	0.022677735	0.982948874	0.776121326	0	-0.520695027	1.040511992	1.633280844	0	0.655061164	-0.349010078	0.886330626	2.050737796	1.092305856	1.373609324	0.831931581	1.467483677	1.129480986	1.288002566	0.575269413	0.958698422	0.499711061	1.466131853	1.241068055	1.075182031	1.177587371	0.800403312	1.532062593	1.287331789	2.162555617	1.455921718	1.289467441	1.454366056	0.685739649	1.03175355
Fusobacterium nucleatum	2.08549481	1.823354139	1.841570049	1.655969224	2.617514879	2.737389698	2.702381161	2.583697975	1.849775811	2.228316351	2.107870185	1.48657828	1.729062592	2.0932676	0.791668719	1.755441065	1.8266851	1.918255715	1.946901398	1.614259687	2.289313485	1.644337721	1.138796672	2.49512231	2.167715928	2.671311623	1.388435727	2.067218706	1.970338203	0	1.222880312	0.374999939	2.541129861	0	1.655131957	1.098308353	2.532283856	2.958669473	2.091303038	2.200441854	2.369672891	0.933780412	1.520056577	2.705613047	1.923923912	1.858344775	1.179211153	2.627753234	2.461743124	1.905100533	1.834515183	2.1046711	2.381442386	2.587414832	2.529410912	2.512286291	1.793399022	1.408064747	2.002446519	2.553789507
Prevotella intermedia	2.430800371	2.49170139	1.405456891	2.615783425	4.842283617	2.632476012	5.819426687	3.960116737	3.88960585	3.631837753	4.413733582	2.080144931	3.521918573	3.203479782	3.467791932	3.462174522	2.684042139	4.064346378	3.434454365	2.52161513	1.799139997	2.117437204	2.92377582	5.093610756	1.719982071	7.092039371	2.159280672	3.06288091	4.220536702	0	2.106674285	1.070527603	4.61538188	0	3.658174223	0.837140627	2.395245958	4.26691595	4.279815934	4.552843945	3.748671735	4.573510049	2.252160165	4.126114886	3.52056736	3.887189992	1.467496285	3.049520463	2.595341913	3.138783117	4.565827078	3.778204203	3.337146151	2.974401496	2.899893951	3.406073445	2.111485206	1.730191398	3.28653598	4.91698279
Bacteroides sp. ZJ-18	0.496279426	0.302345234	1.526380484	-0.244680054	3.780190615	1.519050814	2.561455854	2.834821216	2.187126631	2.545004073	2.779425417	1.128153327	1.356518548	1.500477424	0.194758828	0.633835706	0.474597017	1.517198881	1.530738664	1.207727215	1.047674182	-0.370850714	0.296088275	4.254241061	1.137502197	6.012779057	-0.714707598	1.278999427	2.015802973	0	-1.461302498	-0.254248661	3.442659584	0	1.392123907	-2.325818825	0.543403267	3.659799385	2.473514409	3.071147087	1.654169597	3.2976076	0.806776975	2.555467281	1.150449477	1.974915167	-0.674119429	1.862719723	1.185841443	1.476802762	2.850159934	1.655988155	2.214927854	1.566138884	2.652589337	2.16557109	0.876394603	0.788683265	1.087489367	2.913886667
Bacteroides sp. PHL 2737	0.927448981	0.59715597	2.567246636	-0.117805636	3.160842018	2.113935078	1.296041395	2.670364582	1.778990173	2.44148177	2.181275303	1.617947576	1.072538985	1.538285066	-0.445413146	0.344332466	0.666439961	0.979599227	1.383248916	1.478833163	1.964988878	0.043860651	0.105071111	3.476102891	2.068828652	4.210118179	-0.433234199	1.377566503	1.435914172	0	-1.25442816	0.382694804	2.911453675	0	1.00428016	-1.454715537	1.146082916	3.491021529	1.929437066	2.439881704	1.464719874	2.253482553	1.181458101	2.311595862	0.917042983	1.556233676	-0.041452702	2.194137569	1.689474614	1.490052028	2.075473581	1.361852156	2.316461936	1.908953494	3.096869467	2.265171292	1.430515663	1.439972454	1.016587761	2.168311127
Pseudomonas aeruginosa	-0.083436013	-0.507731695	2.124228756	-1.364972115	1.33965139	1.21012371	-1.114026473	1.197244996	0.153809635	1.0443257	0.39324692	0.738191908	-0.466785556	0.235176331	-2.228195598	-1.22781934	-0.518314778	-0.783826851	-0.058212373	0.407279285	1.357435637	-0.967297085	-1.335414712	1.551936444	1.4882837	1.478830444	-1.541734667	0.119721978	-0.350192346	0	-2.434829117	-0.312438755	1.159211167	0	-0.612705078	-2.101042554	0.234724822	2.006013548	0.177202809	0.625402366	-0.049596821	0.230616951	0.191234045	0.750350445	-0.607028721	-0.086110924	-0.835551764	1.094454507	0.725622318	0.184500205	0.170564285	-0.212882701	1.062777702	0.812272473	2.128873281	0.995047089	0.564571308	0.690297361	-0.382468856	0.217851997
Shewanella algae	-0.319494928	-0.177547615	-0.062927506	-0.124182232	-0.426657931	-0.636652586	-0.601257011	-0.464557897	-0.069801103	-0.265218744	-0.190104237	0.105151067	-0.057004063	-0.258531088	0.418663465	-0.130731115	-0.17038974	-0.17067143	-0.172693008	0.023892329	-0.383756117	-0.116288656	0.228718816	-0.319095779	-0.300656228	-0.326103074	0.010030605	-0.25804237	-0.164237777	0	0.050576837	0.689256187	-0.403422548	0	-0.011455808	0.083264258	-0.586606886	-0.631266599	-0.201735069	-0.225215329	-0.426942499	0.563668935	0.05403917	-0.565185978	-0.191955198	-0.092847841	0.156662907	-0.550504415	-0.494756578	-0.145243478	-0.021042384	-0.265792124	-0.378564909	-0.548735968	-0.422099586	-0.463296715	-0.103500783	0.132310615	-0.239675178	-0.460851933
Parvimonas micra	1.695375847	1.330141346	1.796798259	0.807097431	5.863424732	3.188947013	5.445814347	4.687106858	3.470836642	3.980677483	4.414184235	1.470778503	2.542023186	2.842751882	0.744743444	1.97534305	1.557075114	3.093338419	2.838351443	1.855663092	2.020658707	0.467066646	0.892189882	6.236214835	1.941499718	8.695246198	-0.018094057	2.581152946	3.601931787	0	-0.777385895	-1.101752998	5.425040599	0	2.563988027	-2.154214503	2.128935004	5.818638511	4.098106991	4.791338317	3.471378192	3.805435869	1.331409751	4.658983477	2.560722713	3.312626732	-0.500998925	3.54815701	2.65652301	2.620764326	4.286624771	3.240983946	3.72832646	3.244992453	4.003070736	3.842503464	1.573434028	0.971866204	2.475868058	5.164132763
Mogibacterium pumilum	-0.240862129	0.153684663	-2.571095871	0.711256561	3.649793931	-0.607696151	6.054429429	2.02681641	2.63702676	1.675871172	3.404736468	-0.710333199	2.168895197	1.147844483	3.121546836	2.22359534	0.520417914	3.153478596	1.757137338	0.126352056	-1.932271113	-0.327473365	1.635544425	4.158222615	-2.033964486	7.865210649	0.063325702	0.925631666	3.310230806	0	0.291892904	-1.635350622	3.312645277	0	2.51341408	-2.124861173	-0.684301066	2.163416887	3.213526867	3.551221096	2.071645366	4.53172823	-0.271263083	2.370991121	2.070682343	2.685374694	-1.287543189	0.288078534	-0.376154638	1.162468799	3.931167872	2.344530134	1.007929793	0.240888789	-0.184288925	1.068538853	-0.812773201	-1.312860686	1.517632735	4.108874142
Streptococcus pasteurianus	1.382881498	1.822951618	0.154333916	2.543549755	-1.108755964	-0.066186805	0.415338523	-0.58112075	0.642271216	-0.144919598	0.091252952	1.147323637	1.369275009	0.772465327	3.265447888	2.006247227	1.742410849	1.297522125	0.975069034	1.159673662	0.39608275	2.44818361	2.621457443	-1.338938588	0.380983005	-2.258465184	3.016688489	0.941497783	0.850119501	0	3.846465472	2.971644333	-0.825031751	0	1.462638841	4.201355632	0.932346546	-1.55230865	0.336362116	-0.203137745	0.630915483	0.696254047	1.500438413	-0.346719143	1.395181871	0.834584756	2.848557918	-0.10752195	0.475117507	0.928776043	0.331850915	0.874390012	-0.097743067	0.17527072	-0.839178935	-0.133106807	1.132064618	1.379142366	1.28061366	-0.196679689
[Ruminococcus] gnavus	3.172513788	2.079296677	4.000310075	1.004238929	5.126129922	5.952986011	3.662765688	5.145747264	2.230006215	4.019794209	3.05837038	1.88270867	1.562953262	3.205198956	-2.430790258	1.195129488	2.038244666	1.831027618	2.513789292	1.975025709	4.839848148	1.329728444	-0.670987418	4.812743982	4.558171457	4.839892432	0.168944078	3.087473353	2.219963272	0	-0.881101477	-1.992376713	4.832390758	0	1.208860518	-0.762340724	4.773033116	6.737941844	2.906183293	3.455703874	3.766876958	-0.753689476	1.613484879	5.21458299	2.086683444	2.111817613	0.10983897	5.438568801	4.80270237	2.602126777	2.030210949	2.830302305	4.580264938	5.158405114	5.796987932	4.931107633	2.730357409	1.692570905	2.525433009	4.224909388
Uruburuella suis	-0.07732762	-0.011445462	-0.746833779	0.213327991	-0.689739971	-0.361100447	0.025664005	-0.54961493	-0.384369649	-0.551780585	-0.45857266	-0.458901328	-0.168567515	-0.269440569	0.179280858	0.095895977	-0.029918289	-0.078720983	-0.237190363	-0.368876623	-0.426518892	0.13722667	0.03711928	-0.820015863	-0.491327811	-0.982498986	0.256379902	-0.221985261	-0.225867632	0	0.514467679	-0.279167704	-0.623879298	0	-0.154558338	0.519707365	-0.064464199	-0.755840904	-0.375799787	-0.52735034	-0.169197939	-0.721342845	-0.290632846	-0.390596673	-0.072367132	-0.303269803	0.051327723	-0.398777791	-0.266708984	-0.293575992	-0.472035164	-0.185820716	-0.484553868	-0.307476289	-0.746728417	-0.436653948	-0.327915189	-0.422931887	-0.099245249	-0.345328375
Caballeronia insecticola	-0.684440518	-1.074307867	-0.86125654	-1.245853011	-1.937276262	-0.038459567	-1.935724803	-1.29649759	-2.241385737	-1.617797802	-2.254233944	-1.638944998	-2.020392836	-1.329737957	-3.150771856	-1.74657244	-1.210992436	-2.029824855	-1.68212395	-1.673909011	-0.209825751	-0.98658465	-2.36555759	-2.386255104	-0.388958866	-3.572800164	-1.315197802	-1.240431421	-2.163329721	0	-1.34181976	-2.518582356	-1.853087672	0	-2.21350025	-0.679041738	0.026443195	-1.084084016	-2.129368734	-2.257302416	-1.200703295	-4.334846912	-1.579371747	-1.105810615	-1.653513066	-2.16709737	-1.321291022	-0.51108885	-0.362802663	-1.589410649	-2.780444542	-1.634757674	-1.139549835	-0.455092189	-0.815783538	-0.952132246	-1.098128524	-1.497764974	-1.397851078	-1.831062584
Kosakonia cowanii	-0.158477114	-0.378242536	2.13257314	-1.07264086	0.680320919	0.592407308	-1.728992213	0.616538738	0.149609774	0.735851924	0.167883893	1.043665595	-0.329319381	0.0941088	-1.329327232	-1.057142102	-0.40095293	-0.785429638	-0.092110109	0.622055717	1.084059702	-0.665747587	-0.703623172	0.950347536	1.294786644	0.65493378	-1.029440112	0.011200205	-0.423073021	0	-1.748982981	0.879839867	0.575711122	0	-0.421784119	-1.283506422	-0.167114573	1.09928598	-0.015776478	0.314274598	-0.392701068	0.818274303	0.498814635	0.105028266	-0.594956693	-0.081176627	-0.186592832	0.538047624	0.331253167	0.179652225	0.140230846	-0.363965766	0.663102723	0.305476797	1.583092549	0.505887206	0.667132684	1.071207525	-0.426478032	-0.330579597
Desulfobulbus oralis	-1.424013529	-1.326515446	-1.017679465	-1.412324745	-0.214527548	-1.419278065	-0.599354982	-0.661012626	-0.45772561	-0.591552632	-0.328933318	-0.86047545	-0.741559398	-0.953401345	-0.60280244	-1.036034927	-1.239913646	-0.728975823	-0.822136231	-0.853499462	-1.424440479	-1.51613661	-0.849150858	0.070951235	-1.325550115	0.876572167	-1.481067872	-1.038438794	-0.554019757	0	-1.664856517	-0.819235439	-0.323075156	0	-0.664444549	-2.074314932	-1.687892202	-0.544811834	-0.450094312	-0.258983691	-0.997911127	0.613923291	-0.979966457	-0.819857079	-0.939384881	-0.543173417	-1.424297781	-1.168789689	-1.377421044	-0.854386124	-0.11323619	-0.828831332	-0.847617436	-1.264562465	-0.830823841	-0.938071398	-1.141443108	-0.984153076	-1.041616415	-0.490079491
