		Bacteroides ovatus	Candida dubliniensis	Aspergillus puulaauensis	Methylorubrum populi	Clostridioides difficile	Ruthenibacterium lactatiformans	Dysosmobacter welbionis	[Clostridium] scindens
D17453	"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"	0.189882831	0.888400103	0.947252602	0.288299587	0.061589516	0.927484342	0.567730512	0.529994194
D5223	COG0657 Esterase lipase	0.340135541	0.521714131	0.090443521	0.168809372	0.478653241	0.607653183	0.748724361	0.491827439
D17101	Protoporphyrinogen oxidase	0.127954705	0.756824162	0.045660942	0.450577599	0.469940969	0.972668577	0.894192016	0.593470362
D6892	DNA glycosylase	0.121785597	0.787793247	0.050718113	0.443962873	0.458882569	0.99643438	0.932123397	0.633301407
D15802	Pirin	0.121785597	0.787793247	0.050718113	0.443962873	0.458882569	0.99643438	0.932123397	0.633301407
D4916	COG NOG26882 non supervised orthologous group	0.507570059	0.858899542	0.114847394	0.924667554	0.863950546	0.324628393	0.798226718	0.539824114
D4921	COG NOG27017 non supervised orthologous group	0.658593083	0.45182749	0.114847394	0.924667554	0.576471381	0.98811498	0.972584841	0.503797599
D17546	"Quinolinate phosphoribosyl transferase, C-terminal domain"	0.204442079	0.565747594	0.318752077	0.890075503	0.47458959	0.950112106	0.782088886	0.387474243
D20893	to uniprot P00937 Saccharomyces cerevisiae YKL211c TRP3 anthranilate synthase component II	0.265924821	0.439749771	0.005294581	0.350158807	0.712907609	0.336730546	0.986730333	0.675273686
D4095	Choline sulfatase enzyme C terminal	0.091739708	0.333069532	0.051641464	0.396067045	0.722667302	0.347592135	0.876485483	0.775631389
D1738	ATP-binding cassette sub-family F member 2	0.087804397	0.498429034	0.012940398	0.677784975	0.614256837	0.394956476	0.924907632	0.685401748
D6662	Dephospho-CoA kinase	0.096921438	0.535640477	0.018154068	0.583829012	0.614256837	0.417187993	0.929313481	0.730585624
D12065	Mortierella verticillata NRRL 6337 phosphoenolpyruvate carboxykinase (ATP)	0.086069774	0.73048257	0.024777155	0.982592273	0.887445675	0.615986278	0.795916121	0.325912502
D13095	Oxidoreductase FAD-binding domain	0.017495597	0.704045379	0.096485182	0.915882312	0.747719643	0.654015458	0.920983038	0.352483891
D13835	"PFAM Bacterial transcription activator, effector binding"	0.046475143	0.475620429	0.028958834	0.645841863	0.907589411	0.985668556	0.835251388	0.684386485
D21426	"Trifunctional enzyme bearing the Gln amidotransferase (GATase) domain of anthranilate synthase, indole-glycerolphosphate synthase, and phosphoribosylanthranilate isomerase activities"	0.076599739	0.316004461	0.048467173	0.421231521	0.802289718	0.875097724	0.830743133	0.554268936
D9038	Glucosamine-6-phosphate isomerase	0.039462709	0.702634702	0.021055591	0.443962873	0.550108853	0.709274856	0.974967989	0.456197703
D19060	Sodium/calcium exchanger protein	0.117846662	0.870021664	0.073379493	0.370414134	0.638836337	0.68039778	0.916015769	0.524075941
D19730	that arose from a segmental duplication	0.265924821	0.177241201	0.152738112	0.095602078	0.733680815	0.650842345	0.984518966	0.89162422
D2519	Belongs to the peptidase M20A family	0.542657779	0.702634702	0.028733124	0.179154359	0.603385897	0.456139805	0.893009924	0.913754676
D1617	Asparagine synthetase	0.231998969	0.670423743	0.076497767	0.325942143	0.490572803	0.47365795	0.778642104	0.792763805
D15730	phosphoserine aminotransferase	0.217922993	0.690641845	0.085421804	0.327779449	0.52530569	0.496278853	0.810964557	0.845866536
D19038	Sodium bile acid	0.222548548	0.670423743	0.085421804	0.352243152	0.519435016	0.486787486	0.808644942	0.838896962
D9034	Glucosamine-6-phosphate	0.222548548	0.73048257	0.088213841	0.421231521	0.604431711	0.553121637	0.945200445	0.977513693
D20475	to multidrug resistance protein 1	0.222548548	0.73048257	0.088213841	0.421231521	0.604431711	0.553121637	0.945200445	0.977513693
D18375	rRNA biogenesis protein RRP5	0.234403254	0.777225329	0.063249604	0.377774101	0.498188319	0.52530569	0.8179328	0.862172657
D10514	interacting factor	0.223715297	0.702634702	0.084734521	0.410639759	0.55111226	0.517485306	0.867065424	0.920820171
D8905	Gamma-glutamyl phosphate reductase	0.220227489	0.725613971	0.082698167	0.408539612	0.547103774	0.52530569	0.860012068	0.918464319
D2622	Belongs to the spermidine spermine synthase family	0.220227489	0.725613971	0.082698167	0.408539612	0.547103774	0.52530569	0.860012068	0.918464319
D2804	Beta-alanine synthase	0.220227489	0.725613971	0.082698167	0.408539612	0.547103774	0.52530569	0.860012068	0.918464319
D18877	Sirohaem biosynthesis protein C-terminal	0.226061253	0.779708451	0.073382481	0.412745989	0.555134423	0.553121637	0.890646421	0.960954747
D22047	Urea amidolyase	0.228423842	0.753746711	0.072771432	0.408539612	0.531208451	0.531208451	0.855315689	0.911400924
D9446	Glycosyl-hydrolase 97 N-terminal	0.357601608	0.92424109	0.003444615	0.180333859	0.263629944	0.719790848	0.522782573	0.589706637
D13370	penicillin-binding protein 2	0.376155545	0.858899542	0.003169801	0.204974059	0.539128207	0.794224358	0.939254389	0.918464319
D5799	COG4953 Membrane carboxypeptidase penicillin-binding protein PbpC	0.376155545	0.858899542	0.003169801	0.204974059	0.539128207	0.794224358	0.939254389	0.918464319
D10944	L-fucose H symporter permease	0.376155545	0.858899542	0.003169801	0.204974059	0.539128207	0.794224358	0.939254389	0.918464319
D3979	Cellulase (glycosyl hydrolase family 5)	0.090894896	0.533543812	0.0303512	0.280659437	0.133009843	0.990548001	0.709625941	0.426178253
D15528	Phosphoadenosine phosphosulfate reductase	0.070681404	0.464705856	0.091097702	0.799006105	0.218006247	0.645194206	0.555266989	0.528122168
D5595	COG2243 Precorrin-2 methylase	0.243568434	0.858899542	0.114847394	0.322286668	0.239333853	0.414333313	0.983310546	0.665484541
D7488	Domain of unknown function (DUF4374)	0.139720054	0.390290128	0.03021154	0.352243152	0.20931565	0.794224358	0.970201926	0.837736518
