		Acinetobacter baumannii	Yarrowia lipolytica	Human betaherpesvirus 7	Paracoccus pantotrophus	Acinetobacter tandoii	Zymoseptoria tritici	Methanobrevibacter_A smithii_A	Fusobacterium nucleatum	Gemella morbillorum	Thermothelomyces thermophilus	Candidatus Methanomethylophilus alvus	Lachnoanaerobaculum umeaense	Streptococcus mutans	Streptococcus constellatus
D1337	Aminotransferase class-V	0.178128499	0.126960102	0.148682905	0.002443893	0.013893319	0.399147015	0.066539759	0.047436817	8.64E-06	6.68E-05	0.002358497	0.001106396	9.23E-05	7.40E-13
D2610	Belongs to the sigma-70 factor family. ECF subfamily	0.178128499	0.126960102	0.148682905	0.002443893	0.013893319	0.399147015	0.066539759	0.047436817	8.64E-06	6.68E-05	0.002358497	0.001106396	9.23E-05	7.40E-13
D5160	"COG0508 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes"	0.178959982	0.127181624	0.148682905	0.002466428	0.014283732	0.428248592	0.067093927	0.047327958	8.12E-06	6.59E-05	0.002337567	0.001095408	0.00012824	7.22E-13
D5497	COG1680 Beta-lactamase class C and other penicillin binding proteins	0.178959982	0.127181624	0.148682905	0.002466428	0.014283732	0.428248592	0.067093927	0.047327958	8.12E-06	6.59E-05	0.002337567	0.001095408	0.00012824	7.22E-13
D8872	GAF domain	0.180072997	0.133734086	0.148682905	0.002451384	0.014283732	0.371239324	0.059791102	0.052315455	1.19E-05	5.42E-05	0.002019917	0.000951576	0.000133908	4.05E-13
D5481	COG1621 Beta-fructosidases (levanase invertase)	0.180072997	0.133734086	0.148682905	0.002451384	0.014283732	0.371239324	0.059791102	0.052315455	1.19E-05	5.42E-05	0.002019917	0.000951576	0.000133908	4.05E-13
D1038	alcohol dehydrogenase	0.180072997	0.133734086	0.148682905	0.002451384	0.014283732	0.371239324	0.059791102	0.052315455	1.19E-05	5.42E-05	0.002019917	0.000951576	0.000133908	4.05E-13
D5030	COG0067 Glutamate synthase domain 1	0.180072997	0.133734086	0.148682905	0.002451384	0.014283732	0.371239324	0.059791102	0.052315455	1.19E-05	5.42E-05	0.002019917	0.000951576	0.000133908	4.05E-13
D6812	Dipeptidase	0.180352032	0.130200946	0.148682905	0.002421541	0.013893319	0.371239324	0.061715898	0.049657437	1.19E-05	5.46E-05	0.002056808	0.000966126	9.43E-05	3.76E-13
D10583	Involved in formation and maintenance of cell shape	0.181471305	0.126960102	0.148682905	0.002414131	0.013893319	0.399147015	0.064225407	0.047002609	1.11E-05	5.42E-05	0.002075478	0.000971021	9.23E-05	3.39E-13
D4273	CobB/CobQ-like glutamine amidotransferase domain	0.181471305	0.126960102	0.148682905	0.002414131	0.013893319	0.399147015	0.064225407	0.047002609	1.11E-05	5.42E-05	0.002075478	0.000971021	9.23E-05	3.39E-13
D5254	"COG0737 5'-nucleotidase 2',3'-cyclic phosphodiesterase and related esterases"	0.181471305	0.126960102	0.148682905	0.002414131	0.013893319	0.399147015	0.064225407	0.047002609	1.11E-05	5.42E-05	0.002075478	0.000971021	9.23E-05	3.39E-13
D819	Acts as a magnesium transporter	0.182032821	0.130652826	0.148682905	0.002466428	0.014683541	0.428248592	0.062762716	0.04943162	1.05E-05	5.31E-05	0.002019917	0.00094677	0.000180492	3.57E-13
D2471	Belongs to the MurCDEF family	0.182032821	0.130652826	0.148682905	0.002466428	0.014683541	0.428248592	0.062762716	0.04943162	1.05E-05	5.31E-05	0.002019917	0.00094677	0.000180492	3.57E-13
D9779	Helicase C-terminal domain protein	0.185998643	0.134195191	0.148682905	0.002451384	0.015092926	0.428248592	0.060683212	0.049657437	1.03E-05	4.32E-05	0.00176562	0.0008124	0.000180492	1.64E-13
D18748	Short-chain dehydrogenase reductase sdr	0.186570232	0.137809471	0.148682905	0.002466428	0.01551207	0.428248592	0.060811529	0.050339953	7.94E-06	4.35E-05	0.001757526	0.000795852	0.000180492	1.68E-13
D3668	"Catalyzes the phosphorylation of D-fructose 6-phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP-dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis. Consistently, PPi-PFK can replace the enzymes of both the forward (ATP-PFK) and reverse (fructose-bisphosphatase (FBPase)) reactions"	0.184859254	0.137574107	0.148682905	0.002458896	0.015092926	0.399147015	0.058286458	0.052433601	1.11E-05	4.35E-05	0.001749466	0.000808234	0.00018433	1.82E-13
D13768	PFAM Aminotransferase class I and II	0.185428318	0.141256333	0.148682905	0.002473981	0.01551207	0.399147015	0.058410662	0.053147051	8.51E-06	4.38E-05	0.001741439	0.000791763	0.00018433	1.87E-13
D533	"ABC-type antimicrobial peptide transport system, ATPase component"	0.185428318	0.141256333	0.148682905	0.002473981	0.01551207	0.399147015	0.058410662	0.053147051	8.51E-06	4.38E-05	0.001741439	0.000791763	0.00018433	1.87E-13
D6068	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group	0.185428318	0.141256333	0.148682905	0.002473981	0.01551207	0.399147015	0.058410662	0.053147051	8.51E-06	4.38E-05	0.001741439	0.000791763	0.00018433	1.87E-13
D2258	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	0.178682509	0.130652826	0.148682905	0.002496764	0.014683541	0.428248592	0.065034725	0.049884097	8.19E-06	6.54E-05	0.002296204	0.001079112	0.000180492	7.77E-13
D17479	"Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions"	0.178682509	0.130652826	0.148682905	0.002496764	0.014683541	0.428248592	0.065034725	0.049884097	8.19E-06	6.54E-05	0.002296204	0.001079112	0.000180492	7.77E-13
D21276	Transmembrane secretion effector	0.179237767	0.134195191	0.148682905	0.002512056	0.015092926	0.428248592	0.065170405	0.050569154	6.26E-06	6.59E-05	0.002285966	0.001057723	0.000180492	7.97E-13
D2436	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	0.179237767	0.134195191	0.148682905	0.002512056	0.015092926	0.428248592	0.065170405	0.050569154	6.26E-06	6.59E-05	0.002285966	0.001057723	0.000180492	7.97E-13
D9912	Hexapeptide repeat of succinyl-transferase	0.179237767	0.134195191	0.148682905	0.002512056	0.015092926	0.428248592	0.065170405	0.050569154	6.26E-06	6.59E-05	0.002285966	0.001057723	0.000180492	7.97E-13
D704	"Acetolactate synthase, large subunit"	0.178128499	0.137574107	0.148682905	0.002519733	0.015092926	0.399147015	0.062631087	0.053386617	6.71E-06	6.63E-05	0.002265612	0.001052436	0.00018433	8.79E-13
D8792	Fructose-bisphosphate aldolase class-II	0.178128499	0.137574107	0.148682905	0.002519733	0.015092926	0.399147015	0.062631087	0.053386617	6.71E-06	6.63E-05	0.002265612	0.001052436	0.00018433	8.79E-13
D7734	Domain present in phytochromes and cGMP-specific phosphodiesterases.	0.177575737	0.133964489	0.148682905	0.002504399	0.014683541	0.399147015	0.06249968	0.052670545	8.77E-06	6.59E-05	0.002275768	0.001073728	0.00018433	8.58E-13
D2169	Belongs to the alkaline phosphatase family	0.177575737	0.133964489	0.148682905	0.002504399	0.014683541	0.399147015	0.06249968	0.052670545	8.77E-06	6.59E-05	0.002275768	0.001073728	0.00018433	8.58E-13
D2431	Belongs to the low molecular weight phosphotyrosine protein phosphatase family	0.177575737	0.133964489	0.148682905	0.002504399	0.014683541	0.399147015	0.06249968	0.052670545	8.77E-06	6.59E-05	0.002275768	0.001073728	0.00018433	8.58E-13
D632	ABC-type transport system involved in lipoprotein release permease component	0.184008021	0.137809471	0.148682905	0.002481555	0.01551207	0.428248592	0.065170405	0.048870749	4.64E-06	5.46E-05	0.002029084	0.000904493	0.00012824	3.57E-13
D22105	UvrD-like helicase C-terminal domain	0.184008021	0.137809471	0.148682905	0.002481555	0.01551207	0.428248592	0.065170405	0.048870749	4.64E-06	5.46E-05	0.002029084	0.000904493	0.00012824	3.57E-13
D11298	MacB-like periplasmic core domain	0.183724906	0.141256333	0.148682905	0.002473981	0.01551207	0.399147015	0.064764046	0.049657437	3.75E-06	5.57E-05	0.002038288	0.000895333	9.23E-05	3.76E-13
D6899	DNA helicase	0.183724906	0.141256333	0.148682905	0.002473981	0.01551207	0.399147015	0.064764046	0.049657437	3.75E-06	5.57E-05	0.002038288	0.000895333	9.23E-05	3.76E-13
D7377	Domain of unknown function (DUF4143)	0.183724906	0.141256333	0.148682905	0.002473981	0.01551207	0.399147015	0.064764046	0.049657437	3.75E-06	5.57E-05	0.002038288	0.000895333	9.23E-05	3.76E-13
D8532	Fimbrillin-like	0.179794274	0.137574107	0.148682905	0.002489149	0.015092926	0.399147015	0.066955039	0.04943162	3.81E-06	6.82E-05	0.002327164	0.001041933	9.23E-05	7.97E-13
D9375	"Glycosyl hydrolase family 65, N-terminal domain"	0.178682509	0.141016565	0.148682905	0.002496764	0.015092926	0.371239324	0.064359727	0.052197526	4.10E-06	6.87E-05	0.002306483	0.001036717	9.43E-05	8.79E-13
D21011	"transcription activator, effector binding"	0.177851962	0.141016565	0.148682905	0.002512056	0.015092926	0.371239324	0.062237533	0.05423203	5.45E-06	6.77E-05	0.002275768	0.001041933	0.000133908	9.23E-13
D3748	Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP)	0.177851962	0.141016565	0.148682905	0.002512056	0.015092926	0.371239324	0.062237533	0.05423203	5.45E-06	6.77E-05	0.002275768	0.001041933	0.000133908	9.23E-13
D5058	COG0191 Fructose tagatose bisphosphate aldolase	0.177851962	0.141016565	0.148682905	0.002512056	0.015092926	0.371239324	0.062237533	0.05423203	5.45E-06	6.77E-05	0.002275768	0.001041933	0.000133908	9.23E-13
D1044	Alcohol dehydrogenase GroES-like domain	0.182032821	0.141256333	0.148682905	0.002504399	0.01551207	0.399147015	0.060555113	0.053627061	6.61E-06	5.42E-05	0.001983619	0.000904493	0.00018433	4.16E-13
D2607	Belongs to the short-chain dehydrogenases reductases (SDR) family	0.182032821	0.141256333	0.148682905	0.002504399	0.01551207	0.399147015	0.060555113	0.053627061	6.61E-06	5.42E-05	0.001983619	0.000904493	0.00018433	4.16E-13
D13244	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	0.181751906	0.144767377	0.148682905	0.002496764	0.01551207	0.371239324	0.060172128	0.054475566	5.36E-06	5.53E-05	0.001992638	0.000895333	0.000133908	4.37E-13
D3754	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine	0.181751906	0.144767377	0.148682905	0.002496764	0.01551207	0.371239324	0.060172128	0.054475566	5.36E-06	5.53E-05	0.001992638	0.000895333	0.000133908	4.37E-13
D9952	His Kinase A (phospho-acceptor) domain	0.181751906	0.144767377	0.148682905	0.002496764	0.01551207	0.371239324	0.060172128	0.054475566	5.36E-06	5.53E-05	0.001992638	0.000895333	0.000133908	4.37E-13
D18591	Sel1-like repeats.	0.188292585	0.137574107	0.148682905	0.002399372	0.015092926	0.399147015	0.066677955	0.044880182	3.63E-06	4.60E-05	0.001848411	0.000791763	4.43E-05	1.47E-13
D503	"ABC transporter, ATP-binding protein"	0.188292585	0.137574107	0.148682905	0.002399372	0.015092926	0.399147015	0.066677955	0.044880182	3.63E-06	4.60E-05	0.001848411	0.000791763	4.43E-05	1.47E-13
D17439	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	0.188292585	0.137574107	0.148682905	0.002399372	0.015092926	0.399147015	0.066677955	0.044880182	3.63E-06	4.60E-05	0.001848411	0.000791763	4.43E-05	1.47E-13
D6922	DNA methylase	0.188004735	0.141256333	0.148682905	0.002428971	0.01551207	0.399147015	0.064629047	0.047327958	3.66E-06	4.57E-05	0.001814886	0.000779609	6.43E-05	1.59E-13
D2251	Belongs to the class-II aminoacyl-tRNA synthetase family	0.188004735	0.141256333	0.148682905	0.002428971	0.01551207	0.399147015	0.064629047	0.047327958	3.66E-06	4.57E-05	0.001814886	0.000779609	6.43E-05	1.59E-13
D3417	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)	0.188004735	0.141256333	0.148682905	0.002428971	0.01551207	0.399147015	0.064629047	0.047327958	3.66E-06	4.57E-05	0.001814886	0.000779609	6.43E-05	1.59E-13
D2597	Belongs to the SAICAR synthetase family	0.184008021	0.127181624	0.148682905	0.002406742	0.014283732	0.428248592	0.069205114	0.0433406	6.01E-06	5.50E-05	0.002113275	0.000951576	6.28E-05	2.98E-13
D6895	DNA gyrase B	0.184575194	0.130652826	0.148682905	0.002421541	0.014683541	0.428248592	0.06934773	0.043951131	4.57E-06	5.53E-05	0.002103768	0.000932484	6.28E-05	3.06E-13
D8027	Endonuclease/Exonuclease/phosphatase family	0.184575194	0.130652826	0.148682905	0.002421541	0.014683541	0.428248592	0.06934773	0.043951131	4.57E-06	5.53E-05	0.002103768	0.000932484	6.28E-05	3.06E-13
D2399	Belongs to the helicase family. UvrD subfamily	0.188580752	0.134195191	0.148682905	0.002406742	0.015092926	0.428248592	0.067093927	0.044156207	4.50E-06	4.51E-05	0.001839978	0.00079996	6.28E-05	1.40E-13
D10679	"Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA"	0.188292585	0.137809471	0.148682905	0.002436422	0.01551207	0.428248592	0.065034725	0.046571665	4.53E-06	4.47E-05	0.001806591	0.000787693	9.02E-05	1.51E-13
D20041	"TIGRFAM ATPase, P-type (transporting), HAD superfamily, subfamily IC"	0.188292585	0.137809471	0.148682905	0.002436422	0.01551207	0.428248592	0.065034725	0.046571665	4.53E-06	4.47E-05	0.001806591	0.000787693	9.02E-05	1.51E-13
D3369	"Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34"	0.183159621	0.126960102	0.148682905	0.002384693	0.013893319	0.399147015	0.068636999	0.043441867	6.41E-06	5.57E-05	0.002132402	0.000961254	4.43E-05	3.06E-13
D3921	cell redox homeostasis	0.183159621	0.126960102	0.148682905	0.002384693	0.013893319	0.399147015	0.068636999	0.043441867	6.41E-06	5.57E-05	0.002132402	0.000961254	4.43E-05	3.06E-13
D18343	RNB domain	0.186570232	0.126960102	0.148682905	0.002355576	0.013893319	0.399147015	0.066264056	0.043037964	8.25E-06	4.51E-05	0.001873918	0.00084211	4.43E-05	1.36E-13
D3546	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction	0.186570232	0.126960102	0.148682905	0.002355576	0.013893319	0.399147015	0.066264056	0.043037964	8.25E-06	4.51E-05	0.001873918	0.00084211	4.43E-05	1.36E-13
D17102	Provides the (R)-glutamate required for cell wall biosynthesis	0.186570232	0.126960102	0.148682905	0.002355576	0.013893319	0.399147015	0.066264056	0.043037964	8.25E-06	4.51E-05	0.001873918	0.00084211	4.43E-05	1.36E-13
D1939	B3/4 domain	0.192063511	0.134195191	0.148682905	0.002377384	0.015092926	0.428248592	0.064764046	0.043746839	5.83E-06	3.63E-05	0.00161367	0.000699151	6.28E-05	6.03E-14
D6914	DNA ligase (NAD+) activity	0.187429985	0.127181624	0.148682905	0.002377384	0.014283732	0.428248592	0.066816382	0.042937473	7.76E-06	4.44E-05	0.001856879	0.000833523	6.28E-05	1.32E-13
D1602	Asp/Glu/Hydantoin racemase	0.187429985	0.127181624	0.148682905	0.002377384	0.014283732	0.428248592	0.066816382	0.042937473	7.76E-06	4.44E-05	0.001856879	0.000833523	6.28E-05	1.32E-13
D3608	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	0.187429985	0.127181624	0.148682905	0.002377384	0.014283732	0.428248592	0.066816382	0.042937473	7.76E-06	4.44E-05	0.001856879	0.000833523	6.28E-05	1.32E-13
D3345	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate	0.186570232	0.127181624	0.148682905	0.002392023	0.014283732	0.428248592	0.064629047	0.044672343	1.02E-05	4.38E-05	0.00183158	0.000837806	9.02E-05	1.40E-13
D9187	Glycerol-3-phosphate dehydrogenase	0.186570232	0.127181624	0.148682905	0.002392023	0.014283732	0.428248592	0.064629047	0.044672343	1.02E-05	4.38E-05	0.00183158	0.000837806	9.02E-05	1.40E-13
D19922	This protein specifically catalyzes the removal of signal peptides from prolipoproteins	0.185713323	0.126960102	0.148682905	0.002370095	0.013893319	0.399147015	0.064091312	0.044776163	1.08E-05	4.44E-05	0.001848411	0.000846433	6.43E-05	1.43E-13
D19648	TatD related DNase	0.185713323	0.126960102	0.148682905	0.002370095	0.013893319	0.399147015	0.064091312	0.044776163	1.08E-05	4.44E-05	0.001848411	0.000846433	6.43E-05	1.43E-13
D13432	Peptidase family C69	0.185713323	0.126960102	0.148682905	0.002370095	0.013893319	0.399147015	0.064091312	0.044776163	1.08E-05	4.44E-05	0.001848411	0.000846433	6.43E-05	1.43E-13
D12345	"NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34"	0.185713323	0.126960102	0.148682905	0.002370095	0.013893319	0.399147015	0.064091312	0.044776163	1.08E-05	4.44E-05	0.001848411	0.000846433	6.43E-05	1.43E-13
D7978	"Elongator protein 3, MiaB family, Radical SAM"	0.185713323	0.126960102	0.148682905	0.002370095	0.013893319	0.399147015	0.064091312	0.044776163	1.08E-05	4.44E-05	0.001848411	0.000846433	6.43E-05	1.43E-13
D9744	Heat shock 70 kDa protein	0.185713323	0.126960102	0.148682905	0.002370095	0.013893319	0.399147015	0.064091312	0.044776163	1.08E-05	4.44E-05	0.001848411	0.000846433	6.43E-05	1.43E-13
D10333	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR"	0.184859254	0.148343189	0.148682905	0.002458896	0.01551207	0.344545604	0.057668641	0.054842537	5.62E-06	4.57E-05	0.001757526	0.000775596	9.64E-05	2.07E-13
D5101	COG0367 Asparagine synthase (glutamine-hydrolyzing)	0.184859254	0.148343189	0.148682905	0.002458896	0.01551207	0.344545604	0.057668641	0.054842537	5.62E-06	4.57E-05	0.001757526	0.000775596	9.64E-05	2.07E-13
D9967	Histidine kinase	0.184859254	0.148343189	0.148682905	0.002458896	0.01551207	0.344545604	0.057668641	0.054842537	5.62E-06	4.57E-05	0.001757526	0.000775596	9.64E-05	2.07E-13
D18358	ROK family	0.185713323	0.148343189	0.148682905	0.002443893	0.01551207	0.344545604	0.059664527	0.052789344	4.23E-06	4.64E-05	0.001781907	0.000771601	6.73E-05	1.97E-13
D15712	Phosphoribosyltransferase	0.185713323	0.148343189	0.148682905	0.002443893	0.01551207	0.344545604	0.059664527	0.052789344	4.23E-06	4.64E-05	0.001781907	0.000771601	6.73E-05	1.97E-13
D17884	response regulator	0.185713323	0.148343189	0.148682905	0.002443893	0.01551207	0.344545604	0.059664527	0.052789344	4.23E-06	4.64E-05	0.001781907	0.000771601	6.73E-05	1.97E-13
D9666	"HAD-superfamily hydrolase, subfamily IA, variant 3"	0.184859254	0.14809449	0.148682905	0.002421541	0.015092926	0.319079235	0.059160395	0.052908361	4.52E-06	4.70E-05	0.001798329	0.000779609	4.76E-05	2.02E-13
D21390	"transposition, DNA-mediated"	0.184008021	0.14809449	0.148682905	0.002436422	0.015092926	0.319079235	0.057178217	0.054965306	5.99E-06	4.64E-05	0.001773747	0.000783641	6.89E-05	2.13E-13
D3653	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate	0.177024221	0.140777102	0.148682905	0.002489149	0.014683541	0.344545604	0.061715898	0.054353687	5.80E-06	6.87E-05	0.002296204	0.001052436	9.64E-05	9.46E-13
D10920	KR domain	0.177024221	0.140777102	0.148682905	0.002489149	0.014683541	0.344545604	0.061715898	0.054353687	5.80E-06	6.87E-05	0.002296204	0.001052436	9.64E-05	9.46E-13
D13806	"PFAM ATP-binding region, ATPase domain protein"	0.176473949	0.137104285	0.148682905	0.002473981	0.014283732	0.344545604	0.061586042	0.053627061	7.61E-06	6.82E-05	0.002306483	0.001073728	9.64E-05	9.23E-13
D8944	GDSL-like Lipase/Acylhydrolase family	0.176473949	0.137104285	0.148682905	0.002473981	0.014283732	0.344545604	0.061586042	0.053627061	7.61E-06	6.82E-05	0.002306483	0.001073728	9.64E-05	9.23E-13
D5662	COG3250 Beta-galactosidase beta-glucuronidase	0.176473949	0.137104285	0.148682905	0.002473981	0.014283732	0.344545604	0.061586042	0.053627061	7.61E-06	6.82E-05	0.002306483	0.001073728	9.64E-05	9.23E-13
D5448	COG1472 Beta-glucosidase-related glycosidases	0.176473949	0.137104285	0.148682905	0.002473981	0.014283732	0.344545604	0.061586042	0.053627061	7.61E-06	6.82E-05	0.002306483	0.001073728	9.64E-05	9.23E-13
D5506	COG1762 Phosphotransferase system mannitol fructose-specific IIA domain (Ntr-type)	0.176473949	0.137104285	0.148682905	0.002473981	0.014283732	0.344545604	0.061586042	0.053627061	7.61E-06	6.82E-05	0.002306483	0.001073728	9.64E-05	9.23E-13
D8943	GDSL-like Lipase/Acylhydrolase	0.179794274	0.136869827	0.148682905	0.002406742	0.013893319	0.319079235	0.060940066	0.051261874	7.91E-06	5.69E-05	0.002075478	0.00094677	4.76E-05	4.16E-13
D3430	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA)	0.180072997	0.144279258	0.148682905	0.002451384	0.014683541	0.319079235	0.059160395	0.054719991	6.09E-06	5.69E-05	0.002029084	0.000913738	6.89E-05	4.60E-13
D3451	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate	0.179515864	0.140537943	0.148682905	0.002436422	0.014283732	0.319079235	0.059034901	0.05398938	7.97E-06	5.65E-05	0.002038288	0.000932484	6.89E-05	4.49E-13
D9984	Histidine Phosphotransfer domain	0.179515864	0.140537943	0.148682905	0.002436422	0.014283732	0.319079235	0.059034901	0.05398938	7.97E-06	5.65E-05	0.002038288	0.000932484	6.89E-05	4.49E-13
D13691	PFAM ABC transporter related	0.18429145	0.133964489	0.148682905	0.002414131	0.014683541	0.399147015	0.068920588	0.044672343	3.69E-06	5.65E-05	0.002113275	0.000923068	4.43E-05	3.22E-13
D11871	mismatched DNA binding	0.18429145	0.133964489	0.148682905	0.002414131	0.014683541	0.399147015	0.068920588	0.044672343	3.69E-06	5.65E-05	0.002113275	0.000923068	4.43E-05	3.22E-13
D11546	membrane	0.18429145	0.133964489	0.148682905	0.002414131	0.014683541	0.399147015	0.068920588	0.044672343	3.69E-06	5.65E-05	0.002113275	0.000923068	4.43E-05	3.22E-13
D10481	Insulinase (Peptidase family M16)	0.18429145	0.133964489	0.148682905	0.002414131	0.014683541	0.399147015	0.068920588	0.044672343	3.69E-06	5.65E-05	0.002113275	0.000923068	4.43E-05	3.22E-13
