		Acinetobacter baumannii	Streptococcus mutans	Lachnoanaerobaculum umeaense	Candidatus Methanomethylophilus alvus	Acinetobacter tandoii	Yarrowia lipolytica	Human betaherpesvirus 7	Fusobacterium nucleatum	Streptococcus constellatus	Gemella morbillorum	Zymoseptoria tritici	Thermothelomyces thermophilus	Methanobrevibacter_A smithii_A	Paracoccus pantotrophus
D10898	"Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis"	0.328962305	0.20289249	0.156994285	0.081258075	0.12580204	-0.148519761	-0.044257209	0.101014505	0.127210667	0.185811467	0.160594145	-0.055137133	-0.029993753	-0.086241049
D3735	Catalyzes the reversible oxidation of malate to oxaloacetate	0.272080209	0.107989689	0.232510625	0.175030059	0.174581075	-0.172112944	-0.091656859	0.147206188	0.225613923	0.116393607	0.004208537	-0.087294138	0.007411023	-0.076317314
D10903	KH type 2 domain protein	0.270669282	0.121701982	0.184266254	0.176906307	0.145989661	-0.189398368	-0.0462108	0.111431165	0.175475871	0.063958902	0.043553235	-0.076916855	0.028253613	-0.024511744
D5266	"COG0790 FOG TPR repeat, SEL1 subfamily"	0.347153563	0.161342057	0.156345779	0.139547824	0.105269177	-0.157752197	-0.157477519	0.271366612	0.257140359	0.065033618	0.048313844	-0.069215123	-0.08265071	-0.027886613
D20950	"TonB-linked outer membrane protein, SusC RagA family"	0.199768924	0.122657576	0.201088879	0.150984123	0.14351135	-0.037416765	-0.228944895	0.223988685	0.233738062	0.133408306	0.046733181	-0.09883145	-0.052564639	-0.052748343
D12679	NMT1-like family	0.301821426	0.220442529	0.204169506	0.102391256	0.17840456	-0.220786326	-0.043670759	0.20765205	0.055713839	0.142405504	0.003928053	-0.018164194	-0.027636059	-0.021386068
D19632	tape measure	0.303827251	0.196678407	0.184227061	0.134018953	0.244380892	-0.174218301	-0.146076184	0.212184404	0.096334871	0.12281715	-0.025791592	0.03450465	-0.081327904	-0.023845057
D18569	Secretion protein	0.244434647	0.207144196	0.167613051	0.052151662	0.179960969	-0.146667308	-0.134116251	0.263515795	0.113252268	0.129252792	-0.061430019	2.87E-05	-0.165374104	-0.063228352
D19710	Tetratricopeptide repeat-like domain	0.187306009	0.195806944	0.20187622	0.106987793	0.150507794	-0.079729346	-0.134116251	0.258900463	0.068291819	0.12501946	0.019964105	0.080920703	-0.108117871	0.000390942
D4190	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins	0.347162694	0.22727598	0.168092405	0.13828051	0.171100393	-0.095687764	-0.084726283	0.103387659	0.154078681	0.144733541	0.021343296	0.016672767	-0.102371406	-0.033217383
D4196	Clp protease	0.342676036	0.195736031	0.147757344	0.173265137	0.186560045	-0.065988222	-0.12062688	0.089481485	0.135620724	0.111094702	0.018757339	0.005917347	-0.094885052	-0.010606617
D2381	Belongs to the GPI family	0.293374946	0.153898312	0.201297372	0.157836439	0.193710718	0.007785403	-0.099698955	0.066810693	0.180738992	0.104078059	-0.03568349	0.031747853	-0.020989823	0.018280027
D3786	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation	0.365952914	0.163036254	0.148314757	0.136338745	0.22987017	0.012027361	-0.0423599	0.08181321	0.170662819	0.150090224	0.017078881	0.024941658	-0.056783063	-0.021004101
D358	6-bladed beta-propeller	0.303392739	0.098709413	0.048111123	0.130744183	0.138951376	-0.188850889	-0.082023415	0.204209197	0.098698717	0.075749958	0.049310152	-0.047880194	-0.168888215	0.025538483
D2627	Belongs to the SUA5 family	0.343439449	0.088461955	0.122883034	0.122311665	0.252344201	0.005636717	-0.063507971	0.181968966	0.099624379	0.0726986	0.009074995	0.012953737	-0.097877105	0.064488685
D7487	Domain of unknown function (DUF4373)	0.339996092	0.088073794	0.118851589	0.141184443	0.23948522	-0.171564957	-0.085726504	0.170168027	0.092759052	0.043138571	0.024454302	0.029886437	-0.046342896	0.08689509
D19429	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"	0.33119248	0.128505665	0.242714213	0.068259084	0.231009048	0.024247539	0.092708539	0.184370178	0.048324045	0.099327243	0.090729038	0.125567705	-0.099891267	-0.056117505
D5134	COG0457 FOG TPR repeat	0.279018026	0.099868036	0.192615684	0.097667407	0.261381302	-0.058241436	-0.012042123	0.227402641	0.081657943	0.052464232	0.030463277	0.145198138	-0.076000949	0.019562679
D18759	siderophore transport	0.251686134	0.045411187	0.222313933	0.099299705	0.157096368	-0.078590336	-0.0539126	0.213579678	0.107290961	0.025405071	0.149262739	0.097927615	-0.107852356	0.032383062
D10906	KilA-N	0.131238794	0.145921282	0.249247893	0.093119572	0.017461292	-0.129304984	0.061806945	0.225458327	0.112705645	0.168216872	0.235575813	-0.081376469	-0.089450072	-0.053032222
D83	"1,4-alpha-glucan branching enzyme"	0.201503492	0.201476589	0.280742314	0.028127435	0.148302818	-0.089310282	-0.006956009	0.410938255	0.182807221	0.143710394	0.164822874	0.053310755	-0.142679727	0.00676421
D520	"ABC transporter, substrate-binding protein, QAT family"	0.330429606	0.186859323	0.180772069	0.083318375	0.194344883	-0.103336169	-0.047695713	0.282391988	0.162949355	0.138591441	0.183483734	-0.015088775	-0.153419255	0.002836927
D1354	amp-dependent synthetase and ligase	0.3075123	0.185256104	0.098798364	0.075244043	0.176440897	-0.016383117	0.076675387	0.217025375	0.213255305	0.177022272	0.081703508	0.018212247	-0.105560685	0.06507475
D849	acyl-CoA dehydrogenase	0.212168374	0.221262088	0.20298617	0.067178954	0.178512077	-0.1360781	0.018773508	0.225757782	0.123056137	0.168616844	0.053471733	-0.074135164	-0.096198724	0.042013505
D6057	Controls the rotational direction of flagella during chemotaxis	0.21951358	0.267508766	0.244334902	0.083896153	0.150783702	-0.146233702	0.026919391	0.303875396	0.145445552	0.224737952	0.041804731	0.078452908	-0.087458405	0.061690647
D5160	"COG0508 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes"	0.255953663	0.149352349	0.155315213	0.045119147	0.040779852	-0.182277476	0.075156732	0.17888773	0.025428961	0.046466886	0.064139759	-0.04303298	0.041572611	-0.003277976
D9333	Glycosyl hydrolase 108	0.306845801	0.175636794	0.089827969	0.107323145	0.073175324	-0.237940947	0.113973301	0.148698765	0.02787788	0.067243589	0.010867614	0.00182603	0.136779959	0.056476677
D5353	"COG1131 ABC-type multidrug transport system, ATPase component"	0.306513964	0.153965182	0.08568379	0.023504413	0.133105482	-0.245464124	0.144430677	0.183764803	0.072216097	0.093696034	0.089978593	0.068687828	-0.068653425	0.094893594
D11225	lyase activity	0.249394368	0.139876499	0.081708277	0.114129	0.037178598	-0.13008187	0.017305323	0.112044539	0.092073793	0.050973281	0.020355047	0.007489469	-0.040581093	0.14931378
D11731	Methyl-accepting chemotaxis protein	0.221682423	0.203546393	0.19869974	0.1269141	0.244896056	-0.184136044	0.006507234	0.236570255	0.145694223	0.17005807	-0.055086948	0.02855742	0.042937092	0.112558402
D11736	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).	0.263708372	0.218539502	0.216649337	0.187035398	0.339983604	-0.212881936	0.125516356	0.268512853	0.158552251	0.185181211	0.010075904	-0.007682146	0.054060842	0.039660961
D5135	COG0458 Carbamoylphosphate synthase large subunit (split gene in MJ)	0.324856577	0.194222823	0.131954794	0.050677894	0.267151668	-0.134554748	-0.019896353	0.184543133	0.039858519	0.120278402	-0.062153866	-0.022263061	-0.001949309	0.210721805
D7257	Domain of unknown function (DUF1939)	0.305370682	0.248517585	0.155926982	0.122096425	0.162856199	-0.236355993	-0.006956009	0.220435256	0.117929588	0.139272891	-0.024915651	-0.042648604	0.020894521	0.11066053
D7774	Drug metabolite transporter (DMT) superfamily	0.32189111	0.156317232	0.164960884	0.139517915	0.137226793	-0.243642498	0.002019486	0.197332871	0.07408577	0.096284578	-0.011727875	-0.048810149	0.064244911	0.034988971
D13605	Periplasmic binding proteins and sugar binding domain of LacI family	0.335607789	0.234196455	0.304621399	0.104137057	0.422938359	-0.041888135	-0.168444355	0.186520956	0.151798203	0.280375088	0.062019597	0.102497952	-0.038344517	-0.050060857
D8344	Family 5	0.265625413	0.216139154	0.201854565	0.170521158	0.288716217	0.025278106	-0.168444355	0.096981031	0.147689884	0.275400223	0.007987042	0.072080135	0.03933299	-0.057044063
D2536	Belongs to the peptidase S51 family	0.261928927	0.256789462	0.284604968	0.086345216	0.315868276	0.015990011	-0.157477519	0.170749961	0.236814277	0.238071442	0.020541991	0.096203714	-0.017543783	-0.037480526
D12780	nucleoside kinase activity	0.309372169	0.255479653	0.216951908	0.089443296	0.361323105	0.065224336	-0.146076184	0.110515575	0.221322472	0.252891466	-0.019173372	0.051971289	0.006658693	0.009148716
D9721	HD domain protein	0.16268906	0.284362825	0.278898661	0.085452898	0.373043085	0.05783663	-0.146076184	0.116107819	0.2086087	0.262875849	-0.025012978	0.174237765	-0.073704848	-0.07669349
D12681	NnrS protein	0.201160507	0.284550989	0.190956396	0.008856735	0.256358454	-0.029297821	-0.146076184	0.165521253	0.320695561	0.340809501	-0.037762784	0.204724016	-0.077654142	-0.073627697
D10453	Inner membrane protein CreD	0.193900665	0.350126138	0.246081631	0.008272775	0.251078023	-0.03132185	-0.146076184	0.295151302	0.165045333	0.28210503	0.001995199	-0.025396279	-0.145435049	-0.018735402
D2354	Belongs to the glutathione peroxidase family	0.192395762	0.328142055	0.235127355	-0.018522219	0.253788011	0.021144999	-0.157477519	0.228430499	0.237343373	0.286688595	-0.054396109	0.034468575	-0.135412012	-0.04992048
D9152	glutathione peroxidase activity	0.198758626	0.334531839	0.233649114	-0.012738329	0.260348352	0.022386015	-0.157477519	0.227392768	0.236726095	0.293926665	-0.051963203	0.034165332	-0.133939201	-0.04496286
D19540	Sulfurtransferase TusA	0.202246625	0.318514588	0.208655468	0.012457826	0.259063064	-0.027273792	-0.146076184	0.221076988	0.09035192	0.206112785	-0.0607319	0.098531135	-0.063877535	0.093287703
D12782	Nucleoside recognition	0.256252254	0.350699004	0.191607143	0.065287313	0.310258504	-0.080542358	-0.134116251	0.295430322	0.165372344	0.296877894	-0.097917939	0.005079065	-0.087212459	0.041257412
D6369	Cytochrome bd terminal oxidase subunit II	0.315145745	0.336390167	0.175100977	0.095331565	0.365959581	-0.023023331	-0.146076184	0.181381224	0.133634836	0.286172741	-0.015085648	-0.05191771	-0.027507292	0.07382235
D17366	Putative neutral zinc metallopeptidase	0.257129818	0.326899597	0.259996595	0.090660182	0.311008764	-0.067253509	-0.157477519	0.244169417	0.147353066	0.260614104	0.038857643	0.002628102	-0.056183423	0.015745034
D6082	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway	0.082659305	0.252092701	0.161273577	-0.008370102	0.140832941	-0.094471556	-0.146076184	0.218968437	0.287508876	0.227283374	-0.200785113	0.061508289	-0.083256629	-0.108519341
D12116	MucBP domain	0.222758829	0.174744848	0.049543357	-0.026792558	0.171131914	0.138645593	0.007691255	0.040065006	0.256394723	0.207334253	-0.003492415	0.160349251	-0.123169767	-0.002189275
D10349	Imidazolone-5-propionate hydrolase	0.207947631	0.317563812	0.115540346	-0.048926086	0.165698505	-0.105514534	0.101764272	0.179285407	0.206044785	0.271834903	-0.129538469	0.097019861	-0.012067609	0.0532033
D4053	chemotaxis protein	0.233457806	0.292953867	0.179215044	0.0531108	0.18180649	-0.072265303	-0.015663087	0.170490528	0.224336445	0.284900879	-0.000986934	0.092514262	-0.080311539	0.045398947
D17602	RDD family	0.230718876	0.26080719	0.221377591	0.028121761	0.163406491	0.011490565	0.026919391	0.218933655	0.275370236	0.284252167	0.016158936	0.110419455	-0.106494627	0.007193333
D19482	Sugar transport-related sRNA regulator N-term	0.2494556	0.259396332	0.098049932	0.117412913	0.304602391	0.008563723	-0.134116251	0.169687085	0.067190338	0.216642633	-0.204645104	0.024591859	-0.076440023	0.035315094
D1917	Autotransporter beta-domain	0.199960061	0.279470561	0.110388744	-0.042337142	0.257775154	0.054901788	-0.146076184	0.080720833	0.139524304	0.205558097	-0.169494559	0.114068943	-0.049458019	0.092801069
D3479	Catalyzes the conversion of N-formimidoyl-L-glutamate to L-glutamate and formamide	0.215839712	0.257683147	0.100271607	0.0608827	0.275701032	0.020379493	-0.134116251	0.02430414	0.16096642	0.264991743	-0.122260594	0.105311695	-0.051943799	0.040736156
D3375	"Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate"	0.170291887	0.203264147	0.197962279	0.236796016	0.341102921	0.146691506	0.016679462	0.039008193	0.248245755	0.286542533	-0.035280952	0.126927819	0.107778989	0.143459649
D2390	Belongs to the GTP cyclohydrolase I type 2 NIF3 family	0.196873199	0.286526711	0.182659956	0.095526218	0.396869417	-0.034357893	-0.008751108	0.12390029	0.260492109	0.310024321	-0.182244365	0.094512736	-0.040181771	0.014209707
D18735	Short C-terminal domain	0.266794169	0.182976811	0.161406006	0.216701353	0.314966338	-0.004602528	-0.0539126	0.178612397	0.214782466	0.213057516	-0.182146893	0.007057225	0.108837489	0.112703912
D2164	Belongs to the AlaDH PNT family	0.144167888	0.115767893	0.133526594	0.047446797	0.12756747	0.028285806	-0.146076184	0.164512816	0.159342832	0.105483152	0.064527644	0.168022642	-0.153149949	-0.038979369
D4219	CoA binding domain protein	0.255466413	0.115767893	0.12440051	0.066717496	0.12756747	0.028285806	-0.146076184	0.097955945	0.165512751	0.105483152	0.022774463	0.074313586	-0.17133507	-0.104820924
D8349	Family of unknown function (DUF3836)	0.220799433	0.136147803	0.162083549	0.054393063	0.162578767	0.010840156	-0.134116251	0.065645727	0.176987961	0.143710488	-0.001459517	0.112428125	-0.158979507	-0.115067261
D19874	"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides"	0.215356821	0.260169431	0.204124685	-0.05558501	0.101493788	-0.042174131	-0.069014992	0.107929825	0.116314865	0.154768016	0.04877987	0.022050568	-0.09049047	-0.026154231
D6665	Destroys radicals which are normally produced within the cells and which are toxic to biological systems	0.232016257	0.189556387	0.211714371	0.012589933	0.13493821	0.009291896	-0.179066851	0.030955287	0.115112171	0.053348666	0.067668281	0.071514744	-0.091932607	-0.043594992
D9508	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	0.254718785	0.14877896	0.136815794	0.137456309	0.095840407	-0.027078011	-0.096330747	0.005951725	0.104296782	0.072160788	0.035446087	0.03263253	-0.12924768	-0.047097093
D295	40-residue YVTN family beta-propeller repeat	0.165661594	0.283327923	0.12025229	0.080975867	0.224933453	-0.033143476	-0.146076184	0.085487992	0.152425044	0.271565959	-0.02330976	-0.050149615	-0.053407313	-0.008613419
D3116	Cache domain	0.164060999	0.276742183	0.152884954	0.127303407	0.224675871	-0.116938279	-0.146076184	0.146360942	0.166447587	0.265649288	-0.062727099	0.033647391	-0.035222192	-0.011143914
D16190	Prokaryotic diacylglycerol kinase	0.130007338	0.26930279	0.280170244	0.09984096	0.291145509	0.003436659	-0.157477519	0.140309856	0.10899365	0.239466732	0.039408489	0.072197008	-0.0768461	0.006105217
D4	#NAME?	0.196736529	0.300275495	0.219084087	0.095617802	0.181563515	-0.065726104	-0.157477519	0.095038849	0.072838798	0.194904642	0.092450434	-0.004295937	-0.085639651	0.009456201
D17835	"Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene"	0.219146193	0.217221753	0.206665164	0.123094603	0.276942618	-0.075555886	-0.134116251	0.095448985	0.041105266	0.188940301	0.067528714	0.081494608	-0.049779474	-0.020641737
D12854	O-Antigen ligase	0.143919363	0.221335033	0.134389544	0.014941716	0.200880074	-0.129972536	-0.04127435	0.07328974	0.03747759	0.173234036	-0.009157826	-0.078666183	-0.095906012	0.010695606
D8455	Ferric uptake regulator	0.113430657	0.2013496	0.132510583	0.037999562	0.188859	-0.051382339	-0.134116251	0.066234918	0.059179567	0.09575748	-0.09950777	-0.091595349	-0.027054062	0.038963886
D17541	queuosine biosynthetic process	0.174620635	0.153673049	0.126077765	0.095729156	0.17189587	-0.055824373	-0.189412988	0.060706753	0.008060974	0.101762783	-0.05533338	-0.044918077	-0.023834572	0.005983072
D12476	NADPH-quinone reductase (modulator of drug activity B)	0.157601454	0.156599478	0.060149191	0.046716846	0.117650564	-0.033750685	-0.146076184	0.040199983	0.122510285	0.131784604	-0.028711395	0.061401131	-0.070857682	-0.006131586
D3733	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion	0.232297225	0.252368393	0.099145414	0.159704328	0.126744025	-0.013656564	-0.140321065	0.049518229	0.122971451	0.138006261	0.068515897	-0.025981464	-0.043697505	0.02808262
D10619	Involved in the anomeric conversion of L-rhamnose	0.206280826	0.154375417	0.03671691	0.132111394	0.181442027	0.014748995	-0.157477519	0.077873051	0.098014921	0.169767612	0.078816978	0.039017214	-0.026640559	-0.0082627
D10583	Involved in formation and maintenance of cell shape	0.292252282	0.294619701	0.179694802	0.163043243	0.152702501	-0.009416395	-0.209476639	0.065373847	0.19731744	0.182424939	0.075302756	-0.060154349	-0.062231319	-0.034231942
D10602	Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane	0.157242452	0.262548107	0.141996812	0.117623374	0.067861883	-0.037894467	-0.168444355	0.099612139	0.039951308	0.173291123	0.038058472	-0.087841658	-0.07878954	-0.069351963
D12973	ORF11CD3 domain	-0.00062011	0.159567117	0.385821034	0.199062217	0.081518313	-0.013221591	-0.157477519	0.299731255	0.142899846	0.204322853	0.078334988	-0.008440252	0.01823687	-0.163417847
D4902	COG NOG26135 non supervised orthologous group	0.070140253	0.297388724	0.234806384	0.092079872	0.048007986	0.026937787	-0.134116251	0.313400655	0.151954303	0.212409301	0.009903864	0.00754686	-0.140435178	-0.019416786
D17766	repeat-containing protein	0.194771462	0.216054774	0.226326796	0.146254518	0.087267494	-0.093442764	-0.168444355	0.329011949	0.176867335	0.20065288	-0.022258969	0.018692782	-0.060914652	-0.14341759
D17161	"Psort location OuterMembrane, score 10.00"	-0.024125063	0.137558661	0.185287712	-0.056243522	0.041110286	-0.058591042	-0.134116251	0.20376198	-0.013117637	0.014804285	0.056816904	0.230624003	-0.182885461	0.033542823
D2182	Belongs to the asparaginase 1 family	0.02154207	0.099618514	0.295822213	0.094125926	0.226453256	-0.076274739	-0.157477519	0.213340163	0.088094382	0.033312561	0.093253752	0.198674441	-0.204114332	-0.152079586
D17595	Rare lipoprotein A (RlpA)-like double-psi beta-barrel	0.046474422	0.223303611	0.227645098	-0.030560604	0.109407941	-0.089310282	-0.146076184	0.144344067	0.015097605	0.135297628	0.084722948	0.028825313	-0.182631888	-0.106524143
D8064	Enoyl-CoA hydratase/isomerase	-0.0212472	0.227047372	0.306146843	-0.012301642	0.158509125	0.020487895	-0.134116251	0.22197781	0.105141363	0.179384358	-0.005551376	0.078567689	-0.178409243	-0.070525936
D18927	Small Multidrug Resistance protein	0.089795443	0.241659831	0.301357898	0.030754104	0.150507794	-0.051544941	-0.134116251	0.233368841	0.087818072	0.173294301	0.080951056	0.080920703	-0.143288151	-0.058901928
D3512	"Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration"	0.41283921	0.234875696	0.239075748	0.187743327	0.492947491	0.051865745	-0.146076184	0.069903049	0.190472877	0.266758664	-0.083847007	0.145198138	0.11347332	0.009246043
D16652	Protein of unknown function (DUF2975)	0.412953539	0.23412304	0.235849355	0.190371149	0.492561118	0.052068148	-0.146076184	0.062018902	0.188509721	0.266851112	-0.079369976	0.145305295	0.116504174	0.010997924
D13295	"Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling"	0.375622331	0.246194732	0.16312033	0.158748514	0.424346447	0.021029902	-0.134116251	0.089802569	0.224151372	0.264843205	-0.113399242	0.100720449	0.077522186	0.069665864
D16862	Protein of unknown function (DUF4059)	0.375989717	0.242969913	0.161244249	0.160729286	0.424208493	0.018645068	-0.134116251	0.085580032	0.222048545	0.261872446	-0.112252479	0.100490887	0.081260565	0.070916878
D407	A G-specific adenine glycosylase	0.372683237	0.241659831	0.164700188	0.156454987	0.422690999	0.022113918	-0.134116251	0.09039176	0.221047199	0.262268547	-0.116631029	0.102384776	0.072603265	0.068310598
D16134	Primosomal protein DnaI	0.37341801	0.248109467	0.16924228	0.15843576	0.423242815	0.02363154	-0.134116251	0.094516099	0.224952449	0.266328585	-0.112200353	0.106115163	0.072996779	0.067059584
D754	Acetyltransferase GNAT Family	0.264702149	0.190264287	0.061614459	0.068545163	0.302740012	-0.058862046	-0.134116251	-0.011292833	0.25514304	0.273854509	-0.063723545	0.163103998	0.060502721	0.010633622
D22013	UPF0291 protein	0.326635731	0.227160973	0.174824429	0.103361023	0.377421978	0.051056133	-0.146076184	0.046892341	0.154949102	0.185589332	-0.092849732	0.165825917	0.090879685	0.118154691
D13514	peptidase U32	0.333457228	0.220846925	0.149998036	0.129403065	0.307728593	0.009307618	-0.157477519	-0.043887366	0.104804978	0.114522828	-0.073423271	0.135423089	0.115052561	0.135990273
D21839	UDPglucose--hexose-1-phosphate uridylyltransferase	0.342192686	0.229899119	0.145824177	0.129678488	0.321821178	0.015321772	-0.157477519	-0.037833937	0.109566837	0.13165874	-0.076131601	0.126376352	0.109594495	0.139157641
D2205	Belongs to the bacterial ribosomal protein bS16 family	0.405514207	0.226569737	0.2627666	0.210612174	0.344695058	0.034363096	-0.070914149	0.07076781	0.140970618	0.192273685	0.00132511	0.099474088	0.055816096	-0.005260285
D2692	Belongs to the UPF0109 family	0.41473519	0.19383513	0.189605585	0.240712005	0.328670137	0.000651301	-0.0616144	-0.000157333	0.130674374	0.162445696	-0.063805697	0.11999581	0.103320744	0.026411717
D9111	glutamine amidotransferase	0.390278533	0.145288766	0.198871986	0.252533835	0.402613604	0.070772111	-0.070914149	0.059723342	0.149918685	0.171257458	-0.086252612	0.139175302	0.103257883	0.031882949
D16072	Predicted membrane protein (DUF2207)	0.274866907	0.237904536	0.215069117	0.269917864	0.376932946	0.118821381	-0.199535572	0.034369531	0.153820171	0.222925611	-0.132186467	0.113540149	0.098979669	0.00226838
D16651	Protein of unknown function (DUF2974)	0.301718887	0.166101864	0.184905892	0.23223524	0.384589175	0.036079163	-0.168444355	0.012374434	0.176615805	0.202476997	-0.159086158	0.143968056	0.108773222	-0.085064176
D7349	Domain of unknown function (DUF4041)	0.215623027	0.120095664	0.161457942	0.223997546	0.365058044	-0.027476194	-0.146076184	0.003804559	0.201877879	0.222568527	-0.088372701	0.05234634	0.213124112	0.034356348
D16490	Protein of unknown function (DUF1700)	0.291721405	0.200866389	0.197886095	0.272825124	0.383780608	-0.037440641	-0.168444355	-0.000616666	0.19766046	0.239332453	-0.072756276	0.050840522	0.200701216	0.057786028
D15846	Plays a role in the regulation of phosphate uptake	0.347130781	0.222049231	0.194722756	0.208070573	0.377856549	-0.019071094	-0.086894523	-0.038935091	0.205552911	0.201857714	-0.08974643	0.107435151	0.192726771	0.08447293
D17284	Putative adhesin	0.321315537	0.219346126	0.181339509	0.167907532	0.341821363	0.00564461	-0.179066851	-0.064113237	0.147479949	0.160978112	-0.084809798	0.134064285	0.157621272	0.031130332
