		Acinetobacter baumannii	Yarrowia lipolytica	Human betaherpesvirus 7	Paracoccus pantotrophus	Acinetobacter tandoii	Zymoseptoria tritici	Methanobrevibacter_A smithii_A	Fusobacterium nucleatum	Gemella morbillorum	Thermothelomyces thermophilus	Candidatus Methanomethylophilus alvus	Lachnoanaerobaculum umeaense	Streptococcus mutans	Streptococcus constellatus
D3668	"Catalyzes the phosphorylation of D-fructose 6-phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP-dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis. Consistently, PPi-PFK can replace the enzymes of both the forward (ATP-PFK) and reverse (fructose-bisphosphatase (FBPase)) reactions"	-0.170629244	-0.190726267	-0.18559278	-0.377919718	-0.307371967	0.108977979	0.241818338	0.247513476	0.526461149	0.494812954	0.389577519	0.414564275	0.4576219	0.773009599
D13768	PFAM Aminotransferase class I and II	-0.170411674	-0.188991374	-0.18559278	-0.377706354	-0.306175332	0.108977979	0.241702608	0.246792388	0.532207087	0.494638877	0.389732175	0.415204899	0.4576219	0.772783738
D533	"ABC-type antimicrobial peptide transport system, ATPase component"	-0.170411674	-0.188991374	-0.18559278	-0.377706354	-0.306175332	0.108977979	0.241702608	0.246792388	0.532207087	0.494638877	0.389732175	0.415204899	0.4576219	0.772783738
D6068	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group	-0.170411674	-0.188991374	-0.18559278	-0.377706354	-0.306175332	0.108977979	0.241702608	0.246792388	0.532207087	0.494638877	0.389732175	0.415204899	0.4576219	0.772783738
D2258	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	-0.173022514	-0.194084124	-0.18559278	-0.377386309	-0.308568601	0.102428007	0.235800366	0.250157466	0.533039832	0.484716506	0.380298182	0.405435372	0.45819554	0.760135517
D17479	"Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions"	-0.173022514	-0.194084124	-0.18559278	-0.377386309	-0.308568601	0.102428007	0.235800366	0.250157466	0.533039832	0.484716506	0.380298182	0.405435372	0.45819554	0.760135517
D21276	Transmembrane secretion effector	-0.172804944	-0.192349231	-0.18559278	-0.377172946	-0.307371967	0.102428007	0.235684635	0.249436378	0.538785769	0.48454243	0.380452837	0.406075997	0.45819554	0.759909656
D2436	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	-0.172804944	-0.192349231	-0.18559278	-0.377172946	-0.307371967	0.102428007	0.235684635	0.249436378	0.538785769	0.48454243	0.380452837	0.406075997	0.45819554	0.759909656
D9912	Hexapeptide repeat of succinyl-transferase	-0.172804944	-0.192349231	-0.18559278	-0.377172946	-0.307371967	0.102428007	0.235684635	0.249436378	0.538785769	0.48454243	0.380452837	0.406075997	0.45819554	0.759909656
D704	"Acetolactate synthase, large subunit"	-0.173240084	-0.190726267	-0.18559278	-0.377066264	-0.307371967	0.108977979	0.23788351	0.246552026	0.537286829	0.484368353	0.380762149	0.406236153	0.4576219	0.759006211
D8792	Fructose-bisphosphate aldolase class-II	-0.173240084	-0.190726267	-0.18559278	-0.377066264	-0.307371967	0.108977979	0.23788351	0.246552026	0.537286829	0.484368353	0.380762149	0.406236153	0.4576219	0.759006211
D7734	Domain present in phytochromes and cGMP-specific phosphodiesterases.	-0.173457654	-0.19246116	-0.18559278	-0.377279628	-0.308568601	0.108977979	0.23799924	0.247273114	0.531540891	0.48454243	0.380607493	0.405595528	0.4576219	0.759232072
D2169	Belongs to the alkaline phosphatase family	-0.173457654	-0.19246116	-0.18559278	-0.377279628	-0.308568601	0.108977979	0.23799924	0.247273114	0.531540891	0.48454243	0.380607493	0.405595528	0.4576219	0.759232072
D2431	Belongs to the low molecular weight phosphotyrosine protein phosphatase family	-0.173457654	-0.19246116	-0.18559278	-0.377279628	-0.308568601	0.108977979	0.23799924	0.247273114	0.531540891	0.48454243	0.380607493	0.405595528	0.4576219	0.759232072
D632	ABC-type transport system involved in lipoprotein release permease component	-0.170955599	-0.190614338	-0.18559278	-0.377599673	-0.306175332	0.102428007	0.235684635	0.251239098	0.545031354	0.4892425	0.384551211	0.411040839	0.467373792	0.767137211
D22105	UvrD-like helicase C-terminal domain	-0.170955599	-0.190614338	-0.18559278	-0.377599673	-0.306175332	0.102428007	0.235684635	0.251239098	0.545031354	0.4892425	0.384551211	0.411040839	0.467373792	0.767137211
D11298	MacB-like periplasmic core domain	-0.171064384	-0.188991374	-0.18559278	-0.377706354	-0.306175332	0.108977979	0.236031826	0.250397829	0.549444901	0.48872027	0.384396556	0.411361151	0.475978403	0.766685488
D6899	DNA helicase	-0.171064384	-0.188991374	-0.18559278	-0.377706354	-0.306175332	0.108977979	0.236031826	0.250397829	0.549444901	0.48872027	0.384396556	0.411361151	0.475978403	0.766685488
D7377	Domain of unknown function (DUF4143)	-0.171064384	-0.188991374	-0.18559278	-0.377706354	-0.306175332	0.108977979	0.236031826	0.250397829	0.549444901	0.48872027	0.384396556	0.411361151	0.475978403	0.766685488
D8532	Fimbrillin-like	-0.172587374	-0.190726267	-0.18559278	-0.377492991	-0.307371967	0.108977979	0.234180142	0.250638191	0.549111803	0.483672046	0.379834215	0.406556466	0.475978403	0.759909656
D9375	"Glycosyl hydrolase family 65, N-terminal domain"	-0.173022514	-0.189103303	-0.18559278	-0.377386309	-0.307371967	0.11552795	0.236379017	0.247753839	0.547612862	0.48349797	0.380143526	0.406716622	0.475404763	0.759006211
D21011	"transcription activator, effector binding"	-0.173348869	-0.189103303	-0.18559278	-0.377172946	-0.307371967	0.11552795	0.238230701	0.245710756	0.541700376	0.483846123	0.380607493	0.406556466	0.466226511	0.758554489
D3748	Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP)	-0.173348869	-0.189103303	-0.18559278	-0.377172946	-0.307371967	0.11552795	0.238230701	0.245710756	0.541700376	0.483846123	0.380607493	0.406556466	0.466226511	0.758554489
D5058	COG0191 Fructose tagatose bisphosphate aldolase	-0.173348869	-0.189103303	-0.18559278	-0.377172946	-0.307371967	0.11552795	0.238230701	0.245710756	0.541700376	0.483846123	0.380607493	0.406556466	0.466226511	0.758554489
D1044	Alcohol dehydrogenase GroES-like domain	-0.171717094	-0.188991374	-0.18559278	-0.377279628	-0.306175332	0.108977979	0.239735194	0.246311663	0.537619927	0.489416577	0.38532449	0.411040839	0.4576219	0.765782044
D2607	Belongs to the short-chain dehydrogenases reductases (SDR) family	-0.171717094	-0.188991374	-0.18559278	-0.377279628	-0.306175332	0.108977979	0.239735194	0.246311663	0.537619927	0.489416577	0.38532449	0.411040839	0.4576219	0.765782044
D13244	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	-0.171825879	-0.18736841	-0.18559278	-0.377386309	-0.306175332	0.11552795	0.240082384	0.245470394	0.542033473	0.488894347	0.385169834	0.411361151	0.466226511	0.765330322
D3754	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine	-0.171825879	-0.18736841	-0.18559278	-0.377386309	-0.306175332	0.11552795	0.240082384	0.245470394	0.542033473	0.488894347	0.385169834	0.411361151	0.466226511	0.765330322
D9952	His Kinase A (phospho-acceptor) domain	-0.171825879	-0.18736841	-0.18559278	-0.377386309	-0.306175332	0.11552795	0.240082384	0.245470394	0.542033473	0.488894347	0.385169834	0.411361151	0.466226511	0.765330322
D18591	Sel1-like repeats.	-0.169323824	-0.190726267	-0.18559278	-0.378773171	-0.307371967	0.108977979	0.234411603	0.255685808	0.550111096	0.49342034	0.387721652	0.415204899	0.494334907	0.774816488
D503	"ABC transporter, ATP-binding protein"	-0.169323824	-0.190726267	-0.18559278	-0.378773171	-0.307371967	0.108977979	0.234411603	0.255685808	0.550111096	0.49342034	0.387721652	0.415204899	0.494334907	0.774816488
D17439	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	-0.169323824	-0.190726267	-0.18559278	-0.378773171	-0.307371967	0.108977979	0.234411603	0.255685808	0.550111096	0.49342034	0.387721652	0.415204899	0.494334907	0.774816488
D6922	DNA methylase	-0.169432609	-0.188991374	-0.18559278	-0.378346444	-0.306175332	0.108977979	0.236147556	0.252921637	0.549944547	0.493594417	0.388340274	0.415685368	0.485156655	0.774138905
D2251	Belongs to the class-II aminoacyl-tRNA synthetase family	-0.169432609	-0.188991374	-0.18559278	-0.378346444	-0.306175332	0.108977979	0.236147556	0.252921637	0.549944547	0.493594417	0.388340274	0.415685368	0.485156655	0.774138905
D3417	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)	-0.169432609	-0.188991374	-0.18559278	-0.378346444	-0.306175332	0.108977979	0.236147556	0.252921637	0.549944547	0.493594417	0.388340274	0.415685368	0.485156655	0.774138905
D2597	Belongs to the SAICAR synthetase family	-0.170955599	-0.195819016	-0.18559278	-0.378666489	-0.309765236	0.102428007	0.232328458	0.257488528	0.539618514	0.489068423	0.383159311	0.409439277	0.485730296	0.768718238
D6895	DNA gyrase B	-0.170738029	-0.194084124	-0.18559278	-0.378453126	-0.308568601	0.102428007	0.232212728	0.25676744	0.545364452	0.488894347	0.383313966	0.410079902	0.485730296	0.768492377
D8027	Endonuclease/Exonuclease/phosphatase family	-0.170738029	-0.194084124	-0.18559278	-0.378453126	-0.308568601	0.102428007	0.232212728	0.25676744	0.545364452	0.488894347	0.383313966	0.410079902	0.485730296	0.768492377
D2399	Belongs to the helicase family. UvrD subfamily	-0.169215039	-0.192349231	-0.18559278	-0.378666489	-0.307371967	0.102428007	0.234064412	0.256527077	0.54569755	0.49394257	0.387876307	0.414884587	0.485730296	0.77526821
D10679	"Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA"	-0.169323824	-0.190614338	-0.18559278	-0.378239762	-0.306175332	0.102428007	0.235800366	0.253762906	0.545531001	0.494116647	0.38849493	0.415365055	0.476552044	0.774590627
D20041	"TIGRFAM ATPase, P-type (transporting), HAD superfamily, subfamily IC"	-0.169323824	-0.190614338	-0.18559278	-0.378239762	-0.306175332	0.102428007	0.235800366	0.253762906	0.545531001	0.494116647	0.38849493	0.415365055	0.476552044	0.774590627
D3369	"Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34"	-0.171281954	-0.195930945	-0.18559278	-0.378986534	-0.310961871	0.108977979	0.232791379	0.257368347	0.538286123	0.48872027	0.38285	0.409118964	0.494334907	0.768492377
D3921	cell redox homeostasis	-0.171281954	-0.195930945	-0.18559278	-0.378986534	-0.310961871	0.108977979	0.232791379	0.257368347	0.538286123	0.48872027	0.38285	0.409118964	0.494334907	0.768492377
D18343	RNB domain	-0.169976534	-0.195930945	-0.18559278	-0.379413261	-0.310961871	0.108977979	0.234758793	0.257849072	0.532873283	0.49394257	0.387257685	0.413283025	0.494334907	0.775494071
D3546	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction	-0.169976534	-0.195930945	-0.18559278	-0.379413261	-0.310961871	0.108977979	0.234758793	0.257849072	0.532873283	0.49394257	0.387257685	0.413283025	0.494334907	0.775494071
D17102	Provides the (R)-glutamate required for cell wall biosynthesis	-0.169976534	-0.195930945	-0.18559278	-0.379413261	-0.310961871	0.108977979	0.234758793	0.257849072	0.532873283	0.49394257	0.387257685	0.413283025	0.494334907	0.775494071
D1939	B3/4 domain	-0.16790962	-0.192349231	-0.18559278	-0.379093216	-0.307371967	0.102428007	0.236031826	0.257007803	0.54028471	0.499164871	0.392283993	0.419048648	0.485730296	0.782269904
D6914	DNA ligase (NAD+) activity	-0.169650179	-0.195819016	-0.18559278	-0.379093216	-0.309765236	0.102428007	0.234295872	0.257969253	0.534205674	0.494290724	0.387566996	0.413603337	0.485730296	0.775719932
D1602	Asp/Glu/Hydantoin racemase	-0.169650179	-0.195819016	-0.18559278	-0.379093216	-0.309765236	0.102428007	0.234295872	0.257969253	0.534205674	0.494290724	0.387566996	0.413603337	0.485730296	0.775719932
D3608	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	-0.169650179	-0.195819016	-0.18559278	-0.379093216	-0.309765236	0.102428007	0.234295872	0.257969253	0.534205674	0.494290724	0.387566996	0.413603337	0.485730296	0.775719932
D3345	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate	-0.169976534	-0.195819016	-0.18559278	-0.378879852	-0.309765236	0.102428007	0.236147556	0.25592617	0.528293187	0.494638877	0.388030963	0.413443181	0.476552044	0.77526821
D9187	Glycerol-3-phosphate dehydrogenase	-0.169976534	-0.195819016	-0.18559278	-0.378879852	-0.309765236	0.102428007	0.236147556	0.25592617	0.528293187	0.494638877	0.388030963	0.413443181	0.476552044	0.77526821
D19922	This protein specifically catalyzes the removal of signal peptides from prolipoproteins	-0.170302889	-0.195930945	-0.18559278	-0.379199897	-0.310961871	0.108977979	0.236610477	0.255805989	0.526960796	0.494290724	0.387721652	0.413122869	0.485156655	0.775042349
D19648	TatD related DNase	-0.170302889	-0.195930945	-0.18559278	-0.379199897	-0.310961871	0.108977979	0.236610477	0.255805989	0.526960796	0.494290724	0.387721652	0.413122869	0.485156655	0.775042349
D13432	Peptidase family C69	-0.170302889	-0.195930945	-0.18559278	-0.379199897	-0.310961871	0.108977979	0.236610477	0.255805989	0.526960796	0.494290724	0.387721652	0.413122869	0.485156655	0.775042349
D12345	"NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34"	-0.170302889	-0.195930945	-0.18559278	-0.379199897	-0.310961871	0.108977979	0.236610477	0.255805989	0.526960796	0.494290724	0.387721652	0.413122869	0.485156655	0.775042349
D7978	"Elongator protein 3, MiaB family, Radical SAM"	-0.170302889	-0.195930945	-0.18559278	-0.379199897	-0.310961871	0.108977979	0.236610477	0.255805989	0.526960796	0.494290724	0.387721652	0.413122869	0.485156655	0.775042349
D9744	Heat shock 70 kDa protein	-0.170302889	-0.195930945	-0.18559278	-0.379199897	-0.310961871	0.108977979	0.236610477	0.255805989	0.526960796	0.494290724	0.387721652	0.413122869	0.485156655	0.775042349
D10333	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR"	-0.170629244	-0.185745446	-0.18559278	-0.377919718	-0.306175332	0.122077922	0.242396989	0.24510985	0.54103418	0.493594417	0.389422864	0.415845524	0.474831122	0.771880294
D5101	COG0367 Asparagine synthase (glutamine-hydrolyzing)	-0.170629244	-0.185745446	-0.18559278	-0.377919718	-0.306175332	0.122077922	0.242396989	0.24510985	0.54103418	0.493594417	0.389422864	0.415845524	0.474831122	0.771880294
D9967	Histidine kinase	-0.170629244	-0.185745446	-0.18559278	-0.377919718	-0.306175332	0.122077922	0.242396989	0.24510985	0.54103418	0.493594417	0.389422864	0.415845524	0.474831122	0.771880294
D18358	ROK family	-0.170302889	-0.185745446	-0.18559278	-0.378133081	-0.306175332	0.122077922	0.240545305	0.247152932	0.546946667	0.493246264	0.388958897	0.41600568	0.484009374	0.772332016
D15712	Phosphoribosyltransferase	-0.170302889	-0.185745446	-0.18559278	-0.378133081	-0.306175332	0.122077922	0.240545305	0.247152932	0.546946667	0.493246264	0.388958897	0.41600568	0.484009374	0.772332016
D17884	response regulator	-0.170302889	-0.185745446	-0.18559278	-0.378133081	-0.306175332	0.122077922	0.240545305	0.247152932	0.546946667	0.493246264	0.388958897	0.41600568	0.484009374	0.772332016
D9666	"HAD-superfamily hydrolase, subfamily IA, variant 3"	-0.170629244	-0.185857375	-0.18559278	-0.378453126	-0.307371967	0.128627894	0.241008226	0.247032751	0.545614275	0.49289811	0.388649585	0.415685368	0.492613985	0.772106155
D21390	"transposition, DNA-mediated"	-0.170955599	-0.185857375	-0.18559278	-0.378239762	-0.307371967	0.128627894	0.24285991	0.244989668	0.539701788	0.493246264	0.389113552	0.415525212	0.483435733	0.771654433
D3653	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate	-0.173675224	-0.189215231	-0.18559278	-0.377492991	-0.308568601	0.122077922	0.238693622	0.245590575	0.540367984	0.48349797	0.380298182	0.406236153	0.474831122	0.758328628
D10920	KR domain	-0.173675224	-0.189215231	-0.18559278	-0.377492991	-0.308568601	0.122077922	0.238693622	0.245590575	0.540367984	0.48349797	0.380298182	0.406236153	0.474831122	0.758328628
D13806	"PFAM ATP-binding region, ATPase domain protein"	-0.173892794	-0.190950124	-0.18559278	-0.377706354	-0.309765236	0.122077922	0.238809352	0.246311663	0.534622046	0.483672046	0.380143526	0.405595528	0.474831122	0.758554489
D8944	GDSL-like Lipase/Acylhydrolase family	-0.173892794	-0.190950124	-0.18559278	-0.377706354	-0.309765236	0.122077922	0.238809352	0.246311663	0.534622046	0.483672046	0.380143526	0.405595528	0.474831122	0.758554489
D5662	COG3250 Beta-galactosidase beta-glucuronidase	-0.173892794	-0.190950124	-0.18559278	-0.377706354	-0.309765236	0.122077922	0.238809352	0.246311663	0.534622046	0.483672046	0.380143526	0.405595528	0.474831122	0.758554489
D5448	COG1472 Beta-glucosidase-related glycosidases	-0.173892794	-0.190950124	-0.18559278	-0.377706354	-0.309765236	0.122077922	0.238809352	0.246311663	0.534622046	0.483672046	0.380143526	0.405595528	0.474831122	0.758554489
D5506	COG1762 Phosphotransferase system mannitol fructose-specific IIA domain (Ntr-type)	-0.173892794	-0.190950124	-0.18559278	-0.377706354	-0.309765236	0.122077922	0.238809352	0.246311663	0.534622046	0.483672046	0.380143526	0.405595528	0.474831122	0.758554489
D8943	GDSL-like Lipase/Acylhydrolase	-0.172587374	-0.191062053	-0.18559278	-0.378666489	-0.310961871	0.128627894	0.239388003	0.24871529	0.533789302	0.48819804	0.383777933	0.409599433	0.492613985	0.765782044
D3430	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA)	-0.172478589	-0.187592267	-0.18559278	-0.378026399	-0.308568601	0.128627894	0.241008226	0.245230031	0.539368691	0.48819804	0.384551211	0.410720526	0.483435733	0.7648786
D3451	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate	-0.172696159	-0.18932716	-0.18559278	-0.378239762	-0.309765236	0.128627894	0.241123957	0.245951119	0.533622753	0.488372117	0.384396556	0.410079902	0.483435733	0.765104461
D9984	Histidine Phosphotransfer domain	-0.172696159	-0.18932716	-0.18559278	-0.378239762	-0.309765236	0.128627894	0.241123957	0.245951119	0.533622753	0.488372117	0.384396556	0.410079902	0.483435733	0.765104461
D13691	PFAM ABC transporter related	-0.170846814	-0.19246116	-0.18559278	-0.378559807	-0.308568601	0.108977979	0.232559919	0.25592617	0.549777998	0.488372117	0.383159311	0.410400214	0.494334907	0.768040655
D11871	mismatched DNA binding	-0.170846814	-0.19246116	-0.18559278	-0.378559807	-0.308568601	0.108977979	0.232559919	0.25592617	0.549777998	0.488372117	0.383159311	0.410400214	0.494334907	0.768040655
D11546	membrane	-0.170846814	-0.19246116	-0.18559278	-0.378559807	-0.308568601	0.108977979	0.232559919	0.25592617	0.549777998	0.488372117	0.383159311	0.410400214	0.494334907	0.768040655
