		Acinetobacter baumannii	Streptococcus mutans	Lachnoanaerobaculum umeaense	Candidatus Methanomethylophilus alvus	Acinetobacter tandoii	Yarrowia lipolytica	Human betaherpesvirus 7	Fusobacterium nucleatum	Streptococcus constellatus	Gemella morbillorum	Zymoseptoria tritici	Thermothelomyces thermophilus	Methanobrevibacter_A smithii_A	Paracoccus pantotrophus
D520	"ABC transporter, substrate-binding protein, QAT family"	0.008716481	0.145882029	0.159710171	0.519692705	0.130126569	0.424143251	0.712781447	0.026163309	0.205717151	0.282707912	0.153435435	0.907337255	0.233848626	0.982540949
D1354	amp-dependent synthetase and ligase	0.015044414	0.14943413	0.444879645	0.56107889	0.170121632	0.89942802	0.553630379	0.090200289	0.096071363	0.168695991	0.527845445	0.888267653	0.414182666	0.61531274
D849	acyl-CoA dehydrogenase	0.097818227	0.083942432	0.113579001	0.603907695	0.165082632	0.291613156	0.884847365	0.077681988	0.340664091	0.190171013	0.679779641	0.566881638	0.457008508	0.745767348
D6057	Controls the rotational direction of flagella during chemotaxis	0.086482223	0.035555603	0.0556381	0.516791225	0.242076436	0.256743527	0.835473042	0.016345752	0.259343985	0.07906859	0.746988421	0.544446659	0.499084812	0.633845563
D5160	"COG0508 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes"	0.044648621	0.246627118	0.228050544	0.727678076	0.752991651	0.156203741	0.561534769	0.164180558	0.844465622	0.719873091	0.620409943	0.739813638	0.748346771	0.979827168
D9333	Glycosyl hydrolase 108	0.015276012	0.172107919	0.487483225	0.406387683	0.571926991	0.062565842	0.377754036	0.248724357	0.829700932	0.603558836	0.933189488	0.988761712	0.28910805	0.662839605
D5353	"COG1131 ABC-type multidrug transport system, ATPase component"	0.015392457	0.232168772	0.507866187	0.856106599	0.302380398	0.05448193	0.262718616	0.152795649	0.576989812	0.468854061	0.486750584	0.595786881	0.595971493	0.463165302
D11225	lyase activity	0.0506093	0.278224874	0.527821278	0.377098507	0.774199522	0.313593437	0.893798657	0.3859312	0.47661989	0.693985813	0.875221012	0.953929618	0.754157582	0.246750545
D11731	Methyl-accepting chemotaxis protein	0.083340739	0.112564761	0.121572947	0.325623436	0.055061089	0.151953646	0.959966377	0.064137892	0.258521596	0.186355876	0.670653801	0.825614088	0.740372981	0.383742403
D11736	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).	0.038358912	0.087923128	0.09077294	0.145495789	0.006859241	0.096668658	0.331023311	0.034844091	0.218383484	0.149601623	0.938046741	0.952745731	0.676445838	0.759562214
D5135	COG0458 Carbamoylphosphate synthase large subunit (split gene in MJ)	0.009990752	0.130372708	0.306616678	0.695672446	0.035811542	0.297099163	0.878011153	0.1510343	0.758400828	0.351757527	0.631295165	0.863631535	0.988003046	0.100181335
D7257	Domain of unknown function (DUF1939)	0.015799494	0.051453147	0.226201164	0.344471931	0.205979982	0.064386476	0.957207936	0.085136011	0.361309898	0.280324706	0.847567337	0.74205662	0.871941435	0.391863236
D7774	Drug metabolite transporter (DMT) superfamily	0.010732515	0.225026902	0.200099642	0.279471053	0.287520573	0.056356827	0.987571176	0.124210223	0.567140769	0.456605083	0.927914421	0.706370808	0.6198358	0.787176164
D13605	Periplasmic binding proteins and sugar binding domain of LacI family	0.007661802	0.06693548	0.016071234	0.420541533	0.000615528	0.746500531	0.190631346	0.146626421	0.238886125	0.027298374	0.632033989	0.427931608	0.76731456	0.699200403
D8344	Family 5	0.036922766	0.091554423	0.115649066	0.185141801	0.022858649	0.845376935	0.190631346	0.453339665	0.25198549	0.030276322	0.950872529	0.577709087	0.761491416	0.659659494
D2536	Belongs to the peptidase S51 family	0.039733101	0.043932381	0.024963899	0.50458402	0.012387045	0.901829149	0.22156069	0.184544058	0.063855719	0.06241781	0.874084301	0.456985058	0.892343877	0.772414899
D12780	nucleoside kinase activity	0.014414015	0.045059074	0.090311945	0.489356914	0.003910036	0.614498918	0.257261833	0.392487635	0.083855784	0.047355267	0.882411889	0.688298237	0.959035362	0.943738013
D9721	HD domain protein	0.206452145	0.025092835	0.028155286	0.509014494	0.002824968	0.655227298	0.257261833	0.368826908	0.103712737	0.038996851	0.846979053	0.175604006	0.569141002	0.55353648
D12681	NnrS protein	0.116932948	0.024992594	0.137091139	0.945530842	0.044300545	0.821166454	0.257261833	0.198554352	0.011044794	0.006716316	0.770747597	0.110455469	0.548564413	0.569546526
D10453	Inner membrane protein CreD	0.131024041	0.005275954	0.053857996	0.949117298	0.049020579	0.809036948	0.257261833	0.019865897	0.199866217	0.026322334	0.987720643	0.844663031	0.25937876	0.885079517
D2354	Belongs to the glutathione peroxidase family	0.134099247	0.009221296	0.06582694	0.886378448	0.04654925	0.870419447	0.22156069	0.074139525	0.063247339	0.023877345	0.674551289	0.790268886	0.294003702	0.700003907
D9152	glutathione peroxidase activity	0.121460297	0.007871275	0.06759423	0.921722335	0.040987622	0.862885648	0.22156069	0.07549935	0.063957572	0.020408244	0.688344251	0.79207255	0.299334874	0.728584961
D19540	Sulfurtransferase TusA	0.114928616	0.011634767	0.103633549	0.92344082	0.042031726	0.833337785	0.257261833	0.08420848	0.484937216	0.108007237	0.639137701	0.446118113	0.621842696	0.470802332
D12782	Nucleoside recognition	0.044391648	0.005197017	0.135732327	0.614156433	0.014121671	0.533746588	0.298690699	0.019744059	0.198964157	0.019122118	0.448967179	0.968747719	0.50029712	0.750192507
D6369	Cytochrome bd terminal oxidase subunit II	0.012599599	0.007512558	0.173440845	0.461094221	0.003443106	0.859021392	0.257261833	0.158284389	0.30044438	0.024142554	0.907356371	0.688603145	0.831931603	0.568523643
D17366	Putative neutral zinc metallopeptidase	0.043643434	0.009505994	0.04127122	0.483442579	0.013878209	0.603505304	0.22156069	0.055809196	0.25308067	0.040774433	0.764290092	0.983825923	0.664485582	0.903325935
D6082	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway	0.523012391	0.048082979	0.210481584	0.948519483	0.274919025	0.465165814	0.257261833	0.087286317	0.023460698	0.075643848	0.11763189	0.63485076	0.520003265	0.401146146
D12116	MucBP domain	0.081815422	0.17433092	0.702164141	0.836237494	0.183549318	0.282518041	0.952689765	0.757187523	0.044269466	0.105888734	0.9785078	0.213142602	0.340214989	0.986526313
D10349	Imidazolone-5-propionate hydrolase	0.104837085	0.011900371	0.371187655	0.70570505	0.198067334	0.414387933	0.431263201	0.163229549	0.108126129	0.032573965	0.315636548	0.45315798	0.925832033	0.681300756
D4053	chemotaxis protein	0.0678257	0.020847984	0.16339752	0.681825208	0.157294599	0.576729603	0.903826702	0.185221927	0.079619849	0.024807093	0.993925786	0.474504557	0.534923503	0.72605541
D17602	RDD family	0.071209819	0.040620113	0.083776753	0.828233677	0.204430826	0.929369291	0.835473042	0.08733782	0.030295066	0.025151945	0.900797231	0.392901998	0.410041356	0.955749399
D19482	Sugar transport-related sRNA regulator N-term	0.050550793	0.041758912	0.448353055	0.363432233	0.016078179	0.947330278	0.298690699	0.187332617	0.603846248	0.090783174	0.110595854	0.849525069	0.554851931	0.785239678
D1917	Autotransporter beta-domain	0.119179271	0.027820714	0.393034445	0.743875691	0.043099867	0.671697571	0.257261833	0.532837442	0.279448819	0.108980014	0.187840956	0.377351281	0.702653298	0.473129884
D3479	Catalyzes the conversion of N-formimidoyl-L-glutamate to L-glutamate and formamide	0.092015547	0.043177022	0.438086346	0.638304112	0.030088839	0.875072352	0.298690699	0.851265452	0.211363238	0.037392456	0.34381869	0.415290803	0.688454671	0.753247928
D3375	"Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate"	0.185742165	0.113074873	0.122990473	0.063876801	0.006666171	0.255241158	0.897618508	0.763403376	0.051717085	0.023952187	0.78544235	0.325570714	0.404385565	0.265974995
D2390	Belongs to the GTP cyclohydrolase I type 2 NIF3 family	0.125106833	0.023960306	0.155321999	0.460175362	0.001405042	0.790927087	0.946179488	0.337336567	0.040872184	0.014198413	0.156280248	0.464970411	0.75650168	0.912714063
D18735	Short C-terminal domain	0.036069302	0.154594336	0.210102265	0.090693558	0.012652862	0.971678665	0.677284167	0.164841373	0.093658211	0.096387415	0.156505625	0.956585869	0.399758768	0.383123952
D2164	Belongs to the AlaDH PNT family	0.263597228	0.370239941	0.300839599	0.714216029	0.323118548	0.827247064	0.257261833	0.201341388	0.216066775	0.414527544	0.618293168	0.191760166	0.234680385	0.763573125
D4219	CoA binding domain protein	0.045070583	0.370239941	0.335374419	0.606400921	0.323118548	0.827247064	0.257261833	0.448790298	0.198577735	0.414527544	0.860529975	0.565946069	0.183021807	0.417479982
D8349	Family of unknown function (DUF3836)	0.084608662	0.291363737	0.208169113	0.674568492	0.20676414	0.933357909	0.298690699	0.612208849	0.168779885	0.265131214	0.991017311	0.384296614	0.217129306	0.373162705
D19874	"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides"	0.092763004	0.041131672	0.111525122	0.667849238	0.432495139	0.744828299	0.594032493	0.403724348	0.367967846	0.229713595	0.706544719	0.864920866	0.484265142	0.840087129
D6665	Destroys radicals which are normally produced within the cells and which are toxic to biological systems	0.069590382	0.140049102	0.098555161	0.92263143	0.29571192	0.942858952	0.163751704	0.811230444	0.37297494	0.680476861	0.601268812	0.580704545	0.477298996	0.736537964
D9508	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	0.045724401	0.248466375	0.288980526	0.286707401	0.458694347	0.834517214	0.456388213	0.963381515	0.419825324	0.577282363	0.784462216	0.801205963	0.316733362	0.716233145
D295	40-residue YVTN family beta-propeller repeat	0.19816868	0.025650247	0.351862855	0.531539633	0.07880127	0.798158414	0.257261833	0.508839877	0.23692941	0.032753034	0.857285741	0.698692529	0.680144569	0.947025072
D3116	Cache domain	0.202599063	0.029447416	0.235500818	0.324129433	0.079153627	0.365388565	0.257261833	0.256325366	0.196018554	0.036905165	0.628144973	0.79515573	0.785791189	0.931494909
D16190	Prokaryotic diacylglycerol kinase	0.313873164	0.034292692	0.027415938	0.440066074	0.021686834	0.978850842	0.22156069	0.276723764	0.399078809	0.060852601	0.761047184	0.577090773	0.552745175	0.962437812
D4	#NAME?	0.125374359	0.017727599	0.087115242	0.459743389	0.157859554	0.611772453	0.22156069	0.462477862	0.573700837	0.129002297	0.474810779	0.973564555	0.508085603	0.941850279
D17835	"Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene"	0.087023481	0.089902363	0.10704518	0.340512018	0.02932526	0.559452082	0.298690699	0.460539819	0.751083941	0.141365841	0.602020961	0.52890471	0.700811338	0.873477895
D12854	O-Antigen ligase	0.264429966	0.083837769	0.297698124	0.908236457	0.117454781	0.314003832	0.750093288	0.57132448	0.772432246	0.178143881	0.943682079	0.543349733	0.458385429	0.93424458
D8455	Ferric uptake regulator	0.380044035	0.116582083	0.304565767	0.769349745	0.141540292	0.691652569	0.298690699	0.609013045	0.647744351	0.459084997	0.441601207	0.478923296	0.83466151	0.763664309
D17541	queuosine biosynthetic process	0.174642149	0.233066643	0.328847683	0.459218463	0.181571333	0.666503006	0.140354761	0.639276752	0.950418349	0.431269974	0.669265597	0.72884489	0.854107333	0.963188781
D12476	NADPH-quinone reductase (modulator of drug activity B)	0.221192664	0.224180273	0.642362966	0.718428627	0.362455097	0.794540599	0.257261833	0.756394722	0.342826627	0.307246471	0.824688693	0.63544174	0.584194561	0.962275697
D3733	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion	0.06924358	0.047830783	0.443274105	0.215013217	0.326277483	0.916099372	0.276685009	0.702308163	0.340999037	0.284765091	0.596709762	0.841129699	0.735940969	0.828469123
D10619	Involved in the anomeric conversion of L-rhamnose	0.107713864	0.230911959	0.776930695	0.306037908	0.158142592	0.909415038	0.22156069	0.547434415	0.448515907	0.187120293	0.542574806	0.763350256	0.837153829	0.949179182
D10583	Involved in formation and maintenance of cell shape	0.021170099	0.020099798	0.16225475	0.205452495	0.236066848	0.942094643	0.102250754	0.613685975	0.124240242	0.155863354	0.560772428	0.642334387	0.630869142	0.791676271
D10602	Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane	0.222259893	0.039250388	0.270931615	0.362566812	0.600226137	0.769970099	0.190631346	0.441120015	0.757855533	0.177998715	0.769002076	0.497198732	0.542715772	0.592227929
D12973	ORF11CD3 domain	0.996183431	0.215412684	0.001954907	0.120880786	0.52878446	0.918762509	0.22156069	0.017944955	0.267864573	0.111170565	0.545053613	0.948088612	0.888117559	0.204398944
D4902	COG NOG26135 non supervised orthologous group	0.588016053	0.018906664	0.066207483	0.476590666	0.710983126	0.835362175	0.298690699	0.01312599	0.238397815	0.097428902	0.939102532	0.953576975	0.276290667	0.880929846
D17766	repeat-containing protein	0.129269119	0.091684181	0.076916767	0.256675088	0.50002571	0.470061977	0.190631346	0.009026409	0.16907507	0.117878853	0.86365636	0.88533918	0.638127547	0.266116651
D17161	"Psort location OuterMembrane, score 10.00"	0.852349027	0.286345258	0.149363485	0.66414813	0.751054522	0.651019443	0.298690699	0.112176316	0.919399106	0.909076896	0.660931972	0.071329414	0.154803864	0.795778578
D2182	Belongs to the asparaginase 1 family	0.86800768	0.441090633	0.019574009	0.466807627	0.076747516	0.555710532	0.22156069	0.095936013	0.495957042	0.79715056	0.470964519	0.121621369	0.11154367	0.238006403
D17595	Rare lipoprotein A (RlpA)-like double-psi beta-barrel	0.719829528	0.0810519	0.075166891	0.813593825	0.397278192	0.490005682	0.257261833	0.26300797	0.907283268	0.294415505	0.512653508	0.824004199	0.155386579	0.409910868
D8064	Enoyl-CoA hydratase/isomerase	0.869798578	0.075956327	0.015522169	0.924397822	0.218510361	0.874413206	0.298690699	0.082919944	0.416049852	0.162993546	0.965843173	0.543856178	0.165330205	0.585960254
D18927	Small Multidrug Resistance protein	0.487641503	0.058456626	0.017301992	0.812434929	0.242949116	0.690725885	0.298690699	0.067933557	0.497314698	0.177990637	0.531665822	0.531820219	0.266552922	0.649288569
D3512	"Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration"	0.00085414	0.066125157	0.061287968	0.143950568	4.69E-05	0.688898922	0.257261833	0.589282023	0.138107368	0.036094986	0.517037706	0.260163969	0.379863693	0.943140465
D16652	Protein of unknown function (DUF2975)	0.000851026	0.067023538	0.064977359	0.138321892	4.77E-05	0.687747156	0.257261833	0.632037813	0.142291594	0.036028143	0.539737587	0.259808612	0.367183445	0.932390244
D13295	"Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling"	0.002625722	0.053744351	0.205235378	0.217806743	0.000587566	0.871118756	0.298690699	0.487606825	0.079874972	0.03750327	0.380176865	0.436028301	0.549246107	0.590549123
D16862	Protein of unknown function (DUF4059)	0.002598385	0.057062177	0.210565654	0.212045677	0.000590254	0.885629889	0.298690699	0.508382049	0.082819428	0.039777378	0.385044589	0.437080219	0.53009272	0.58387975
D407	A G-specific adenine glycosylase	0.00285381	0.058456626	0.200821452	0.224613412	0.000620563	0.864536446	0.298690699	0.484743907	0.08425136	0.039467729	0.366658388	0.428444578	0.574943855	0.59781259
D16134	Primosomal protein DnaI	0.002795194	0.051849831	0.188508564	0.218726315	0.000609382	0.855336681	0.298690699	0.464954455	0.078775334	0.036407301	0.385266728	0.411721084	0.572867797	0.604552214
D754	Acetyltransferase GNAT Family	0.037608754	0.138547513	0.634265448	0.596552623	0.016771259	0.649510508	0.298690699	0.930581702	0.045352431	0.03125521	0.622684723	0.205281364	0.640405407	0.934624815
D22013	UPF0291 protein	0.00956743	0.075805786	0.174131736	0.424031218	0.002494215	0.693513	0.257261833	0.717415069	0.229162309	0.148690584	0.472896852	0.197717781	0.482379789	0.360387619
D13514	peptidase U32	0.00808546	0.084540082	0.244567114	0.31614697	0.014969907	0.94276243	0.22156069	0.734835707	0.417551224	0.375443455	0.570621677	0.293963842	0.373224179	0.291927632
D21839	UDPglucose--hexose-1-phosphate uridylyltransferase	0.006482789	0.072248495	0.258092522	0.315109282	0.010750568	0.905912816	0.22156069	0.770327462	0.396588858	0.307712774	0.556454598	0.32769426	0.396468942	0.280726827
D2205	Belongs to the bacterial ribosomal protein bS16 family	0.001076459	0.076591884	0.039081214	0.10036222	0.006078347	0.790896146	0.583894263	0.584672659	0.274445319	0.134351072	0.991844497	0.441756557	0.666549539	0.967633232
D2692	Belongs to the UPF0109 family	0.00080381	0.131156838	0.139944352	0.059482589	0.009102556	0.99599146	0.634265771	0.999031664	0.311375395	0.207141011	0.622235449	0.352898471	0.424212794	0.838533822
D9111	glutamine amidotransferase	0.001713344	0.259863405	0.121243662	0.047679962	0.001178039	0.584649779	0.583894263	0.644724183	0.24481964	0.183223204	0.505042889	0.280665182	0.424496258	0.805682192
D16072	Predicted membrane protein (DUF2207)	0.030611125	0.062607197	0.093210587	0.033868403	0.002529357	0.357664558	0.11998143	0.790857871	0.232614164	0.081581073	0.305760701	0.379581304	0.444040481	0.986039516
D16651	Protein of unknown function (DUF2974)	0.017162005	0.196962237	0.150218553	0.06931997	0.00202683	0.78070779	0.190631346	0.923951779	0.169691802	0.114506893	0.216817029	0.264266672	0.400038793	0.510950742
D7349	Domain of unknown function (DUF4041)	0.092350364	0.352495055	0.209953635	0.080087514	0.003529819	0.832118849	0.257261833	0.976587391	0.115606128	0.082083472	0.494591469	0.686165265	0.09628091	0.79093628
D16490	Protein of unknown function (DUF1700)	0.021416638	0.117480293	0.123137624	0.031921684	0.002075316	0.772650581	0.190631346	0.996204625	0.123574233	0.06100184	0.574136205	0.694743674	0.117788532	0.655509923
D15846	Plays a role in the regulation of phosphate uptake	0.005706123	0.082818454	0.129366803	0.104627274	0.002463353	0.883034741	0.501866529	0.763833899	0.10898914	0.115643266	0.487880074	0.405895207	0.13341822	0.513902949
D17284	Putative adhesin	0.010881887	0.086728597	0.158381726	0.192069116	0.006544771	0.965269872	0.163751704	0.620554792	0.252667723	0.21132963	0.512219842	0.298879678	0.221133854	0.810182799
D3608	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	0.002935093	0.021247771	0.022834182	0.168614548	0.001401191	0.250573891	0.29522181	0.562900382	0.269833682	0.120363331	0.930564551	0.704867876	0.901247111	0.38639615
D2276	Belongs to the cytidylate kinase family. Type 1 subfamily	0.002524355	0.021316989	0.072274815	0.214082644	0.002921733	0.14948502	0.33730138	0.48460585	0.424706684	0.140826101	0.760462562	0.896094605	0.856674985	0.98817108
D10481	Insulinase (Peptidase family M16)	0.01687535	0.08200745	0.080827856	0.198492412	0.010052008	0.104402042	0.475621419	0.397421411	0.352014146	0.302166275	0.934552715	0.937912606	0.718855811	0.993347378
