PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	p_value	log2FC	Early_mean	Advance_mean	T2	T5	T6	T7	T8	T10	T11	T12	T14	T16	T21	T22	T26	T27	T28	T29	T32	T34	T35	T43	T47	T51	T55	T58	T60	T63	T64	T65	T69	T72	T73	T74	T75	T3	T4	T9	T13	T15	T23	T30	T33	T36	T37	T38	T39	T42	T44	T45	T46	T48	T50	T52	T53	T57	T59	T62	T66	T67	T68	T70	T71	T76
8330.69	A0A087WW72	RAD54L	DNA repair and recombination protein RAD54-like (Fragment)	0.033374313	-2.782660564	18.54925853	15.76659797	19.74817933	17.25793981	18.21302736	17.57118694	18.14618984	20.65976534	21.05493696	20.02908195	18.67103759	19.1587596	18.55084857	18.11525802	19.31785613	20.9820667	20.02409046	16.93374711	21.33965948	19.92528006	18.60338276	0.584850181	17.62885789	19.75320124	16.61008133	18.19039288	19.61916938	20.2724632	20.20317188	16.12188095	20.56771126	19.15050268	17.77579502	21.63905592	19.7061037	16.73786736	16.99473617	17.09797552	18.53017448	16.27272958	20.27835516	18.75725204	18.06720358	0.586042936	0.588785681	16.07219624	18.60546539	16.77625691	19.9980174	17.74776623	18.25604668	21.72736336	18.75566073	17.6903008	17.42905167	16.39565454	19.34917376	19.0183126	0.577211893	17.36322455	18.80133034	18.20502836	19.96276595	0.589391125
152822.37;158490.35	A0A087WWH3;Q9NZM4	BICRA	BRD4-interacting chromatin-remodeling complex-associated protein	0.018656552	4.966987146	8.495334579	13.46232172	17.88920509	17.95587309	1.919807338	18.74974752	16.3230109	0.579070933	17.76967928	19.20827023	0.584965832	0.591379306	16.67561005	0.586511819	1.226804859	17.96270621	0.58436561	18.66122357	0.590885921	17.13059586	16.66242206	18.18133442	1.231287257	0.58547124	16.84581534	0.576175351	0.576614253	0.583482736	18.73847258	17.30820264	0.5902479	1.712625757	0.582810251	0.591046351	0.590319552	16.22375251	1.304413784	13.23592876	0.581623335	17.85593929	0.591162065	18.4458349	17.95475613	17.93902693	17.16374487	17.76544778	18.48965016	18.91737026	14.80977843	1.355261022	0.579373772	21.69551675	0.58108194	15.55331559	18.72178552	16.94863467	18.68081438	18.59647278	17.40672896	18.43169334	15.22473258	17.70654513	0.586194851	17.06074952
68029.11;56255.22;68002.04	A0A087WWM6;E7EQL6;O43272	PRODH	"Proline dehydrogenase;Proline dehydrogenase;Proline dehydrogenase 1, mitochondrial"	0.006336483	5.334198684	4.19976268	9.533961364	0.575400645	0.590762715	0.575765851	0.578683249	17.98695184	0.581966051	0.575693442	0.586815708	0.584459965	0.589860383	0.585949811	0.587861946	0.584785924	0.587442348	0.588843298	16.13783685	0.582911295	0.575876982	0.58584524	1.342436544	1.230901817	14.96868121	13.03417027	13.81508626	0.575563377	0.59052634	14.81868983	16.41727026	0.584165572	0.588904249	15.41737019	0.580293902	0.584395096	0.589121416	0.593545514	13.2385046	0.581955686	15.72169897	0.576722716	14.08008412	17.967117	0.586624099	13.51256494	0.587034238	15.44836665	16.6168297	1.777109603	0.583632619	0.577703895	0.589234429	20.64865754	18.43032174	0.581987582	18.15020159	14.39351052	0.591372766	16.87290273	12.89137674	16.99856495	21.87207316	0.582419307	20.84364076
84976.37	A0A087WWP8	RSBN1	Lysine-specific demethylase 9	0.004702632	3.882518512	13.98831797	17.87083648	19.11273856	16.49320814	19.29761418	17.25052454	16.32162978	0.575858179	1.879662796	16.79520131	1.463414986	1.893796443	17.54058285	18.75646603	17.96125538	18.53809229	18.12724294	15.6921287	0.579627103	18.71064881	17.73838166	19.14788451	17.30338654	15.40628131	17.30578999	16.66993996	18.07879678	19.66732403	18.36369765	18.82987474	0.581141616	17.01658201	16.43969673	0.591895433	11.48412689	16.77809669	17.50962776	19.72699828	19.30562483	18.10391158	19.1202825	17.90170539	18.1965535	16.60220511	16.28146853	18.16167211	15.25834764	16.14944463	17.57641319	17.04785414	18.0785924	22.51993914	16.32029457	19.32351771	17.24418379	17.44358289	17.04712241	18.18645674	20.73151554	18.61732038	17.73636921	18.08035384	15.22770172	17.97710162
29111.1	A0A087WX95	RUSC1	RUN and SH3 domain-containing protein 1 (Fragment)	0.011940629	5.581971321	11.66061737	17.2425887	21.26282721	19.92120471	0.579223646	19.55623473	19.44656439	0.590045418	0.579812959	17.90855461	0.57800712	0.575618015	18.76785671	20.16095684	20.4365095	20.56608575	20.09924635	21.09909317	0.590409009	18.8175867	20.52057744	19.85606614	18.98562873	0.593736137	20.00685628	0.581544868	0.57964545	0.578983075	20.45417389	18.71054697	0.592597474	0.588779655	20.04148387	0.594018463	0.579898086	20.10047178	21.05895076	20.14875864	0.583008189	21.09890594	20.38414832	19.25717862	18.60830051	21.15941498	18.88571071	18.33135025	1	19.96728977	20.35948778	21.03867456	19.7345181	0.590033968	22.15168443	19.73150797	18.6543643	20.34109881	19.63856926	19.61277628	20.56423882	20.40721161	18.53643268	18.63329637	0.584032027	18.87365672
75692.52;74736.3;80198.79	A0A087WXE9;E9PQ70;Q6UXH9	PAMR1	Inactive serine protease PAMR1;Inactive serine protease PAMR1 (Fragment);Inactive serine protease PAMR1	0.022827236	2.97858006	1.0145327	3.99311276	0.592340217	0.589199532	0.590812414	0.580541966	0.576468383	0.579908217	0.594333699	0.577855756	0.577264027	0.592244442	0.594445389	0.591991903	0.582497066	0.587707745	0.587847982	14.69657451	0.58702657	0.581919528	0.583607165	0.588300095	0.590410041	0.588069134	0.5809188	0.589013862	0.59386164	0.593607533	0.575498177	0.588516719	0.593382278	0.583049736	0.586616958	0.591683011	0.59206459	0.592538209	0.589631121	0.581451809	0.581020903	0.588910632	18.06957105	17.82348114	0.582054068	0.588226598	0.577318175	0.575833037	0.58011873	14.25135007	20.08790936	0.57769041	0.591019046	0.5897861	0.582226217	16.26260258	0.578236008	0.591363735	0.578423969	0.585094972	0.592058653	0.590713264	15.85501358	0.5843495	0.587552613	0.584724485
67664.4;64424.49	A0A087WXK8;Q9H4H8	FAM83D	Chromosome 20 open reading frame 129;Protein FAM83D	0.025972025	2.596771561	16.36386114	18.9606327	20.45801579	18.43244543	19.27204966	19.0551275	19.70810793	0.58675015	18.85900712	19.46827203	16.94989972	20.09254973	18.29879801	17.62390738	19.72305375	20.49326667	19.97782257	19.87877277	17.31053194	18.61728193	18.61993393	19.83244706	19.20581189	15.0855052	18.5088908	17.32789208	17.2709547	0.581078801	19.49893708	15.37643822	15.15082307	17.74148211	18.6509357	0.586531274	1.764095789	18.67462698	19.88325175	19.73207259	17.78446412	20.66070092	19.34813163	18.98020505	19.87959372	18.4430294	20.94898108	20.48160028	19.8811655	20.0470545	18.75212876	19.02770676	18.18331644	19.11927583	17.49763686	19.81918673	20.06083345	18.37391284	17.09896648	20.2459497	17.65810904	19.63505847	15.86073786	18.10814236	16.95440409	18.71810524
38191.76;71330.54	A0A087WXP9;Q8IY47	KBTBD2	Kelch repeat and BTB domain-containing protein 2	0.007798478	5.522416434	4.2708881	9.793304534	0.586532148	21.16417499	0.593048853	19.33789938	16.89660412	0.588008841	0.58947911	0.590619069	0.587168515	0.576895401	0.588641916	0.581342918	0.590536561	0.591318858	0.586217167	17.61361784	0.58235832	0.586580237	0.575405952	0.576608411	0.592600659	0.575572899	15.61357839	0.578593552	0.57899924	0.589595181	18.12304958	16.96627986	0.593398851	0.594335989	0.586302674	0.575502388	0.588439441	19.32030614	16.83423908	17.74349618	0.582591795	18.91025569	0.588475903	17.44329846	14.99595688	15.22104527	13.94548858	15.67129929	0.591762148	17.59500633	0.575936645	0.57836965	0.586235012	0.579248632	19.29256317	0.590230573	0.581029961	18.2018556	0.593575184	0.58158884	17.24814199	16.01062115	18.33635346	0.592666346	0.583405959	19.63078758
6401.41;8061.23;87716.09	A0A087WXU7;Q6IQ01;Q86XN6	ZNF761	Zinc finger protein 761;ZNF761 protein;Zinc finger protein 761	0.037545068	3.022527641	2.234069194	5.256596835	0.579711984	0.579860474	0.582146817	0.576321703	0.577231205	0.580546451	0.582328106	0.581520628	0.577125773	0.578586618	0.577671278	0.588040916	0.593858945	0.57857886	0.590217074	14.05154336	0.579040855	0.591165458	0.578736205	0.588125325	0.583719666	0.589930973	13.53860576	0.593754128	0.586966328	0.576913154	15.80011864	13.41713232	0.577841373	0.585728573	0.587525012	0.588404934	0.585284498	14.59967771	0.579981643	13.19682257	0.585463623	0.575756146	0.585944888	14.68748387	15.46624777	0.589304151	13.6576558	13.32639026	0.580720817	15.50599032	0.576657763	0.580896968	0.580973939	0.587065708	0.580485729	0.583074329	0.591880976	13.73268531	0.593064297	0.5849133	15.11263088	0.593402144	12.07300627	0.578316662	0.576006632	0.578807758
62319.56;62319.6	A0A087WXX9;P54646	PRKAA2	Non-specific serine/threonine protein kinase;5'-AMP-activated protein kinase catalytic subunit alpha-2	0.019175036	4.991672133	3.399492072	8.391164205	0.58598113	0.587080876	0.589833255	0.580384861	0.592155103	0.591597455	0.577262291	18.63342875	0.578313583	0.5937047	0.579602208	17.91025066	0.591314562	19.47284649	0.576080335	0.580365673	21.57980033	0.593804447	0.587668051	0.575448334	0.578220487	0.592495008	0.580764895	0.581291727	0.587724474	0.583130142	0.583206915	0.58817245	0.59451053	18.20201095	0.584657282	0.58814926	0.581981142	0.584673033	0.594401656	0.575740812	19.07971182	18.00416371	19.24998057	20.42126062	20.20470352	0.592479084	0.582958584	0.579195612	0.586202882	0.580069969	0.592773202	0.580978856	19.45785652	19.29885254	0.59138777	19.79893578	0.591291984	0.576285017	0.592366436	0.591796878	0.592451174	0.584889379	19.09047752	19.52435125	20.99020829	18.25331747
75990.64;86330.64	A0A087WY48;Q8IY22	CMIP	C-Maf-inducing protein	0.004247677	5.910186033	8.818093336	14.72827937	0.580708001	18.23134864	0.59276879	17.43124215	18.12788698	0.581883903	20.16631022	16.08090778	0.592720554	0.575967713	18.83687287	0.585968545	20.24614721	0.580439679	15.47729878	17.19177764	0.591857912	17.08134365	18.27606717	15.15391797	14.03398147	0.593906298	17.54546285	0.586817326	0.581874788	0.591527301	0.580520624	17.52767458	0.580978791	0.58162417	19.64103622	0.576557374	0.59168216	18.24904196	17.68101981	16.76487837	0.577660477	19.22653244	0.576196859	19.88010018	18.13891562	17.65407842	17.90336638	18.14655904	18.29329721	17.75374223	17.2675561	17.74874442	15.83620815	0.594358661	17.54880663	14.72851761	17.32692646	16.98669601	19.4691278	19.04708879	17.34561261	16.17283781	17.74257435	0.588927474	0.583442417	17.2872874
81339.09;52025.22;69830.05	A0A087WY96;A0A087WYN0;P31641	SLC6A6	Transporter;Transporter;Sodium- and chloride-dependent taurine transporter	0.03678281	4.349258169	6.923925374	11.27318354	16.72297144	13.77877649	17.45795569	16.7423558	15.07105968	0.589385318	16.88391062	0.58314692	0.575633148	0.576681733	0.57995216	0.583726238	0.57989192	16.57245726	0.59162997	14.34245737	0.585775697	0.57834649	15.67122596	0.577198539	0.579532781	0.580098986	19.78696453	0.594540479	0.578975469	19.41727347	0.587057178	16.52815098	0.576997508	0.593611642	17.8601175	0.584202451	0.577475937	12.07363003	18.44720622	17.47908244	0.579132478	0.58805523	0.575657742	17.9726142	15.50949753	1	16.0411008	15.00810646	14.99471822	15.70116229	0.594513805	18.35869291	19.13215547	1.708466243	16.827519	0.577485687	17.26961811	19.1908507	17.18030862	0.582572145	16.78650326	15.96554731	15.26480151	20.35201634	0.581084331	0.580223685
147544.07;146677.14;147456.99	A0A087WYG2;E9PFH7;Q9UPT6	MAPK8IP3	C-Jun-amino-terminal kinase-interacting protein 3	0.015120475	4.318319764	2.166497248	6.484817011	0.584207641	0.576004281	0.582556351	0.588703963	0.587264599	0.576932041	0.591532926	0.580925781	0.581353013	0.578403351	0.58167467	16.99119121	0.586296271	0.588180338	0.589846353	0.590061191	0.580686218	0.580593253	19.33269616	0.575402658	0.593276011	0.584502329	17.64410338	0.583150675	0.58333607	0.575631019	0.590659703	0.592469927	0.576894056	0.581992882	0.587751122	0.586257445	0.589872272	19.63630832	0.579979383	0.585633491	0.577717782	0.578138356	0.580797267	0.578475303	18.43226318	0.587709384	17.5925841	0.588018006	15.4783465	16.86117004	0.59403406	0.577275069	0.584019714	0.586264905	0.584876094	0.582177618	19.12509212	17.35060513	0.582084966	0.583985373	0.585840917	17.1111043	17.67359958	0.578626012	0.59263329	17.71033309
13303.4;13453.44	A0A087WYP2;Q8IZQ5	SELENOH	Selenoprotein H	0.010145301	4.320599578	16.80658614	21.12718571	20.2410434	20.39695735	19.48678078	20.43055477	22.65256229	0.580076843	19.10951187	20.75651123	18.6459029	0.579852176	22.67890462	22.66169471	22.09736412	22.60155262	20.64707882	21.07589529	0.590701185	22.2940062	21.76419229	22.68567691	23.21614977	22.33881893	21.60497981	18.15415971	18.05553433	0.577105733	23.51341389	21.77317564	0.579877079	20.1038943	21.55878573	0.578728629	0.585898566	23.10247091	21.63474337	21.84051565	19.87215782	21.62014687	20.08645018	21.64289739	21.65915885	23.8513108	23.31785241	22.2154819	22.27418162	20.59678349	18.22261407	20.81451548	19.57304281	19.85225784	19.90579949	19.74939072	20.27652642	20.09005312	20.89115161	22.39689008	21.03686983	21.86541169	22.11681177	20.16514591	19.01643885	23.00131472
95922.2;69863.44	A0A087WZ62;Q9H6U8	;ALG9	"Mannosyltransferase;Alpha-1,2-mannosyltransferase ALG9"	0.048688051	2.978135011	15.26402528	18.24216029	17.84023538	17.60558938	20.7285721	18.96579837	18.15096357	0.578899865	22.32475437	19.84191125	0.582400011	13.57190364	20.18935631	17.92345843	19.45693164	18.78371077	17.63509767	17.85511874	0.587515716	19.70595357	18.33099181	20.70179314	18.65150066	19.01482449	17.97738169	20.15597457	0.587180825	0.591164854	19.82526239	18.7796322	0.58584343	17.08821063	18.6408056	14.84778187	15.60631518	18.1523927	18.33136119	17.59291435	16.86333671	18.23342249	20.40233292	19.883521	18.0310789	19.631261	18.53136302	17.42767589	17.9020131	19.40289912	21.5190411	20.98696156	19.45998736	0.583072564	19.87049303	18.64285091	19.14658359	19.51912835	19.29428447	16.68085944	18.95119088	18.34529844	19.12388206	17.18280562	19.75032671	19.58030987
