	Description	Arthrobacter agilis	Micrococcus luteus	Olsenella sp. oral taxon 807	Bacteroides ovatus	Bacteroides salyersiae	Bacteroides uniformis	Alistipes communis	Alistipes dispar	Alistipes shahii	Flagellimonas sp. HMM57	Flavobacterium sp. F-70	Nonlabens dokdonensis	Polaribacter sp. ALD11	Tenacibaculum mesophilum	Zhouia spongiae	Anoxybacillus flavithermus	Bacillus smithii	Lentibacillus sp. CBA3610	Listeria monocytogenes	Planococcus donghaensis	Mammaliicoccus vitulinus	Staphylococcus capitis	Staphylococcus epidermidis	Staphylococcus sp. MI 10-1553	Vagococcus hydrophili	Lacticaseibacillus rhamnosus	Ligilactobacillus murinus	Clostridium sp. 'deep sea'	Clostridium sp. BJN0001	Hungatella hathewayi	Desulfitobacterium hafniense	Eubacterium limosum	Eubacterium sp. NSJ-61	Aminipila butyrica	Coprococcus catus	Coprococcus eutactus	Enterocloster clostridioformis	[Clostridium] scindens	Lacrimispora saccharolytica	Novisyntrophococcus fermenticellae	Pseudobutyrivibrio xylanivorans	Roseburia hominis	Acutalibacter muris	Dysosmobacter welbionis	Monoglobus pectinilyticus	Oscillibacter sp. NSJ-62	Ruthenibacterium lactatiformans	Clostridioides difficile	Romboutsia ilealis	Vallitalea guaymasensis	Flintibacter sp. KGMB00164	Intestinimonas butyriciproducens	Sporomusa termitida	Bradyrhizobium canariense	Brucella intermedia	Methylobacterium brachiatum	Methylorubrum populi	Paracoccus sp. MC1862	Diaphorobacter nitroreducens	Massilia putida	Neisseria gonorrhoeae	Desulfovibrio desulfuricans	Desulfovibrio vulgaris	Campylobacter coli	Cardiobacterium hominis	Teredinibacter haidensis	Thioalkalivibrio versutus	Yokenella regensburgei	Erwinia amylovora	Yersinia canariae	Allofrancisella guangzhouensis	Paraphotobacterium marinum	Sphaerochaeta associata	Akkermansia muciniphila	Aspergillus puulaauensis	Candida dubliniensis	Naumovozyma castellii	Saccharomyces cerevisiae	Fusarium venenatum
D7831	DUF218 domain	0.034896375	0.092222103	0.419687581	-0.245895725	0.133233142	0.013151697	0.225038841	0.521490546	0.26369666	0.195551383	0.166580808	0.176125867	0.378660289	0.510277178	0.432516459	0.035344868	0.288179844	0.090380308	0.338758204	0.287605208	0.214339146	0.176786351	-0.004040404	0.175469507	0.042523048	0.269348242	0.543434343	0.281132849	0.676091839	0.230400467	0.158886793	0.422854856	0.043242861	0.284329827	0.008230829	0.325483528	0.285813238	-0.013597979	0.370149357	0.26369666	0.267987269	0.120820116	0.300458566	0.104588988	0.301365096	0.247149241	0.134888212	0.221365623	0.519450395	0.441679944	0.143323256	0.219151258	0.432583362	0.098940269	-0.097816842	-0.207730835	-0.023737374	0.042707178	0.013826865	0.309875342	0.314396584	0.358996615	0.256315747	0.207070707	0.122222222	0.375629845	0.309875342	0.306060376	0.395711721	0.102107397	0.340075048	0.262381233	0.418098075	0.045520677	0.35377287	-0.004712336	0.176127929	0.193406243	0.033616193
D1443	Anticodon-binding domain of tRNA	-0.011943152	0.292466765	0.3773915	-0.204368933	0.051536733	-0.114806652	0.223288377	0.427409882	0.293246972	0.212986213	-0.023886304	0.268574902	0.316838996	0.465782933	0.415383933	0.110494659	0.267185122	0.169345944	0.183128333	0.257456665	0.2244494	0.148891297	0.06351721	0.160038239	0.093462676	0.346195785	0.455003089	0.219926141	0.578286558	0.216141808	0.080607215	0.423544418	0.198403109	0.21497385	0.168708338	0.408328282	0.174324162	0.117596849	0.317875815	0.341950578	0.295889044	0.271693651	0.186285312	0.138019795	0.286552446	0.29276037	0.211150498	0.226161197	0.359992402	0.137405966	0.177850951	0.114368742	0.428759161	0.101181684	0.010514397	-0.100064129	0.081228739	0.150129383	0.148891297	0.45519229	0.171981391	0.372435575	0.320719455	0.267505172	0.064127952	0.464190513	0.45519229	0.166850101	0.371830136	0.163684065	0.386560024	0.225725575	0.436721263	0.185039905	0.208130279	0.035004986	0.171981391	0.286734677	0.061150301
D9747	heat shock factor	-0.024721581	0.25710922	0.478107424	-0.268780453	-0.003766207	-0.021042735	0.137748501	0.352003912	0.228156707	0.192341389	-0.037082371	0.231121281	0.279345693	0.436373357	0.364165935	0.07059904	0.227198431	0.167809573	0.152262463	0.218372017	0.208891795	0.119674925	0.024709339	0.129788299	0.069467146	0.321066805	0.420058755	0.191672885	0.553827158	0.262144777	0.046583851	0.465788202	0.115766617	0.170688819	0.109334777	0.334948914	0.201230485	0.041257313	0.329721036	0.26192197	0.308592736	0.212790721	0.183837272	0.124429655	0.233867712	0.253416394	0.240095725	0.218440032	0.477453783	0.244713551	0.153826366	0.077742755	0.38992675	0.069836423	-0.023495386	-0.118666231	0.039075233	0.113568095	0.119674925	0.427151641	0.142149089	0.275018046	0.29237535	0.18934249	0.18388345	0.357713782	0.427151641	0.125112223	0.362208615	0.121537588	0.351346102	0.203953041	0.397792708	0.109055962	0.344853928	-0.005489253	0.142149089	0.208242748	0.028931023
D15730	phosphoserine aminotransferase	0.029184549	0.39332781	0.263840659	-0.220323716	-0.033443962	-0.261737537	0.152678999	0.344392219	0.245671989	0.263733906	0.015879828	0.370074572	0.421195165	0.235407725	0.295583455	0.204109591	0.373071127	0.214289087	0.292060086	0.359961198	0.309768898	0.248712446	0.150778676	0.263733906	0.143647367	0.437682059	0.294643919	0.328249679	0.409650118	0.095867757	0.181478877	0.316114552	0.133198986	0.086524718	0.093890417	0.310651612	0.083918235	0.035186118	0.224839328	0.225222352	0.300985779	0.214149239	0.102832071	0.043285759	0.198781531	0.23355565	0.122717763	0.114626482	0.228515337	0.233463144	0.05594549	0.024442204	0.248712446	0.19865443	0.092098831	-0.059556535	0.175798718	0.255722627	0.248712446	0.599491525	0.277038627	0.302376374	0.205474873	0.170531341	0.152753942	0.583261803	0.599491525	0.040105145	0.466523605	0.052051359	0.494849785	0.015879828	0.277038627	0.099464238	0.304012397	-0.071965058	0.277038627	0.125713399	0.155259018
D1617	Asparagine synthetase	0.015879828	0.39571644	0.260427455	-0.213890907	-0.032904543	-0.253164762	0.160480115	0.353917328	0.245119297	0.281330472	0.003433476	0.373820266	0.426768636	0.249570815	0.302409862	0.204109591	0.376816821	0.193572317	0.263733906	0.364456031	0.301153802	0.222961373	0.150778676	0.237124464	0.156008157	0.453351718	0.306495518	0.298966974	0.396910756	0.089892996	0.157506435	0.336950728	0.133751679	0.066045495	0.108376367	0.32291051	0.086634035	0.047541548	0.221495993	0.23627621	0.312237584	0.226016452	0.103116531	0.050860767	0.211360789	0.236849031	0.129190788	0.124336019	0.242788056	0.221516931	0.070067652	0.013579002	0.222961373	0.174768126	0.07792978	-0.069669909	0.17645714	0.235005857	0.222961373	0.556763187	0.249570815	0.289324156	0.197624504	0.144852876	0.154729209	0.582403433	0.556763187	0.022356485	0.455793991	0.033620058	0.499141631	0.003433476	0.249570815	0.097235348	0.312630072	-0.076938253	0.249570815	0.137109514	0.132784854
D19038	Sodium bile acid	0.015879828	0.382977078	0.251211804	-0.218179446	-0.03829873	-0.254236359	0.156022334	0.349154774	0.242908525	0.266309013	0.003433476	0.360710337	0.412436853	0.236266094	0.289098367	0.194893941	0.363706892	0.193572317	0.263733906	0.351346102	0.301153802	0.222961373	0.142219188	0.237124464	0.144396506	0.441243345	0.297277607	0.298966974	0.396910756	0.091522476	0.157506435	0.323853703	0.129330136	0.066045495	0.10140165	0.317338284	0.079029794	0.036797696	0.218709879	0.22853851	0.307174272	0.220082845	0.097996262	0.043826831	0.199366613	0.234104547	0.125414857	0.116244738	0.231552086	0.221516931	0.060290771	0.015751643	0.222961373	0.174768126	0.07792978	-0.069669909	0.16723923	0.235005857	0.222961373	0.556763187	0.249570815	0.293053361	0.197624504	0.153412364	0.145511298	0.584120172	0.556763187	0.022356485	0.455793991	0.033620058	0.484120172	0.003433476	0.249570815	0.09556368	0.304012397	-0.076938253	0.249570815	0.136397257	0.132784854
D9034	Glucosamine-6-phosphate	0.04248927	0.359090774	0.223223533	-0.218179446	-0.054481293	-0.254236359	0.13819121	0.337248388	0.261700083	0.261158798	0.02832618	0.335988756	0.382180868	0.234549356	0.257014251	0.173732077	0.332992201	0.235005857	0.260300429	0.322129688	0.324377105	0.221244635	0.1277339	0.233690987	0.142898228	0.436969802	0.299911296	0.297077767	0.41920464	0.098040397	0.153011602	0.310756679	0.106117035	0.06194965	0.090671317	0.310651612	0.05621707	-0.00510333	0.215366544	0.208641566	0.308299452	0.197427258	0.070119241	0.012444656	0.18181416	0.211050875	0.10707462	0.093589151	0.227907988	0.231756542	0.032046446	0.004888441	0.221244635	0.171583286	0.049591678	-0.049443161	0.144852876	0.193572317	0.221244635	0.554173591	0.247854077	0.2719212	0.216055805	0.150778676	0.125758633	0.529184549	0.554173591	0.020991204	0.484120172	0.030889495	0.455793991	0.02832618	0.247854077	0.096678125	0.301459013	-0.062311208	0.247854077	0.11502954	0.131286576
D20475	to multidrug resistance protein 1	0.04248927	0.359090774	0.223223533	-0.218179446	-0.054481293	-0.254236359	0.13819121	0.337248388	0.261700083	0.261158798	0.02832618	0.335988756	0.382180868	0.234549356	0.257014251	0.173732077	0.332992201	0.235005857	0.260300429	0.322129688	0.324377105	0.221244635	0.1277339	0.233690987	0.142898228	0.436969802	0.299911296	0.297077767	0.41920464	0.098040397	0.153011602	0.310756679	0.106117035	0.06194965	0.090671317	0.310651612	0.05621707	-0.00510333	0.215366544	0.208641566	0.308299452	0.197427258	0.070119241	0.012444656	0.18181416	0.211050875	0.10707462	0.093589151	0.227907988	0.231756542	0.032046446	0.004888441	0.221244635	0.171583286	0.049591678	-0.049443161	0.144852876	0.193572317	0.221244635	0.554173591	0.247854077	0.2719212	0.216055805	0.150778676	0.125758633	0.529184549	0.554173591	0.020991204	0.484120172	0.030889495	0.455793991	0.02832618	0.247854077	0.096678125	0.301459013	-0.062311208	0.247854077	0.11502954	0.131286576
D18375	rRNA biogenesis protein RRP5	0.015879828	0.368645296	0.246091999	-0.212818772	-0.040456405	-0.242984592	0.145435105	0.342606261	0.263910855	0.236266094	0.003433476	0.345352991	0.39571644	0.209656652	0.27373895	0.186360931	0.349847824	0.193572317	0.278755365	0.336737895	0.349098685	0.236266094	0.133001277	0.251287554	0.121173202	0.459049776	0.31637185	0.314080628	0.448664415	0.099669878	0.170616364	0.342308602	0.134857065	0.077309068	0.129300517	0.340184411	0.074141353	0.031425769	0.232640445	0.23627621	0.329677881	0.230331801	0.077799644	0.041662543	0.20170694	0.24069131	0.114626482	0.122178344	0.238840283	0.261792736	0.05431601	0.031503286	0.236266094	0.187507488	0.092098831	-0.069669909	0.158679742	0.255722627	0.236266094	0.578774755	0.263733906	0.265705858	0.239265591	0.145511298	0.135634966	0.537339056	0.578774755	0.031572136	0.51416309	0.043518349	0.466523605	0.003433476	0.263733906	0.091663121	0.326992862	-0.051194655	0.263733906	0.095086338	0.144396506
D18877	Sirohaem biosynthesis protein C-terminal	0.029184549	0.356702144	0.232097863	-0.216571244	-0.049087105	-0.247270979	0.137633988	0.336057749	0.266121626	0.233690987	0.015879828	0.332992201	0.380588448	0.208798283	0.257696892	0.175779999	0.334490479	0.214289087	0.277038627	0.322129688	0.348349547	0.235407725	0.125758633	0.249570815	0.120424064	0.446229146	0.307812362	0.313136025	0.447071995	0.101842518	0.168368948	0.324449023	0.121592436	0.075261145	0.113205017	0.327925514	0.062191831	0.008863678	0.227068219	0.221353502	0.321239028	0.214149239	0.068696944	0.024889312	0.187372437	0.227517783	0.10707462	0.106535201	0.229426362	0.257696892	0.038021207	0.024985364	0.235407725	0.185915068	0.07792978	-0.059556535	0.147486565	0.235005857	0.235407725	0.577479957	0.262875536	0.266327392	0.237900309	0.152753942	0.125758633	0.525751073	0.577479957	0.030889495	0.513304721	0.042153068	0.452360515	0.015879828	0.262875536	0.092777567	0.315821803	-0.050609573	0.262875536	0.094374081	0.143647367
D10514	interacting factor	0.015879828	0.359090774	0.228684659	-0.217643379	-0.049626524	-0.247270979	0.147663995	0.344392219	0.251198918	0.251287554	0.003433476	0.336737895	0.386161919	0.222961373	0.2645233	0.175779999	0.338236173	0.193572317	0.248712446	0.326624521	0.31501287	0.209656652	0.125758633	0.222961373	0.132784854	0.440531088	0.299911296	0.28385332	0.408853908	0.093695117	0.144396506	0.322663065	0.118828971	0.054781922	0.1062303	0.322353287	0.063821311	0.017995953	0.215923766	0.222458888	0.314487945	0.216306914	0.078653023	0.030300032	0.188835141	0.227517783	0.116784157	0.107614038	0.228515337	0.227319377	0.047798088	0.011949522	0.209656652	0.162028764	0.063760729	-0.069669909	0.148144987	0.214289087	0.209656652	0.534751619	0.235407725	0.275650405	0.208888077	0.144194454	0.1277339	0.556652361	0.534751619	0.013140835	0.472532189	0.023721767	0.456652361	0.003433476	0.235407725	0.091663121	0.304650744	-0.069039649	0.235407725	0.125713399	0.121173202
D22047	Urea amidolyase	0.015879828	0.357498354	0.232780504	-0.215499109	-0.047468849	-0.24352039	0.143763437	0.341415623	0.260042005	0.236266094	0.003433476	0.334490479	0.383773288	0.209656652	0.262475377	0.17646264	0.337487034	0.193572317	0.263733906	0.325126243	0.338236173	0.222961373	0.125100211	0.237124464	0.121173202	0.449078175	0.308470784	0.298966974	0.435128842	0.098040397	0.157506435	0.331592854	0.125461286	0.066045495	0.119643217	0.332940517	0.065450792	0.020144724	0.224839328	0.227985817	0.324051979	0.222779939	0.073248294	0.033005392	0.192053091	0.23355565	0.113008226	0.113008226	0.231855761	0.249163882	0.047254928	0.023355884	0.222961373	0.174768126	0.07792978	-0.069669909	0.148803409	0.235005857	0.222961373	0.556763187	0.249570815	0.266948926	0.2293673	0.144852876	0.127075478	0.539914163	0.556763187	0.022356485	0.500858369	0.033620058	0.454077253	0.003433476	0.249570815	0.090548676	0.316460149	-0.056752932	0.249570815	0.105057939	0.132784854
D8905	Gamma-glutamyl phosphate reductase	0.015879828	0.357498354	0.232780504	-0.219251581	-0.048008268	-0.247806778	0.144877882	0.340820304	0.252856997	0.236266094	0.003433476	0.334490479	0.383773288	0.209656652	0.262475377	0.17646264	0.337487034	0.193572317	0.263733906	0.325126243	0.325875382	0.222961373	0.125100211	0.237124464	0.121173202	0.438394317	0.298594452	0.298966974	0.42238948	0.096954077	0.157506435	0.320281787	0.123803207	0.066045495	0.108912883	0.324024955	0.064907631	0.018533146	0.22093877	0.223011581	0.315050535	0.21792517	0.078084104	0.031923248	0.186494814	0.231908959	0.114626482	0.108692876	0.224263889	0.239948232	0.045082288	0.022269564	0.222961373	0.174768126	0.07792978	-0.069669909	0.148803409	0.235005857	0.222961373	0.556763187	0.249570815	0.278136541	0.218786368	0.153412364	0.127075478	0.555793991	0.556763187	0.022356485	0.48583691	0.033620058	0.454077253	0.003433476	0.249570815	0.091105899	0.306565782	-0.063481372	0.249570815	0.11502954	0.132784854
D2622	Belongs to the spermidine spermine synthase family	0.015879828	0.357498354	0.232780504	-0.219251581	-0.048008268	-0.247806778	0.144877882	0.340820304	0.252856997	0.236266094	0.003433476	0.334490479	0.383773288	0.209656652	0.262475377	0.17646264	0.337487034	0.193572317	0.263733906	0.325126243	0.325875382	0.222961373	0.125100211	0.237124464	0.121173202	0.438394317	0.298594452	0.298966974	0.42238948	0.096954077	0.157506435	0.320281787	0.123803207	0.066045495	0.108912883	0.324024955	0.064907631	0.018533146	0.22093877	0.223011581	0.315050535	0.21792517	0.078084104	0.031923248	0.186494814	0.231908959	0.114626482	0.108692876	0.224263889	0.239948232	0.045082288	0.022269564	0.222961373	0.174768126	0.07792978	-0.069669909	0.148803409	0.235005857	0.222961373	0.556763187	0.249570815	0.278136541	0.218786368	0.153412364	0.127075478	0.555793991	0.556763187	0.022356485	0.48583691	0.033620058	0.454077253	0.003433476	0.249570815	0.091105899	0.306565782	-0.063481372	0.249570815	0.11502954	0.132784854
D2804	Beta-alanine synthase	0.015879828	0.357498354	0.232780504	-0.219251581	-0.048008268	-0.247806778	0.144877882	0.340820304	0.252856997	0.236266094	0.003433476	0.334490479	0.383773288	0.209656652	0.262475377	0.17646264	0.337487034	0.193572317	0.263733906	0.325126243	0.325875382	0.222961373	0.125100211	0.237124464	0.121173202	0.438394317	0.298594452	0.298966974	0.42238948	0.096954077	0.157506435	0.320281787	0.123803207	0.066045495	0.108912883	0.324024955	0.064907631	0.018533146	0.22093877	0.223011581	0.315050535	0.21792517	0.078084104	0.031923248	0.186494814	0.231908959	0.114626482	0.108692876	0.224263889	0.239948232	0.045082288	0.022269564	0.222961373	0.174768126	0.07792978	-0.069669909	0.148803409	0.235005857	0.222961373	0.556763187	0.249570815	0.278136541	0.218786368	0.153412364	0.127075478	0.555793991	0.556763187	0.022356485	0.48583691	0.033620058	0.454077253	0.003433476	0.249570815	0.091105899	0.306565782	-0.063481372	0.249570815	0.11502954	0.132784854
D15601	Phosphoglycolate phosphatase	0.17942004	0.166121933	0.271500949	-0.067025089	0.148128772	-0.267965823	0.220764599	0.536559887	0.276415149	0.383530911	0.153741575	0.226981133	0.439734529	0.31637185	0.288780663	0.068595225	0.348516601	0.106271351	0.356535602	0.346792693	0.17296537	0.184358206	0.021717172	0.186991895	0.063209936	0.416861477	0.319191919	0.287653972	0.399425531	0.081244288	0.337885839	0.236542997	0.052993702	0.403716937	-0.020988614	0.323132695	0.250399061	-0.039557756	0.332536028	0.291253385	0.253746399	0.142336027	0.302422347	0.070141028	0.26142244	0.270306325	0.110475928	0.156404123	0.410435693	0.291398801	0.113325365	0.262064908	0.184358206	0.10932289	-0.065211228	0.114639838	0.013636364	0.090380308	0.053990617	0.376419085	0.340075048	0.328484287	0.042413842	0.154545455	0.143939394	0.606077603	0.376419085	0.159706441	0.345671636	-0.071213364	0.39241961	0.013168443	0.190284006	0.15878809	0.296728525	-0.049591725	0.190284006	0.01748305	0.045396227
D9772	Helicase	0.023721767	0.142471623	0.270358306	-0.470552725	-0.156258532	-0.238407374	0.014845393	0.2821723	0.167026593	0.219469009	0.216055805	0.213435495	0.477754844	0.064680213	0.122828447	0.067996743	0.381294394	0.08598183	0.392347784	0.383677484	0.230712897	0.369479318	0.18012792	0.174414717	0.220882651	0.315224654	0.309987584	0.271566348	0.496117853	0.108530568	0.212541836	0.343483227	-0.024834217	0.134500543	-0.046721361	0.17703685	0.149567002	-0.168857393	0.22567213	0.11032546	0.287687715	0.042040731	0.133698308	-0.079175539	0.077356421	0.071044418	0.027026184	0.021342106	0.433502347	0.292073833	-0.083476745	-0.051619514	0.173732077	0.101946362	-0.070990373	-0.193030287	0.152375653	0.069506269	0.032937417	0.322303146	0.384838736	0.111957029	0.097584148	0.0586463	0.245319566	0.457881298	0.322303146	-0.027687296	0.40668324	-0.0665038	0.371527241	0.022356485	0.175779999	-0.020827865	0.453341956	-0.100737836	0.175779999	0.216380625	0.040810416
D19060	Sodium/calcium exchanger protein	0.138597866	0.129477389	0.245319566	-0.277557883	-0.099304205	-0.417977365	0.045520677	0.340201801	0.229780691	0.345342425	0.125758633	0.191353715	0.415915576	0.036213219	0.103154652	0.042413842	0.326393123	0.042707178	0.325260549	0.325243852	0.18934249	0.389785921	0.185353535	0.148803409	0.219510868	0.42942742	0.301515152	0.24417982	0.420190772	0.036664089	0.312314547	0.267594974	0.065288241	0.393768012	0.012346244	0.296204971	0.162071938	-0.114964729	0.266712701	0.269631955	0.287406636	0.139025887	0.186122844	-0.019091641	0.11893038	0.164204777	0.074478154	0.084822342	0.426974248	0.108129115	-0.005416286	0.092076859	0.146169721	0.075121315	-0.065211228	0.093090996	0.161111111	0.090380308	0.015802132	0.312854912	0.310775262	0.140166009	0.056813603	0.117171717	0.128282828	0.581715982	0.312854912	-0.084304056	0.36509509	-0.097394748	0.351597436	-0.025020042	0.149461831	0.158146954	0.315824915	-0.029620397	0.149461831	0.198869696	0.012067351
D11709	Methionine biosynthesis protein MetW	0.230059081	0.223309495	0.529339513	-0.385212261	-0.069377798	-0.242304081	-0.015951834	0.21685891	0.119698076	0.441243345	0.062322506	0.303972251	0.385836523	0.09722311	0.218079949	0.154638509	0.317026274	0.098844536	0.315173818	0.305837111	0.312674933	0.26104227	0.105990992	0.264603556	0.111891626	0.566193853	0.263338443	0.366824334	0.434726768	0.18884464	0.332566777	0.420874241	0.057785278	0.188624995	-0.022259531	0.278810314	0.187041827	-0.05259868	0.300541798	0.135749542	0.385598224	0.154869149	0.200868865	0.052529552	0.196137536	0.211790536	0.079224969	0.176801485	0.48179193	0.371585576	-0.002704219	0.021633754	0.26104227	0.186972151	0.004702876	-0.034499918	0.101073884	0.167605953	0.108263097	0.427610058	0.265315813	0.304800219	0.176729725	0.269894587	0.269348242	0.748226206	0.427610058	-0.099693691	0.497867794	0.009912725	0.470089763	0.053063163	0.265315813	-0.001387116	0.543988267	-0.141277285	0.265315813	0.104018913	0.121526738
D13594	Peptidylprolyl isomerase	0.098699038	0.262668339	0.434616032	-0.34457233	-0.126638726	-0.174888506	0.035379359	0.263158644	0.134096331	0.301153802	0.108063273	0.354527623	0.437085674	0.121173202	0.268842337	0.20747777	0.368584505	0.131648588	0.381686224	0.356489049	0.386237332	0.322878827	0.160036065	0.326624521	0.149395227	0.470877259	0.328691666	0.433221941	0.514565885	0.141975336	0.221641059	0.417209064	0.066083444	0.145666374	0.009598985	0.275132266	0.157855716	-0.050868392	0.267715974	0.136990496	0.374386573	0.13417114	0.172169005	0.050999631	0.155996913	0.19449349	0.119577087	0.187133433	0.449360471	0.467085633	0.024887162	-0.005925515	0.322878827	0.246685873	0.038334577	-0.136319059	0.153140435	0.203970559	0.156008157	0.487043273	0.32737366	0.235691007	0.246798754	0.179860999	0.212040603	0.565412517	0.487043273	-0.052874809	0.578522446	0.066726519	0.523086174	0.097949899	0.32737366	0.006200506	0.523826988	-0.074168745	0.32737366	0.110026766	0.179797319
D4095	Choline sulfatase enzyme C terminal	0.055793991	0.371033926	0.417605493	-0.298321528	-0.069045599	-0.172794996	0.050289342	0.208361758	0.071297383	0.27360515	0.040772532	0.347600408	0.39332781	0.246995708	0.265547261	0.182265086	0.343105575	0.255722627	0.27360515	0.332243062	0.118176647	0.233690987	0.13695181	0.246137339	0.153760741	0.259261627	0.135634966	0.311246818	0.208208952	0.134975284	0.163874115	0.226816656	0.013817322	0.071165301	-0.11427805	0.077036028	0.140678465	-0.051570493	0.188898469	0.058861793	0.171590024	0.056369258	0.17408915	0.028135744	0.091857838	0.133656406	0.168838065	0.06419083	0.299271581	0.242337474	0.021454824	-0.032589606	0.233690987	0.182730228	0.049591678	-0.039329788	0.152753942	0.193572317	0.233690987	0.574890361	0.261158798	0.278758075	0.039422505	0.158679742	0.329211082	0.529184549	0.574890361	0.029524213	0.233690987	0.039422505	0.469098712	0.040772532	0.261158798	0.022985433	0.341674826	-0.173915556	0.261158798	0.11502954	0.142149089
D1738	ATP-binding cassette sub-family F member 2	-0.024284409	0.278434269	0.332117184	-0.301829544	-0.117583808	-0.12872261	0.046776848	0.247389699	0.151237512	0.173573811	-0.035431351	0.253634771	0.302067947	0.149687507	0.181097264	0.103845983	0.25641433	0.150129383	0.19865443	0.245296094	0.269617236	0.162028764	0.053745331	0.174768126	0.061845191	0.363373438	0.228417658	0.234821537	0.361152142	0.150140463	0.094852456	0.338504209	0.024095468	0.004749054	0.0253809	0.223546813	0.087162081	-0.073248885	0.221220892	0.119452001	0.307891597	0.144603066	0.078894204	0.017064266	0.100130542	0.187875786	0.153109129	0.091064907	0.332387351	0.334650013	0.012595676	-0.014107158	0.162028764	0.114475628	0.03680039	-0.109445141	0.075121315	0.188562505	0.162028764	0.476810921	0.185915068	0.184488211	0.162101047	0.080007255	0.242464734	0.462598092	0.476810921	-0.034509793	0.426768636	-0.024378478	0.369441506	-0.035431351	0.185915068	-0.002842792	0.428102963	-0.122110417	0.185915068	0.053514997	0.072615982
D6662	Dephospho-CoA kinase	0.000398105	0.310930576	0.328951148	-0.293873576	-0.103073466	-0.164009503	0.064092034	0.266717019	0.175845649	0.196663905	-0.012341257	0.285252257	0.333825702	0.172777601	0.207375363	0.128857668	0.286642036	0.188562505	0.237270622	0.27482891	0.286989481	0.197460115	0.078175027	0.210995688	0.081996995	0.379890412	0.242464734	0.275126726	0.384047267	0.14560602	0.127164831	0.330773281	0.043064241	0.032293568	0.028366889	0.236210158	0.087665908	-0.062286467	0.227940218	0.135344756	0.305804197	0.151107703	0.08549071	0.016060485	0.117497357	0.194494716	0.146104136	0.091064907	0.315204615	0.326101716	0.013603331	-0.005542098	0.197460115	0.146971935	0.049943387	-0.090683117	0.098940269	0.207779066	0.197460115	0.535661639	0.22373505	0.216773648	0.17729802	0.111155117	0.232082113	0.489669237	0.535661639	-0.010131315	0.44826631	0.000633207	0.405669067	-0.012341257	0.22373505	0.02067485	0.408859054	-0.111798871	0.22373505	0.062764503	0.103538578
D13370	penicillin-binding protein 2	0.748712446	0.25040809	0.468803551	-0.159212028	0.259190704	-0.153506252	0.107404661	0.257177941	0.255620461	0.469098712	0.717811159	0.350596963	0.381384658	0.02832618	0.020991204	0.287050445	0.54443663	0.642219863	0.465665236	0.556048282	0.118925786	0.511587983	0.286413642	0.221244635	0.109561551	0.307338989	0.031933475	0.324471266	0.380588448	0.209931377	0.759252184	0.377432441	0.091194327	0.394395707	-0.050432567	0.184440688	0.28162851	0.018533146	0.287526873	0.084285666	0.328833996	0.091161767	0.333386411	0.013797336	0.24134623	0.10593711	-0.04719914	0.110850551	0.357880831	0.276128193	-0.071153973	0.178699672	0.233690987	0.410446328	0.123743045	0.355466365	0.226497225	0.300393162	0.306223176	0.235005857	0.455793991	0.291188759	0.241996154	0.397686987	0.205098504	0.266309013	0.235005857	0.040787786	0.233690987	0.020991204	0.247854077	0.221244635	0.222961373	0.156300946	0.498229241	-0.032179497	0.222961373	0.11004374	0.109561551
D5799	COG4953 Membrane carboxypeptidase penicillin-binding protein PbpC	0.748712446	0.25040809	0.468803551	-0.159212028	0.259190704	-0.153506252	0.107404661	0.257177941	0.255620461	0.469098712	0.717811159	0.350596963	0.381384658	0.02832618	0.020991204	0.287050445	0.54443663	0.642219863	0.465665236	0.556048282	0.118925786	0.511587983	0.286413642	0.221244635	0.109561551	0.307338989	0.031933475	0.324471266	0.380588448	0.209931377	0.759252184	0.377432441	0.091194327	0.394395707	-0.050432567	0.184440688	0.28162851	0.018533146	0.287526873	0.084285666	0.328833996	0.091161767	0.333386411	0.013797336	0.24134623	0.10593711	-0.04719914	0.110850551	0.357880831	0.276128193	-0.071153973	0.178699672	0.233690987	0.410446328	0.123743045	0.355466365	0.226497225	0.300393162	0.306223176	0.235005857	0.455793991	0.291188759	0.241996154	0.397686987	0.205098504	0.266309013	0.235005857	0.040787786	0.233690987	0.020991204	0.247854077	0.221244635	0.222961373	0.156300946	0.498229241	-0.032179497	0.222961373	0.11004374	0.109561551
D10944	L-fucose H symporter permease	0.748712446	0.25040809	0.468803551	-0.159212028	0.259190704	-0.153506252	0.107404661	0.257177941	0.255620461	0.469098712	0.717811159	0.350596963	0.381384658	0.02832618	0.020991204	0.287050445	0.54443663	0.642219863	0.465665236	0.556048282	0.118925786	0.511587983	0.286413642	0.221244635	0.109561551	0.307338989	0.031933475	0.324471266	0.380588448	0.209931377	0.759252184	0.377432441	0.091194327	0.394395707	-0.050432567	0.184440688	0.28162851	0.018533146	0.287526873	0.084285666	0.328833996	0.091161767	0.333386411	0.013797336	0.24134623	0.10593711	-0.04719914	0.110850551	0.357880831	0.276128193	-0.071153973	0.178699672	0.233690987	0.410446328	0.123743045	0.355466365	0.226497225	0.300393162	0.306223176	0.235005857	0.455793991	0.291188759	0.241996154	0.397686987	0.205098504	0.266309013	0.235005857	0.040787786	0.233690987	0.020991204	0.247854077	0.221244635	0.222961373	0.156300946	0.498229241	-0.032179497	0.222961373	0.11004374	0.109561551
