	Comparison	Taxa	Method	Group	LDA	P.unadj	P.adj	Significance
d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium nucleatum	1 - 2 - 3 - 4	d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium nucleatum	LEfSe	2	3.986221634	0.001278428	0.001278428	**
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia	LEfSe	3	3.977534291	9.44E-09	9.44E-09	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides goldsteinii	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides goldsteinii	LEfSe	2	3.966956919	1.18E-08	1.18E-08	***
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium	LEfSe	3	3.939219574	0.013810778	0.013810778	*
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus faecalis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus faecalis	LEfSe	3	3.938355361	0.007188676	0.007188676	**
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus pasteurianus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus pasteurianus	LEfSe	3	3.922887017	0.000102751	0.000102751	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Coprococcus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Coprococcus	LEfSe	3	3.895397396	3.23E-07	3.23E-07	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella variicola	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella variicola	LEfSe	4	3.889515669	1.08E-08	1.08E-08	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides thetaiotaomicron	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides thetaiotaomicron	LEfSe	2	3.88317943	1.68E-06	1.68E-06	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae	LEfSe	1	3.881341175	0.000132771	0.000132771	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides ovatus	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides ovatus	LEfSe	2	3.874812293	5.40E-08	5.40E-08	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella	LEfSe	3	3.863719795	1.65E-05	1.65E-05	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae	LEfSe	1	3.857025829	0.004048779	0.004048779	**
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas	LEfSe	1	3.852714704	0.00012001	0.00012001	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae	LEfSe	3	3.8456435	1.41E-05	1.41E-05	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella intermedia	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella intermedia	LEfSe	3	3.835259309	1.09E-10	1.09E-10	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Paracoccus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Paracoccus	LEfSe	1	3.831093559	0.003251342	0.003251342	**
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae	LEfSe	2	3.826322042	2.51E-07	2.51E-07	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides uniformis	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides uniformis	LEfSe	2	3.80602421	1.50E-06	1.50E-06	***
d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium mortiferum	1 - 2 - 3 - 4	d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium mortiferum	LEfSe	2	3.799408695	5.77E-05	5.77E-05	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_Collinsella aerofaciens	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_Collinsella aerofaciens	LEfSe	3	3.7895812	1.59E-05	1.59E-05	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes	LEfSe	2	3.789274676	2.53E-07	2.53E-07	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides xylanisolvens	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides xylanisolvens	LEfSe	2	3.780675832	6.43E-12	6.43E-12	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae	LEfSe	1	3.775345556	7.34E-06	7.34E-06	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Diaphorobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Diaphorobacter	LEfSe	1	3.763608678	0.000213779	0.000213779	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Enterocloster	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Enterocloster	LEfSe	2	3.761649402	1.70E-07	1.70E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium pseudocatenulatum	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium pseudocatenulatum	LEfSe	3	3.756521181	0.017063861	0.017063861	*
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae	LEfSe	1	3.74306162	4.78E-05	4.78E-05	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga sputigena	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga sputigena	LEfSe	3	3.73624063	0.000760409	0.000760409	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Cutibacterium acnes	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Cutibacterium acnes	LEfSe	1	3.735247279	1.02E-05	1.02E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae	LEfSe	2	3.733728756	0.043704457	0.043704457	*
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Enterocloster|s_Enterocloster bolteae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Enterocloster|s_Enterocloster bolteae	LEfSe	2	3.731540515	1.56E-06	1.56E-06	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter	LEfSe	4	3.730618744	3.70E-06	3.70E-06	***
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae	1 - 2 - 3 - 4	d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae	LEfSe	3	3.727539486	3.77E-07	3.77E-07	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga	LEfSe	3	3.714565378	1.81E-05	1.81E-05	***
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter_A	1 - 2 - 3 - 4	d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter_A	LEfSe	3	3.712460539	2.76E-07	2.76E-07	***
d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium varium	1 - 2 - 3 - 4	d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium varium	LEfSe	3	3.705363857	0.009214308	0.009214308	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium	LEfSe	1	3.704569128	1.70E-05	1.70E-05	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Coprococcus|s_Coprococcus comes	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Coprococcus|s_Coprococcus comes	LEfSe	3	3.70183593	1.86E-06	1.86E-06	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Roseburia	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Roseburia	LEfSe	2	3.694668352	3.95E-08	3.95E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_NA|g_Gemella|s_Gemella morbillorum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_NA|g_Gemella|s_Gemella morbillorum	LEfSe	3	3.68772064	2.05E-05	2.05E-05	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_NA|g_Gemella	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_NA|g_Gemella	LEfSe	3	3.682836434	0.001349802	0.001349802	**
d_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Akkermansiaceae|g_Akkermansia|s_Akkermansia muciniphila	1 - 2 - 3 - 4	d_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Akkermansiaceae|g_Akkermansia|s_Akkermansia muciniphila	LEfSe	3	3.678749306	5.08E-07	5.08E-07	***
