Term	group	Group	id	Database	ID	Inputnumber	Backgroundnumber	P.Value	CorrectedP.Value	Input	Hyperlink	i	Database.y	ID.y	Inputnumber.y	Backgroundnumber.y	P.Value.y	CorrectedP.Value.y	Input.y	Hyperlink.y	id	Database	ID	Inputnumber	Backgroundnumber	P.Value	CorrectedP.Value	Input	Hyperlink
atpase activity	A Early	A	gene_taxa_component_9	Gene Ontology	GO:0016887	8	229	6.04E-05	0.00318532	KIF16B|DDX39A|KIF23|VCP|KIF13B|ABCA1|HSP90AA1|ATAD2B	http://amigo.geneontology.org/amigo/term/GO:0016887																		
abc-family proteins mediated transport	A Early	A	gene_taxa_component_7	Reactome	R-HSA-382556	10	102	0.00016153	0.00199326	PSMB3|PSMD6|PSMD10|ABCC1|PSMA7|PSMB8|PSMB5|PSMB4|PSMC4|PSMB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-382556																		
other interleukin signaling	A Early	A	gene_taxa_component_5	Reactome	R-HSA-449836	11	275	0.00046285	0.01012395	PEBP1|DLG3|VAMP2|PSMD14|CAMK2G|NRAS|AKT2|ARRB1|PSMB5|PPP2R5B|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836																		
neuronal cell body	A Early	A	gene_taxa_component_8	Gene Ontology	GO:0043025	8	376	0.00237852	0.02522289	CHD2|ATP13A2|ARHGEF2|HSP90AB1|SERPINI1|PYCARD|SRCIN1|CDC42	http://amigo.geneontology.org/amigo/term/GO:0043025																		
endoplasmic reticulum membrane	A Early	Early	gene_taxa_component_7	Gene Ontology	GO:0005789	31	942	6.82E-08	9.59E-06	OS9|SPCS3|SLC37A1|SEC23B|PNPLA2|APOO|RAB1B|ATP6AP2|CLN6|EXTL3|LPCAT1|SGPP2|LRRC8E|RAB9A|CARD19|DPAGT1|CYP4V2|PCYT2|ARL6IP1|MIA3|DTNBP1|ALG11|ITPR1|ICMT|PCYT1A|ERLIN1|RNF185|TMEM50B|TMTC2|CREB3L4|DDRGK1	http://amigo.geneontology.org/amigo/term/GO:0005789																		
atpase activity	A Early	Early	gene_taxa_component_2	Gene Ontology	GO:0016887	8	229	0.00068634	0.02137139	CHD1L|KIF1B|MLH1|TOR3A|ABCB7|SPATA5L1|KIF21A|ABCC3	http://amigo.geneontology.org/amigo/term/GO:0016887																		
abc-family proteins mediated transport	A Early	Early	gene_taxa_component_9	Reactome	R-HSA-382556	8	102	1.37E-05	0.00076685	PSMD9|PSMB10|VCP|PSMA7|PSMA5|RNF5|PSMC4|APOA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-382556																		
other interleukin signaling	A Early	Early	gene_taxa_component_9	Reactome	R-HSA-449836	12	275	3.12E-05	0.0012663	PSMD9|RASGRF1|FN1|PSMB10|PPP5C|EGFR|MAP2K2|PSMA7|PSMA5|FGG|PSMC4|FGB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836																		
neuronal cell body	A Early	Early	gene_taxa_component_1	Gene Ontology	GO:0043025	11	376	0.00027726	0.00451363	RPTOR|RGS10|EEF1A2|MYO1D|CYBB|FXR1|CANX|SORT1|PAFAH1B1|NOL3|CDC42	http://amigo.geneontology.org/amigo/term/GO:0043025																		
endoplasmic reticulum membrane	A Early	Advanced																											
atpase activity	A Early	Advanced																											
abc-family proteins mediated transport	A Early	Advanced																											
other interleukin signaling	A Early	Advanced																											
neuronal cell body	A Early	Advanced																											
rrna processing	A Advanced	A	gene_taxa_component_7	Reactome	R-HSA-72312	33	203	2.01E-17	5.74E-15	TRMT112|RPL27A|RPLP0|DCAF13|EXOSC2|RPS5|EXOSC9|NHP2|RPS2|NIP7|EXOSC3|EXOSC7|EXOSC5|WDR43|RPL28|RPL26|NOL11|RPP30|WDR3|RPS23|RCL1|RPL15|TFB1M|MPHOSPH10|DDX49|DIS3|LTV1|RPL35|RPL32|RPL31|WDR36|UTP20|DKC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72312																		
rrna processing in the nucleus and cytosol	A Advanced	A	gene_taxa_component_7	Reactome	R-HSA-8868773	32	193	3.72E-17	9.23E-15	TRMT112|RPL27A|RPLP0|DCAF13|EXOSC2|RPS5|EXOSC9|NHP2|RPS2|NIP7|EXOSC3|EXOSC7|EXOSC5|WDR43|RPL28|RPL26|NOL11|RPP30|WDR3|RPS23|RCL1|RPL15|MPHOSPH10|DDX49|DIS3|LTV1|RPL35|RPL32|RPL31|WDR36|UTP20|DKC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8868773																		
major pathway of rrna processing in the nucleolus and cytosol	A Advanced	A	gene_taxa_component_7	Reactome	R-HSA-6791226	29	183	3.20E-15	7.01E-13	RPL27A|RPLP0|DCAF13|EXOSC2|RPS5|EXOSC9|RPS2|NIP7|EXOSC3|EXOSC7|EXOSC5|WDR43|RPL28|RPL26|NOL11|RPP30|WDR3|RPS23|RCL1|RPL15|MPHOSPH10|DDX49|DIS3|LTV1|RPL35|RPL32|RPL31|WDR36|UTP20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791226																		
cap-dependent translation initiation	A Advanced	A	gene_taxa_component_8	Reactome	R-HSA-72737	13	119	1.62E-12	3.39E-10	RPS13|RPS27|RPL7A|RPL7|EIF1AX|RPL3|RPS4Y1|RPS3A|EIF4H|RPL10A|EIF5B|RPS9|EIF2S2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72737																		
synthesis of dna	A Advanced	A	gene_taxa_component_7	Reactome	R-HSA-69239	20	118	2.12E-11	2.95E-09	ORC5|PSMB2|ANAPC5|POLE|PSMD6|UBE2E1|PSMD10|RPA2|PSMB3|POLD2|PSMB8|PSMA7|RFC4|ANAPC1|POLD3|PSMB5|PSMB4|PSMC4|ANAPC4|RBX1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69239																		
rrna processing	A Advanced	Advanced	gene_taxa_component_1	Reactome	R-HSA-72312	26	203	4.51E-11	9.26E-09	RPS10|UTP3|RPP30|RPL35A|MTERF4|KRR1|NIP7|LBP|BYSL|RPL7A|DDX52|KIAA0391|UTP11|TRMT10C|UTP15|RCL1|RPS28|RPL3|WDR43|TFB1M|RPS4X|RPL38|RPL39|NSUN4|ERI1|EMG1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72312																		
rrna processing in the nucleus and cytosol	A Advanced	Advanced	gene_taxa_component_6	Reactome	R-HSA-8868773	27	193	7.37E-10	6.21E-08	RPS13|RRP1|RPS11|RPS16|RPL6|RPL7|RPL5|DIEXF|NHP2|EXOSC2|RPL36AL|EXOSC6|EXOSC7|RPS9|RPL10A|RPL36A|RPS27|EMG1|SNU13|RPL18|RPS6|RPL32|WDR36|RPS3A|XRN2|DKC1|TBL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8868773																		
major pathway of rrna processing in the nucleolus and cytosol	A Advanced	Advanced	gene_taxa_component_5	Reactome	R-HSA-6791226	23	183	2.39E-11	3.07E-09	UTP4|RPS15|RPP30|EXOSC8|RPL37A|NIP7|EXOSC1|GNL3|LBP|BMS1|IMP4|TSR1|LAS1L|SENP3|RPS29|RPL14|UTP14A|RPL11|NOL6|DIS3|RPL35|UTP20|WDR75	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791226																		
cap-dependent translation initiation	A Advanced	Advanced	gene_taxa_component_1	Reactome	R-HSA-72737	11	119	0.00026291	0.00680359	LBP|RPL7A|EIF3L|RPL38|RPL39|EIF3A|RPL35A|RPS28|RPL3|RPS10|RPS4X	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72737																		
synthesis of dna	A Advanced	Advanced	gene_taxa_component_5	Reactome	R-HSA-69239	10	118	0.00022574	0.00373544	POLA2|POLE|ORC4|CDK2|RFC3|POLD1|POLD2|MCM4|POLD4|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69239																		
rrna processing	A Advanced	Early																											
rrna processing in the nucleus and cytosol	A Advanced	Early																											
major pathway of rrna processing in the nucleolus and cytosol	A Advanced	Early																											
cap-dependent translation initiation	A Advanced	Early																											
synthesis of dna	A Advanced	Early																											
identical protein binding	Early Advanced	Early	gene_taxa_component_7	Gene Ontology	GO:0042802	52	1456	8.70E-14	3.05E-11	NUTF2|SNX2|HEXB|FUS|DAPK1|TLE1|RAD18|DCTN2|B2M|AQP5|HNRNPH1|GLUL|GRASP|ACTG1|PLVAP|RIDA|PFKP|CLDN8|DPP9|RPE|UBE2G2|ALDH18A1|CDH2|PYGL|DAPK2|CLDN12|TRAF1|DPAGT1|DPYSL3|SDC2|HSCB|SH3GLB1|CD69|RAB9A|ABCB10|ARL6IP1|MTPAP|FTL|PCYT1A|TAF5|SFRP1|PNP|SCARB1|HVCN1|AGXT|RBKS|FIS1|CASP6|BCL2L1|CASKIN1|ACTB|PRKD1	http://amigo.geneontology.org/amigo/term/GO:0042802																		
