Tpyes	cluster	cluster_1	Cytotoxic_lymphocytes	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts	TIDE	IFNG	MSI Expr Sig	Merck18	CD274	CD8	Dysfunction	Exclusion	MDSC	CAF	TAM M2
T37	C1	G2	0.58870034	16.28352856	17.07911591	11.42717295	19.83411701	21.4003786	-0.3	0.06	0.61	0.03	1.65	-0.45	-0.37	-0.3	0.05	-0.1	-0.01
T38	C1	G2	0.591130652	13.67755288	17.86379041	10.82999825	18.75629294	23.51730185	0.4	0.03	0.48	-0.07	1.75	-0.45	-0.19	0.4	0.05	0	-0.01
T34	C1	G2	23.05339464	14.81777805	18.90981638	11.75044357	20.62242938	23.29608908	-0.22	0.01	0.45	0.16	1.95	0.7	0.24	-0.22	-0.01	-0.02	-0.01
T35	C1	G2	0.580197231	13.94203648	19.32664261	6.447488672	17.88176473	21.98232147	-0.64	0.11	0.58	-0.1	-0.54	-0.45	-0.33	-0.64	0.03	-0.13	0
T47	C1	G2	0.588641135	1.231277661	17.87876697	11.10999339	10.0154891	23.52804125	-0.03	-0.06	0.53	-0.01	-0.53	-0.45	-0.17	-0.03	0.03	-0.04	0.02
T21	C1	G2	0.579672046	14.97282259	19.10073516	6.51845839	10.53206688	23.07934263	-0.97	0.24	0.67	0.12	1.75	-0.45	0.13	-0.97	-0.04	-0.08	-0.02
T36	C1	G2	20.34892073	14.67376713	17.45127526	3.486190286	21.0093802	23.26802026	-0.25	0.14	0.54	-0.05	1.77	0.57	0.09	-0.25	0.01	-0.03	-0.02
T39	C1	G2	16.50453437	0.59358938	18.33738916	5.135621197	20.28348818	22.94497661	0.36	0.19	0.44	0.02	-0.53	0.37	0.01	0.36	0.02	0.04	-0.02
T42	C1	G2	0.580492303	16.84638143	20.0628278	6.419024246	19.26319636	22.36318577	-0.07	0.25	0.45	0.13	2.05	-0.45	-0.19	-0.07	0.02	-0.02	-0.02
T62	C1	G2	17.46774882	14.87869298	18.15032107	6.364097178	20.02534234	22.00424752	-0.45	0.21	0.45	0.08	-0.53	0.42	-0.19	-0.45	0.04	-0.08	-0.01
T7	C1	G2	0.588953918	16.28087227	18.28591691	17.17285444	18.78581558	22.44427364	0.18	0.44	0.27	-0.09	-0.53	-0.45	0.06	0.18	0.04	0.04	-0.06
T45	C1	G2	0.594163123	14.88974272	18.08586466	5.617350862	21.66985331	22.30349773	-0.2	0.29	0.33	0.16	2.06	-0.45	-0.09	-0.2	0.03	-0.03	-0.03
T64	C1	G2	20.71729037	16.1089409	18.92902312	10.18501666	19.29902702	21.71956298	-0.39	0.31	0.35	0.1	-0.54	0.58	-0.44	-0.39	0.05	-0.07	-0.04
T73	C1	G2	0.585320977	0.581316627	17.86807931	5.56964104	20.30170574	22.46889088	-0.44	0.19	0.4	0.34	1.88	-0.45	-0.11	-0.44	0.05	-0.06	-0.04
T76	C2	G1	0.593145253	1.224378583	19.34889656	5.99743126	21.17454538	24.76402443	-0.28	0.02	0.7	0.01	-0.53	-0.45	0.15	-0.28	-0.04	0	0
T22	C2	G1	0.577156064	13.94531318	19.35717665	6.122384278	20.09312376	25.3351789	0.26	0.19	0.58	0.06	-0.4	-0.45	0.38	0.26	-0.03	0.06	0.01
T26	C2	G1	19.0313497	13.72278273	18.79559689	7.088528413	20.74285394	23.70998344	-0.21	0.02	0.55	0.25	1.64	0.5	0.19	-0.21	-0.04	0.01	0
T12	C2	G1	0.586944912	13.65829496	18.67233405	10.13530268	17.81022073	24.67772576	0.02	-0.2	0.58	-0.22	-0.54	-0.45	0.1	0.02	-0.01	0.03	-0.01
T52	C2	G1	20.27213283	15.0329408	20.30655919	10.5484678	17.85400914	24.57413308	0.01	-0.09	0.68	0.08	-0.53	0.56	-0.1	0.01	-0.04	0.01	0.03
T43	C2	G1	0.577897736	1.342614498	19.56696369	7.175702304	20.52085268	24.75901769	0.4	-0.27	0.59	-0.07	-0.53	-0.45	0.11	0.4	-0.01	0.03	0.04
T46	C2	G1	0.577014225	16.06515823	20.0901995	6.158548081	17.7898963	24.38783073	0.14	-0.04	0.64	-0.03	-0.54	-0.45	0.03	0.14	-0.04	0.04	0.01
T63	C2	G1	0.577589472	0.576957104	23.49363865	0.582152182	12.57762358	24.09532192	0.3	-0.92	0.29	-0.01	-0.53	-0.45	-0.22	0.3	0.03	0.01	0.01
T11	C2	G1	0.581330083	15.67415875	21.14625728	5.87232849	10.06683844	24.39715528	0.03	0.43	0.53	-0.04	-0.54	-0.45	-0.04	0.03	-0.01	0	0.02
T32	C2	G1	21.95274116	0.584994078	22.48009742	0.587295181	19.55922586	24.42195647	-0.12	-0.19	0.36	-0.29	-0.53	0.65	0.03	-0.12	-0.01	0	-0.01
T44	C2	G1	24.19240412	15.84655073	19.77004067	0.963853536	21.43714899	25.11448263	-0.2	0.44	0.62	0.28	-0.53	0.76	0.04	-0.2	-0.02	-0.02	0.01
T28	C2	G1	0.575381313	16.0328623	18.86747869	5.898909285	18.8512027	23.9727102	-0.2	0.18	0.56	0.04	-0.53	-0.45	0.15	-0.2	-0.03	0	0.01
T23	C2	G1	0.588018099	1.792634725	18.55797944	6.051136852	23.47653293	24.54408643	-0.2	0.28	0.59	-0.14	-0.54	-0.45	0.08	-0.2	-0.05	0.02	0
T48	C2	G1	20.81067616	15.23525947	18.48323014	6.2782006	21.65771756	25.27069555	0.01	-0.05	0.51	-0.12	-0.53	0.59	0.04	0.01	-0.03	0.01	0.03
T70	C2	G1	23.1897454	1.755111699	20.44444876	6.171098052	21.33908859	23.78049497	-0.06	0.1	0.41	0.13	-0.54	0.71	-0.04	-0.06	0.01	0.02	-0.04
T72	C2	G1	23.13123353	8.889207971	18.98555986	11.1924054	21.11188184	24.12983518	0.13	0.3	0.42	0.16	-0.34	0.71	-0.01	0.13	-0.01	0.02	0.01
T2	C2	G1	0.580966386	17.15819408	18.79751163	6.139175409	19.85418051	25.06901966	0.4	0.62	0.21	0.26	2.74	-0.45	0.23	0.4	-0.03	0.09	-0.01
T27	C2	G1	17.61662153	16.47470534	17.86701983	6.856268504	17.07195964	23.49689731	0.02	0.6	0.29	0.47	2.34	0.43	0.13	0.02	0.03	-0.02	-0.01
T14	C3	G3	0.580668057	15.61036874	20.32937728	5.752295849	21.27508716	22.49414435	-0.16	0.6	0.59	0.12	2.09	-0.45	-0.05	-0.16	0	0.02	-0.04
T16	C3	G3	0.583190568	0.581266959	20.38513553	13.06300098	0.58318962	23.64313585	0.09	0.23	0.42	0.17	-0.53	-0.45	0.1	0.09	0	0.06	-0.04
T58	C3	G3	0.579882113	0.592949981	18.82975254	12.48416074	10.28356716	20.36153025	-0.35	-0.13	0.45	0.04	1.88	-0.45	-0.44	-0.35	0.04	-0.06	-0.03
T50	C3	G3	0.590974547	15.48520259	18.99030906	11.77698768	20.7724903	22.84413722	-0.33	0.1	0.59	-0.21	-0.54	-0.45	-0.24	-0.33	0	-0.01	-0.05
T51	C3	G3	0.586858102	15.72704036	18.83013296	12.8222899	21.77826668	21.79527771	-0.39	0.23	0.39	0.05	-0.54	-0.45	0.07	-0.39	-0.01	0.01	-0.06
T60	C3	G3	0.586589148	15.20100753	19.25390143	6.212222069	21.77596743	21.22390531	-0.85	-0.19	0.17	-0.05	-0.54	-0.45	-0.03	-0.85	0	-0.07	-0.04
T6	C3	G3	0.590254922	15.93781991	20.07504509	0.581122188	10.58941238	23.59624502	0.47	0.46	0.2	0.09	-0.53	-0.45	-0.33	0.47	0.05	0.02	-0.01
T59	C3	G3	0.584278144	17.02757989	20.47157785	7.171960277	11.10508887	21.78267396	0.08	0.16	0.14	-0.12	-0.53	-0.45	-0.36	0.08	0.05	-0.01	-0.03
T10	C4	G4	0.591561405	0.579222449	0.593161299	0.584187134	0.578905145	22.56673053	0.29	0	0.02	-0.27	-0.53	-0.45	-0.18	0.29	0.04	0.01	-0.01
T69	C4	G4	0.578114711	0.58996846	20.31550077	0.584449909	0.58415473	22.80386139	0.42	-1.03	0.09	-0.52	-0.54	-0.45	-0.17	0.42	0.03	0.04	-0.01
T74	C4	G4	0.589057968	0.584089458	20.17883123	0.582557208	18.55825818	23.69219241	0.57	-0.5	0.23	-0.63	-0.54	-0.45	0.08	0.57	-0.01	0.09	0
T75	C4	G4	0.594524161	0.581664228	19.53839191	6.857005888	20.45285757	24.74226538	0.64	-0.26	0.39	-0.55	-0.53	-0.45	-0.16	0.64	-0.01	0.08	0.02
T13	C4	G4	0.591287171	16.00030059	20.89315328	0.585907895	20.69115007	26.39100584	0.9	0.36	0.19	-0.04	-0.54	-0.45	0.15	0.9	-0.01	0.16	-0.03
T71	C4	G4	0.581438163	0.593109314	20.26301655	4.742029762	20.61866404	26.14518835	0.89	-0.27	0.22	-0.66	-0.53	-0.45	0.2	0.89	-0.01	0.15	-0.02
